Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-06-20 01:55:37;347358097;41.4681799;37.0873;-81162;0;22
Облако-облако;2023-06-20 01:55:37;339978159;41.34673;36.78512;-11435;5888;14
Облако-земля;2023-06-20 01:55:40;967148440;41.38339;40.57674;16658;0;12
Облако-земля;2023-06-20 01:55:42;825117730;42.71194;41.23782;-9569;0;13
Облако-земля;2023-06-20 01:55:53;606630651;42.80908;41.26309;17883;0;7
Облако-облако;2023-06-20 01:55:57;152543359;41.45597;46.1433899;-8356;6025;8
Облако-земля;2023-06-20 01:55:58;638781508;41.76565;46.76807;25160;0;14
Облако-облако;2023-06-20 01:56:20;515850485;42.37948;43.97205;5781;6300;7
Облако-земля;2023-06-20 01:56:22;652889116;41.5805099;46.37867;-5437;0;10
Облако-земля;2023-06-20 01:56:26;674714940;41.72084;46.61615;-6261;0;10
Облако-земля;2023-06-20 01:56:26;955182867;41.50821;37.64614;-73908;0;23
Облако-облако;2023-06-20 01:56:31;401255919;42.15562;40.69177;-3834;7286;11
Облако-земля;2023-06-20 01:56:44;833376219;42.9213499;41.5598;31040;0;20
Облако-облако;2023-06-20 01:56:45;469161847;42.48268;42.00621;-3298;12439;7
Облако-земля;2023-06-20 01:56:45;43848601;42.79777;41.75018;30735;0;17
Облако-земля;2023-06-20 01:56:52;129263916;41.75647;46.82922;-18401;0;11
Облако-облако;2023-06-20 01:57:05;584908990;42.00287;40.76957;-3673;17560;10
Облако-земля;2023-06-20 01:57:09;77077225;42.7006299;41.21852;-9766;0;14
Облако-земля;2023-06-20 01:57:12;706217;41.46108;37.0683099;-78161;0;20
Облако-земля;2023-06-20 01:57:20;549636663;42.3618499;43.98672;37790;0;17
Облако-облако;2023-06-20 01:57:20;427598086;42.42218;44.24974;9380;3449;10
Облако-облако;2023-06-20 01:57:26;453409961;41.52513;46.3802;-6406;7719;8
Облако-облако;2023-06-20 01:57:41;785733262;41.75047;46.80725;-8500;3028;12
Облако-земля;2023-06-20 01:57:52;526648855;41.68128;37.53061;-38689;0;18
Облако-облако;2023-06-20 01:58:03;928560220;42.78962;41.09902;-4138;18700;12
Облако-облако;2023-06-20 01:58:03;298509823;42.90789;36.34572;3739;17791;9
Облако-земля;2023-06-20 01:58:04;384935951;41.7107;46.50181;-7219;0;12
Облако-земля;2023-06-20 01:58:06;986058442;42.75729;41.33627;-14964;0;11
Облако-земля;2023-06-20 01:58:18;701220584;41.50573;37.6571;-3126;0;8
Облако-облако;2023-06-20 01:58:36;880722881;42.71332;41.24721;-5977;18576;13
Облако-земля;2023-06-20 01:58:42;244337229;41.32982;45.40388;-4087;0;7
Облако-земля;2023-06-20 01:58:50;136589204;41.57671;37.21007;-21909;0;14
Облако-земля;2023-06-20 01:58:57;935236270;41.90679;46.85174;-7761;0;11
Облако-облако;2023-06-20 01:59:03;769504733;42.8914;36.33384;3626;16746;8
Облако-земля;2023-06-20 01:59:18;523184283;42.78703;41.1314;-7039;0;15
Облако-земля;2023-06-20 01:59:34;663442409;41.46557;37.13143;-104096;0;22
Облако-облако;2023-06-20 01:59:35;631469805;42.89797;36.33611;6708;3080;15
