Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-10-08 11:11:50;723379426;46.32033;38.3355;-9055;3252;10
Облако-облако;2023-10-08 11:11:50;713398705;46.21711;38.13332;-16975;6584;9
Облако-облако;2023-10-08 11:57:02;896251655;45.61416;36.99442;-5212;13441;11
Облако-облако;2023-10-08 13:03:00;910317253;45.77159;37.6507;5650;6109;9
Облако-облако;2023-10-08 13:06:24;209415854;45.78333;37.68923;9624;8299;19
Облако-облако;2023-10-08 13:07:33;46339429;45.78573;37.70286;4048;11610;7
Облако-облако;2023-10-08 13:09:05;404377875;45.79668;37.71873;5721;5748;9
Облако-земля;2023-10-08 13:15:59;22532016;45.80381;37.8174599;43083;0;19
Облако-земля;2023-10-08 13:18:13;946121171;45.79657;37.9313;-11064;0;15
Облако-облако;2023-10-08 13:22:29;558304110;45.7950299;37.93232;15687;17462;15
Облако-земля;2023-10-08 13:22:29;552056495;45.87393;38.0419399;31342;0;16
Облако-земля;2023-10-08 13:35:29;77171162;46.11131;38.35799;-2852;0;5
Облако-облако;2023-10-08 13:36:09;349286115;45.80062;38.2742;-7189;10173;13
Облако-облако;2023-10-08 13:36:09;363548259;45.8585;37.61701;-6847;6488;9
Облако-облако;2023-10-08 13:36:09;368829283;45.94589;37.73729;-4060;6941;8
Облако-земля;2023-10-08 13:37:29;674513580;45.86106;37.62777;-6875;0;8
Облако-облако;2023-10-08 13:38:34;950081079;45.83631;37.60502;4428;5871;7
Облако-облако;2023-10-08 13:39:27;786629689;45.85562;37.65549;2108;6009;5
Облако-облако;2023-10-08 13:40:27;319426203;45.87093;37.64477;-2989;8296;6
Облако-облако;2023-10-08 13:42:56;66953361;45.87352;38.02344;4938;5174;11
Облако-земля;2023-10-08 13:52:25;827036304;45.9559;38.1145799;24369;0;18
Облако-земля;2023-10-08 13:54:05;559634257;45.87179;37.7714799;-19678;0;18
Облако-земля;2023-10-08 13:54:29;146589565;45.9283;38.0582;-12376;0;18
Облако-облако;2023-10-08 13:54:59;55279749;45.90797;37.73505;-3905;15208;8
Облако-облако;2023-10-08 13:56:22;531061175;45.93239;38.10071;4022;6096;9
Облако-облако;2023-10-08 13:57:53;572687683;45.94672;38.2154;2956;5769;6
Облако-земля;2023-10-08 14:00:28;125111178;45.91558;37.92374;-27036;0;18
Облако-земля;2023-10-08 14:00:32;561130713;45.98869;38.27961;36504;0;13
Облако-облако;2023-10-08 14:01:36;808437818;45.92412;37.92777;9321;5316;16
Облако-облако;2023-10-08 14:01:37;77993054;45.81897;38.09299;1923;7358;7
Облако-облако;2023-10-08 14:02:38;743098475;45.92328;37.9491;4240;15192;10
Облако-облако;2023-10-08 14:02:40;112387936;45.947;38.17845;-2473;6666;6
Облако-земля;2023-10-08 14:04:13;63624200;45.94758;38.53069;108857;0;14
Облако-облако;2023-10-08 14:04:23;446854569;45.9307299;38.00743;9115;3895;5
Облако-облако;2023-10-08 14:04:30;214612058;45.93862;38.33306;3732;4084;7
Облако-облако;2023-10-08 14:04:47;265734923;45.9880799;38.0964699;12233;4955;13
Облако-земля;2023-10-08 14:05:24;676852229;45.97535;38.22215;-4675;0;10
Облако-земля;2023-10-08 14:05:29;249794109;45.89342;38.5107;17489;0;11
Облако-земля;2023-10-08 14:08:27;71352118;45.93459;38.53876;36097;0;15
Облако-земля;2023-10-08 14:08:33;534401435;45.97762;38.11577;-27838;0;18
Облако-облако;2023-10-08 14:11:47;425101620;45.9816999;38.0683099;8990;3816;14
Облако-облако;2023-10-08 14:17:04;279713876;45.77377;37.74679;-13083;11231;12
Облако-облако;2023-10-08 14:17:04;290249521;45.98237;37.95219;-4864;10754;10
Облако-земля;2023-10-08 14:17:20;183458796;45.99569;38.19513;18653;0;15
Облако-облако;2023-10-08 14:17:20;358006719;46.01165;38.44411;-3096;5636;5
Облако-облако;2023-10-08 14:17:20;320003457;45.99855;38.57296;7345;5709;14
Облако-земля;2023-10-08 14:18:28;780801745;45.96008;38.26381;42094;0;17
Облако-земля;2023-10-08 14:21:40;184685923;45.95998;38.3327;78286;0;15
Облако-облако;2023-10-08 14:24:00;707352375;45.88863;38.04527;-2447;7216;6
Облако-земля;2023-10-08 14:24:04;449545498;45.97408;38.3964799;75394;0;18
Облако-облако;2023-10-08 14:24:04;452809126;46.04722;38.51433;4447;10458;6
Облако-облако;2023-10-08 14:24:22;204122037;46.00148;38.65661;10870;13413;16
Облако-облако;2023-10-08 14:24:22;501836399;45.99821;38.81177;7311;8711;11
Облако-земля;2023-10-08 14:25:09;698577024;45.88876;37.97806;-22036;0;19
Облако-облако;2023-10-08 14:25:09;738044686;45.87233;38.16405;3199;3020;7
Облако-земля;2023-10-08 14:26:10;681734734;45.98058;38.40728;23469;0;12
Облако-облако;2023-10-08 14:26:10;725246544;46.05318;38.50852;-4292;5540;6
Облако-земля;2023-10-08 14:27:18;34423806;45.97901;38.7092699;41402;0;20
Облако-земля;2023-10-08 14:27:19;981010233;45.85628;38.15244;-24837;0;16
Облако-земля;2023-10-08 14:27:30;336237062;45.82791;37.83258;-21151;0;18
Облако-земля;2023-10-08 14:27:55;762316180;45.8856899;38.07724;-16788;0;18
Облако-облако;2023-10-08 14:27:56;293883925;45.8847;37.90194;4416;4898;8
Облако-облако;2023-10-08 14:28:35;844205903;45.77372;37.73422;-10527;5819;15
Облако-облако;2023-10-08 14:29:11;965137027;45.88847;38.1195499;2903;16252;8
Облако-облако;2023-10-08 14:29:19;375222900;46.05583;38.65085;3341;3379;6
Облако-облако;2023-10-08 14:29:19;154735533;46.1804;38.33979;-12330;3004;15
Облако-земля;2023-10-08 14:29:19;231455051;46.01299;38.3847499;63713;0;18
Облако-облако;2023-10-08 14:29:44;466612847;45.8982;38.11155;-5210;14342;11
Облако-облако;2023-10-08 14:30:05;962364113;45.77861;37.76215;-8327;12286;16
Облако-земля;2023-10-08 14:30:21;504577959;45.79684;37.97389;-18801;0;18
Облако-земля;2023-10-08 14:30:33;935177338;46.0024299;38.4504;38312;0;17
Облако-земля;2023-10-08 14:30:52;413202368;45.95524;38.24725;-12389;0;16
Облако-земля;2023-10-08 14:31:17;878492211;45.92066;37.99599;-9388;0;15
Облако-земля;2023-10-08 14:31:44;66967019;46.05651;38.47996;24987;0;16
Облако-земля;2023-10-08 14:31:49;806035730;45.90587;38.1426;10527;0;18
Облако-земля;2023-10-08 14:32:39;954807401;45.8771;38.01615;-9719;0;16
Облако-земля;2023-10-08 14:34:05;391488143;45.96524;38.28623;-12941;0;15
Облако-облако;2023-10-08 14:35:35;231365371;45.70768;37.66672;-5663;7459;10
Облако-земля;2023-10-08 14:35:40;69418632;45.80998;37.88294;26035;0;15
Облако-земля;2023-10-08 14:35:47;317665946;45.98613;38.51389;72387;0;19
Облако-земля;2023-10-08 14:35:53;468368576;46.00473;38.34775;-8398;0;13
Облако-облако;2023-10-08 14:36:15;269964842;45.91636;38.20632;6191;3937;15
Облако-облако;2023-10-08 14:36:42;968783919;46.04034;38.50481;2527;5615;6
Облако-земля;2023-10-08 14:37:09;654683562;46.0320899;38.87273;-4398;0;9
Облако-облако;2023-10-08 14:37:10;183339629;45.96728;38.34304;5305;4330;11
Облако-облако;2023-10-08 14:37:10;57843653;46.02162;38.72442;-2015;4905;5
Облако-земля;2023-10-08 14:37:14;507113671;45.92305;38.19187;-8248;0;15
Облако-облако;2023-10-08 14:39:25;339938099;45.89678;38.24231;3666;18987;7
Облако-земля;2023-10-08 14:39:42;375687996;46.02361;38.92793;42814;0;17
Облако-облако;2023-10-08 14:39:54;238742222;45.96144;38.58482;5529;4235;8
