Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-10-09 00:00:46;830359070;43.78876;39.9982;-5679;0;7
Облако-земля;2023-10-09 00:00:46;384544924;43.76485;39.78028;115032;0;16
Облако-земля;2023-10-09 00:00:47;154505402;44.02263;40.00594;-8616;0;12
Облако-облако;2023-10-09 00:02:01;298680274;43.7482;39.82681;3419;6804;7
Облако-земля;2023-10-09 00:02:27;890678686;43.79766;40.0014899;-2994;0;7
Облако-облако;2023-10-09 00:02:28;940358669;43.88563;40.13342;6556;8560;6
Облако-земля;2023-10-09 00:02:29;333485790;44.02641;40.02341;-5730;0;6
Облако-облако;2023-10-09 00:03:49;850654142;43.7779;39.82156;9636;4642;9
Облако-облако;2023-10-09 00:03:49;720848087;43.85099;39.91989;13881;10784;9
Облако-облако;2023-10-09 00:03:49;922399696;43.95811;39.75641;-3684;4084;7
Облако-облако;2023-10-09 00:03:50;2600821;44.01017;40.09166;-3468;4827;9
Облако-облако;2023-10-09 00:04:45;606035151;43.81161;39.81406;-5402;3351;7
Облако-земля;2023-10-09 00:08:52;841906442;43.80779;39.84219;94162;0;7
Облако-земля;2023-10-09 00:08:53;569833389;44.13828;40.29538;35868;0;6
Облако-земля;2023-10-09 00:08:53;321126210;44.11744;39.93417;-4931;0;6
Облако-земля;2023-10-09 00:08:54;836355097;44.33649;40.6941599;-20454;0;13
Облако-облако;2023-10-09 00:08:54;270716904;44.51894;40.59886;-5109;3005;10
Облако-облако;2023-10-09 00:08:54;222884325;44.4258;40.4554;15473;3023;17
Облако-облако;2023-10-09 00:08:54;857315834;44.26585;40.51733;-3087;5007;5
Облако-земля;2023-10-09 00:12:00;423007311;43.75574;40.03374;124504;0;17
Облако-земля;2023-10-09 00:12:01;114649239;44.18842;40.07346;-3520;0;5
Облако-облако;2023-10-09 00:14:11;847927772;44.21425;40.27637;-3499;3000;5
Облако-земля;2023-10-09 00:14:11;227354839;43.78333;40.04522;119925;0;19
Облако-земля;2023-10-09 00:14:11;871282635;44.34999;40.2424;-4770;0;6
Облако-земля;2023-10-09 00:14:11;836808942;44.28691;40.44699;-8773;0;6
Облако-облако;2023-10-09 00:14:13;152357700;44.07852;40.52572;5288;6642;7
Облако-земля;2023-10-09 00:14:13;387462909;44.33729;40.82779;-44141;0;12
Облако-облако;2023-10-09 00:14:15;281649446;43.94618;39.9269;-4660;3238;7
Облако-земля;2023-10-09 00:16:47;797961000;43.8508;39.9919;-175790;0;7
Облако-земля;2023-10-09 00:16:47;927318929;44.05981;39.94191;-7864;0;5
Облако-земля;2023-10-09 00:16:48;303146332;43.7746;40.1007;-7959;0;12
Облако-облако;2023-10-09 00:19:26;191134412;43.68716;40.0336799;-5821;10729;6
Облако-земля;2023-10-09 00:20:50;875622578;43.88005;39.98358;23416;0;6
Облако-облако;2023-10-09 00:20:51;114010317;44.27541;40.20624;-7874;9224;11
Облако-облако;2023-10-09 00:20:51;327771952;44.39591;40.39338;-5248;3581;6
Облако-земля;2023-10-09 00:20:51;66423734;44.14114;40.10516;44424;0;15
Облако-земля;2023-10-09 00:20:51;54829161;43.92451;40.1853;19095;0;14
Облако-облако;2023-10-09 00:20:54;613103038;43.7352;40.18386;-4098;13809;8
Облако-земля;2023-10-09 00:23:48;677561000;43.7924999;39.9698;-494761;0;7
Облако-земля;2023-10-09 00:27:02;351893633;43.93563;39.82125;141357;0;18
Облако-земля;2023-10-09 00:27:02;860231120;43.96444;39.68781;-17543;0;7
Облако-земля;2023-10-09 00:31:09;932308408;43.9769999;39.7366;108094;0;9
Облако-облако;2023-10-09 00:31:09;991070360;43.80354;40.1746;-5321;3573;7
Облако-земля;2023-10-09 00:31:10;265881620;44.10392;40.14036;-9554;0;12
Облако-земля;2023-10-09 00:31:10;140276967;44.02511;39.90209;54172;0;15
Облако-земля;2023-10-09 00:37:05;86526975;44.08775;40.24082;49758;0;6
Облако-земля;2023-10-09 00:37:05;410992724;44.16395;40.54416;-6117;0;10
Облако-земля;2023-10-09 00:37:51;857340304;43.82464;40.02531;-4257;0;12
Облако-земля;2023-10-09 00:39:03;497060330;43.6914299;39.92303;23018;0;7
Облако-облако;2023-10-09 00:39:03;600294218;43.9028599;40.21342;10809;4977;8
Облако-земля;2023-10-09 00:40:42;285846145;43.70593;39.93215;-12241;0;7
Облако-земля;2023-10-09 00:42:09;613254615;43.82924;40.17268;-104368;0;12
Облако-облако;2023-10-09 00:42:09;658445166;43.78053;40.30535;-17173;4208;13
Облако-облако;2023-10-09 00:43:01;358187218;43.64781;39.94957;-3801;3717;7
Облако-земля;2023-10-09 00:43:41;627513337;43.74078;40.06312;21647;0;15
Облако-облако;2023-10-09 00:43:41;641135274;43.85985;40.33142;-7612;3006;12
Облако-земля;2023-10-09 00:45:07;616713533;43.77604;40.21852;-6108;0;11
Облако-земля;2023-10-09 00:45:07;289626766;43.75573;40.03213;30739;0;7
Облако-облако;2023-10-09 00:45:40;426954609;43.74148;40.13257;-2912;19214;9
Облако-облако;2023-10-09 00:46:17;95322663;43.80032;40.26999;-8290;4559;14
Облако-облако;2023-10-09 00:46:17;198433583;44.06495;39.93129;5831;3298;9
Облако-земля;2023-10-09 00:46:17;86529000;43.7876;40.12189;54019;0;16
Облако-земля;2023-10-09 00:46:17;442413245;44.07599;40.16491;-3705;0;6
Облако-облако;2023-10-09 00:46:32;833117997;43.7147999;40.1423599;-4189;6760;9
Облако-облако;2023-10-09 00:47:09;54888439;43.6688;40.23033;-3040;9663;7
Облако-земля;2023-10-09 00:47:48;106195869;43.7584;40.15989;17920;0;15
Облако-земля;2023-10-09 00:48:36;228057570;43.75822;40.11924;21119;0;15
Облако-облако;2023-10-09 00:48:36;423944782;44.08937;39.98101;2563;3293;6
Облако-земля;2023-10-09 00:48:36;488974376;43.9726;40.24348;42602;0;12
Облако-земля;2023-10-09 00:48:36;232840233;43.83238;40.38425;32032;0;14
Облако-земля;2023-10-09 00:48:56;773485425;43.6632;39.97819;-14682;0;7
Облако-облако;2023-10-09 00:49:46;322602740;43.73184;40.18551;4240;5732;8
Облако-облако;2023-10-09 00:50:19;562777628;43.7474;40.16569;3142;3996;9
Облако-земля;2023-10-09 00:51:01;390074549;43.67485;40.00965;-9271;0;12
Облако-облако;2023-10-09 00:51:44;597801886;43.78072;40.24597;-4261;12653;14
Облако-облако;2023-10-09 00:51:44;988873500;43.65271;40.18724;-11762;7784;7
Облако-земля;2023-10-09 00:51:45;65970372;43.52616;40.13209;-27698;0;6
Облако-земля;2023-10-09 00:52:33;882249091;43.6996899;40.0796599;-16252;0;6
Облако-земля;2023-10-09 00:52:34;45759328;43.83776;40.29732;33283;0;16
Облако-облако;2023-10-09 00:52:34;178110960;44.15488;40.06801;8704;19946;9
Облако-облако;2023-10-09 00:52:34;438565968;44.12571;40.28862;-3557;3039;6
Облако-земля;2023-10-09 00:53:27;627786239;43.69852;40.15109;-23227;0;18
Облако-земля;2023-10-09 00:54:14;238495505;43.80654;40.17524;-13949;0;16
Облако-облако;2023-10-09 00:54:24;998318680;43.66091;40.06866;-2876;9059;6
Облако-земля;2023-10-09 00:55:27;937681560;43.86581;40.31991;-6334;0;14
Облако-земля;2023-10-09 00:55:28;212057473;43.8049;40.1775499;-11123;0;15
Облако-облако;2023-10-09 00:55:59;821336475;43.68455;40.09612;-4379;8218;7
Облако-земля;2023-10-09 00:56:48;296997002;43.68879;40.06834;-7825;0;15
Облако-земля;2023-10-09 00:57:50;349076691;43.82685;40.23891;-22786;0;5
Облако-облако;2023-10-09 00:57:50;443261162;43.87607;40.4310199;-7437;4861;16
Облако-земля;2023-10-09 00:57:50;553216292;43.96847;40.34088;62524;0;18
Облако-земля;2023-10-09 00:59:21;176170595;43.6942499;40.2159199;-6193;0;9
Облако-облако;2023-10-09 00:59:39;537017154;43.61059;39.9564499;-2905;3506;10
Облако-облако;2023-10-09 01:00:53;582369911;43.70346;40.19659;-8456;5075;8
Облако-облако;2023-10-09 01:00:59;824766220;43.60936;40.02594;-2921;10663;7
Облако-облако;2023-10-09 01:01:31;156815873;43.80018;40.19879;-3526;3002;5
Облако-земля;2023-10-09 01:02:07;886443860;43.66854;40.15986;18943;0;6
Облако-земля;2023-10-09 01:02:08;354524184;43.83006;40.0723399;-4042;0;5
Облако-облако;2023-10-09 01:03:25;584237631;43.7483999;40.05341;-2581;4605;8
Облако-земля;2023-10-09 01:03:25;552925700;43.67995;39.95014;14607;0;15
Облако-земля;2023-10-09 01:03:26;834250390;43.8244;40.25293;-62607;0;13
Облако-облако;2023-10-09 01:03:34;979005439;43.66782;40.22329;-6945;4126;12
Облако-земля;2023-10-09 01:03:35;174805305;43.64081;40.02391;17772;0;16
Облако-облако;2023-10-09 01:04:36;397239392;43.69808;40.12249;-5653;7787;7
Облако-облако;2023-10-09 01:06:01;16979875;43.79968;40.23224;-7769;14174;11
Облако-облако;2023-10-09 01:06:01;38744161;43.72527;40.1281899;-3955;7783;10
Облако-земля;2023-10-09 01:06:56;273363960;43.78537;40.18151;-20261;0;6
Облако-земля;2023-10-09 01:06:56;213143590;43.74371;40.44072;25458;0;9
Облако-облако;2023-10-09 01:06:56;277740189;43.91793;40.04741;4041;7462;6
Облако-земля;2023-10-09 01:09:05;180623105;43.8068;40.38292;-5562;0;5
Облако-земля;2023-10-09 01:09:05;299915482;43.87999;40.20441;-6650;0;9
Облако-земля;2023-10-09 01:09:05;191120178;43.7738;40.22802;-5607;0;8
Облако-облако;2023-10-09 01:09:38;855687393;43.56995;40.36726;5086;4268;12
Облако-облако;2023-10-09 01:09:38;819728001;43.71747;40.26776;-184042;7331;12
Облако-облако;2023-10-09 01:10:25;237259540;41.91185;36.53554;5922;5605;10
Облако-земля;2023-10-09 01:10:41;804764154;43.72993;40.17865;-3829;0;12
Облако-земля;2023-10-09 01:11:40;947339296;43.75962;40.20356;-42203;0;16
Облако-земля;2023-10-09 01:11:46;554454243;43.68339;39.96955;62579;0;19
Облако-земля;2023-10-09 01:14:27;461911843;43.80142;40.35295;28869;0;12
Облако-облако;2023-10-09 01:14:27;499270910;43.95856;40.35626;5783;3000;10
Облако-облако;2023-10-09 01:15:06;729454891;41.83254;36.53118;-7948;7878;8
Облако-облако;2023-10-09 01:15:42;327640122;43.68437;39.98947;12106;7494;13
Облако-облако;2023-10-09 01:15:42;534995034;43.73326;40.12894;-4397;16335;13
Облако-земля;2023-10-09 01:16:21;857197887;43.80834;40.336;18994;0;14
Облако-облако;2023-10-09 01:16:21;845734399;43.7572;40.19138;-11862;12472;16
Облако-земля;2023-10-09 01:16:48;264401698;43.50977;39.99685;-3757;0;7
Облако-земля;2023-10-09 01:17:44;669152711;43.50743;40.01794;-16961;0;15
Облако-облако;2023-10-09 01:17:46;534325291;41.9958699;36.6366;-3481;18003;7
Облако-земля;2023-10-09 01:17:52;641803539;43.6435;40.22518;46681;0;15
Облако-земля;2023-10-09 01:17:52;614451826;43.74758;40.24901;-9004;0;12
Облако-земля;2023-10-09 01:18:14;896223186;43.77987;40.25636;-7107;0;6
Облако-облако;2023-10-09 01:18:53;759636391;41.93616;36.55732;-3454;17514;7
Облако-земля;2023-10-09 01:19:12;651772181;43.52528;40.05574;-13565;0;6
Облако-облако;2023-10-09 01:19:12;554305422;43.60054;40.24674;8148;6826;13
Облако-земля;2023-10-09 01:19:23;475191563;43.71769;40.12347;-11474;0;14
Облако-облако;2023-10-09 01:19:23;125503892;43.76619;40.24807;-5082;3202;8
Облако-земля;2023-10-09 01:19:59;170437793;43.51605;40.06154;-7942;0;7
Облако-облако;2023-10-09 01:20:04;4393675;41.91257;36.51098;-6254;5626;8
Облако-земля;2023-10-09 01:20:41;531553984;43.77949;40.36887;-11240;0;6
Облако-облако;2023-10-09 01:20:43;668041463;43.90054;40.39825;-4746;17718;11
Облако-земля;2023-10-09 01:20:43;666771115;43.7924099;40.35552;-10772;0;8
Облако-облако;2023-10-09 01:21:09;834943976;43.7478;40.15173;-4428;7469;8
Облако-земля;2023-10-09 01:21:59;968865431;43.54736;40.10955;-12588;0;13
Облако-облако;2023-10-09 01:21:59;770869089;43.5852999;40.22739;-5210;6867;11
Облако-земля;2023-10-09 01:22:42;521803927;43.49239;40.01297;30502;0;16
Облако-земля;2023-10-09 01:22:44;425070248;43.72444;40.14468;-11577;0;14
Облако-земля;2023-10-09 01:22:44;919298600;43.64687;40.2456;-8211;0;12
Облако-облако;2023-10-09 01:22:44;378393868;43.79702;40.27012;-8484;7840;6
Облако-земля;2023-10-09 01:22:55;320777659;43.69547;40.37113;45640;0;14
Облако-облако;2023-10-09 01:23:53;605595361;43.7432;40.1540899;-5533;3106;6
Облако-земля;2023-10-09 01:24:08;338601743;43.5078699;40.04607;-16699;0;9
Облако-земля;2023-10-09 01:24:08;534115193;43.55624;40.21817;-8106;0;15
Облако-земля;2023-10-09 01:24:56;797100537;43.74546;40.16329;-6649;0;14
Облако-земля;2023-10-09 01:25:16;859897614;43.6815799;40.0321;-13341;0;7
Облако-земля;2023-10-09 01:25:21;959675969;43.56786;40.18673;-3449;0;9
Облако-земля;2023-10-09 01:25:51;849451184;43.56538;40.10248;37779;0;15
Облако-облако;2023-10-09 01:25:51;991666251;43.69214;40.18424;5044;10362;8
Облако-облако;2023-10-09 01:26:14;931434031;41.968;36.66715;-5672;12781;9
Облако-земля;2023-10-09 01:26:20;908116998;43.53083;40.1115799;-22754;0;15
Облако-земля;2023-10-09 01:26:27;865531965;43.80177;40.2993499;-28157;0;9
Облако-облако;2023-10-09 01:27:24;166581024;43.59843;40.2166;13964;5245;9
Облако-облако;2023-10-09 01:27:24;172700627;43.5295599;40.13041;-2726;8950;7
Облако-земля;2023-10-09 01:27:33;470616569;43.63362;40.28028;-8735;0;13
Облако-облако;2023-10-09 01:28:32;837930636;43.54377;40.12303;-7079;13963;7
Облако-земля;2023-10-09 01:29:15;407349770;41.96828;36.6913;-23155;0;16
Облако-облако;2023-10-09 01:29:22;587019340;43.73991;40.27603;-4575;5334;7
Облако-земля;2023-10-09 01:29:34;376057636;43.55213;40.1381;-6116;0;7
Облако-облако;2023-10-09 01:29:58;776279943;43.59581;40.19307;-7337;3005;9
Облако-земля;2023-10-09 01:29:59;933680701;43.83153;40.25235;-6697;0;6
Облако-земля;2023-10-09 01:29:59;579736044;43.6454;40.07701;18143;0;7
Облако-облако;2023-10-09 01:29:59;958553955;43.86966;40.4134699;-8654;8848;10
Облако-облако;2023-10-09 01:30:57;558657226;43.76785;40.34415;-9083;3434;13
Облако-облако;2023-10-09 01:31:30;770020668;42.01207;36.83626;9301;19537;14
Облако-земля;2023-10-09 01:31:30;414277759;41.87127;36.65533;-4896;0;8
Облако-облако;2023-10-09 01:31:33;592868713;43.78712;40.36751;-6561;3643;7
Облако-облако;2023-10-09 01:31:33;621694999;43.83953;40.53392;-2940;3119;13
Облако-земля;2023-10-09 01:32:35;587930647;43.49125;40.11125;-9407;0;7
Облако-облако;2023-10-09 01:32:50;601019841;41.96428;36.74908;8468;19730;15
Облако-земля;2023-10-09 01:33:26;390689395;43.86784;40.31685;42545;0;16
Облако-земля;2023-10-09 01:33:37;664024079;43.50513;40.07809;-8612;0;7
Облако-земля;2023-10-09 01:33:43;448412928;41.89126;36.79331;-11691;0;16
Облако-земля;2023-10-09 01:34:30;714606099;43.51939;40.14818;-9597;0;7
Облако-земля;2023-10-09 01:34:35;501160030;43.7499899;40.18677;43084;0;19
Облако-облако;2023-10-09 01:34:35;478587308;43.76599;40.45713;-5527;13874;10
Облако-земля;2023-10-09 01:35:31;78167038;41.93394;36.76558;-14727;0;13
Облако-земля;2023-10-09 01:35:48;15668347;43.77922;40.23713;-5111;0;6
Облако-облако;2023-10-09 01:36:09;230163283;41.95394;36.78504;5068;9755;8
Облако-облако;2023-10-09 01:36:23;455455545;43.5732799;40.21981;-7529;8531;18
Облако-земля;2023-10-09 01:36:23;475420148;43.49684;40.13861;-16427;0;6
