Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-03-03 15:51:04;260036899;41.02172;36.32687;-3434;8158;9
Облако-облако;2023-03-03 15:51:57;406356771;41.0116299;36.34828;-3348;3704;8
Облако-облако;2023-03-03 15:52:22;89509747;41.01739;36.3225399;-2476;9853;7
Облако-облако;2023-03-03 15:53:13;890130550;41.02843;36.31612;-4684;16917;10
Облако-облако;2023-03-03 15:53:35;535295346;41.02166;36.32855;-3342;8983;9
Облако-облако;2023-03-03 15:54:21;996494487;41.02507;36.34111;-4131;5893;9
Облако-земля;2023-03-03 15:54:40;887797105;41.02698;36.34364;-4922;0;12
Облако-земля;2023-03-03 15:55:20;753543277;41.03635;36.30421;-4421;0;7
Облако-облако;2023-03-03 15:55:21;66735822;41.01955;36.50898;2858;10460;7
Облако-облако;2023-03-03 15:55:48;942981313;41.04282;36.36077;-2763;6468;6
Облако-облако;2023-03-03 15:57:57;44746384;41.02806;36.41122;2861;19692;7
Облако-облако;2023-03-03 15:58:49;700597269;41.1011499;36.5109;3038;11069;7
Облако-земля;2023-03-03 15:59:17;594164847;41.00586;36.77785;-11002;0;13
Облако-облако;2023-03-03 15:59:41;614024913;41.06088;36.3703999;-4983;9528;12
Облако-облако;2023-03-03 16:00:09;415939432;41.06161;36.37275;-3435;10018;7
Облако-земля;2023-03-03 16:00:30;938393830;41.05867;36.38084;-3136;0;7
Облако-земля;2023-03-03 16:01:03;650852552;41.03982;36.42283;7306;0;13
Облако-облако;2023-03-03 16:01:59;354521489;41.04607;36.39701;2053;3131;7
Облако-облако;2023-03-03 16:02:29;757240176;41.02872;36.43942;1932;7965;5
Облако-земля;2023-03-03 16:02:39;539039022;41.04572;36.4894;-8005;0;14
Облако-земля;2023-03-03 16:05:38;641247146;41.06783;36.43027;-6043;0;15
Облако-облако;2023-03-03 16:07:02;641295872;41.08003;36.4268;-2725;10510;8
Облако-облако;2023-03-03 16:09:22;580503887;41.05072;36.54784;2179;3645;6
Облако-облако;2023-03-03 16:13:15;463669678;41.10319;36.47919;-5682;6623;12
Облако-облако;2023-03-03 16:26:21;584197989;41.27174;36.66426;-13681;9021;11
Облако-земля;2023-03-03 16:28:14;206944846;41.00682;37.42908;-6768;0;11
Облако-земля;2023-03-03 16:28:19;902729000;41.2415;36.5909;10856;0;6
Облако-земля;2023-03-03 16:29:03;903876648;41.02119;37.42198;-6745;0;9
Облако-земля;2023-03-03 16:30:41;366428730;41.0673;37.36159;-3272;0;11
Облако-облако;2023-03-03 16:30:55;255262653;41.20357;36.62081;-23221;7181;16
Облако-земля;2023-03-03 16:32:03;884877289;41.025;37.2622799;-45954;0;17
Облако-земля;2023-03-03 16:32:07;77598252;41.26097;36.6377499;-15231;0;18
Облако-облако;2023-03-03 16:34:28;992356589;41.24119;36.64929;-8482;17369;12
Облако-облако;2023-03-03 16:35:41;259330757;41.20872;37.27322;-4418;8248;10
