Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-08-06 09:30:36;300608419;41.29009;43.67264;-13432;19962;12
Облако-земля;2023-08-06 10:22:28;186798825;41.15797;41.43031;-11549;0;11
Облако-облако;2023-08-06 10:26:21;400438774;41.22543;41.5082499;7673;14205;7
Облако-облако;2023-08-06 10:26:21;400931395;41.19431;41.3915099;-8016;16634;10
Облако-облако;2023-08-06 10:29:29;273684921;41.1903;41.38379;7590;15242;9
Облако-облако;2023-08-06 10:31:15;350354423;41.04274;42.75877;-14699;16933;11
Облако-облако;2023-08-06 10:31:34;110210152;41.22347;43.4865;-7475;11774;12
Облако-земля;2023-08-06 10:34:24;64476631;41.22838;43.4760599;-3835;0;8
Облако-облако;2023-08-06 10:34:48;203320535;41.00068;42.7072999;-6272;12538;10
Облако-облако;2023-08-06 10:44:22;557508280;41.03545;42.77227;-8432;3003;8
Облако-облако;2023-08-06 10:46:34;363660662;41.05769;42.54689;-4168;15115;7
Облако-облако;2023-08-06 10:46:41;219598336;41.05998;42.45586;5842;19540;7
Облако-облако;2023-08-06 10:46:41;197264440;41.11944;42.59388;-3224;3656;9
Облако-облако;2023-08-06 10:49:03;779053590;41.00625;42.78289;-5586;3122;11
Облако-облако;2023-08-06 10:50:02;395066873;41.1729399;42.37909;-4699;10038;12
Облако-облако;2023-08-06 10:53:10;293151514;41.08841;42.4698;4482;14971;11
Облако-облако;2023-08-06 10:57:32;195371535;41.05716;42.7611;-6218;16004;11
Облако-облако;2023-08-06 11:00:09;507428180;41.08114;42.7582;-9747;7256;7
Облако-облако;2023-08-06 11:00:09;488293295;41.05748;42.58529;5707;4902;7
Облако-облако;2023-08-06 11:04:27;606500246;41.08914;42.75744;-8841;4408;14
Облако-земля;2023-08-06 11:04:28;113638736;41.05339;42.60373;-5616;0;9
Облако-облако;2023-08-06 11:06:08;924155991;41.00972;42.68469;-19895;3529;13
Облако-облако;2023-08-06 11:19:55;392579431;41.13009;42.73623;-4979;3034;7
Облако-облако;2023-08-06 11:19:55;376133705;41.09247;42.62301;5371;7305;7
Облако-облако;2023-08-06 11:20:01;983450485;41.22044;42.44994;-5422;11992;8
Облако-облако;2023-08-06 11:20:49;545946207;41.05286;42.64435;-5220;7256;8
Облако-облако;2023-08-06 11:23:49;698325963;41.24441;42.43976;-3414;11804;8
Облако-облако;2023-08-06 11:24:45;833313571;41.2087999;42.43815;-5948;17331;13
Облако-облако;2023-08-06 11:25:41;884187384;41.1471;42.72872;-7682;3002;9
Облако-облако;2023-08-06 11:25:54;798842699;41.24582;42.44195;-7303;11509;10
Облако-облако;2023-08-06 11:27:37;948633068;41.1255;42.62928;12357;17571;14
Облако-облако;2023-08-06 11:27:37;971278205;41.22159;42.5253;-6082;16612;10
Облако-облако;2023-08-06 11:27:37;975615958;41.17474;42.75283;-7050;5883;7
Облако-облако;2023-08-06 11:28:02;500486950;41.24806;42.44099;-2806;18609;6
Облако-облако;2023-08-06 11:30:13;652194728;41.25901;42.4555999;-6077;4037;10
Облако-облако;2023-08-06 11:30:43;916713641;41.18011;42.39331;-3868;16540;5
Облако-облако;2023-08-06 11:34:16;613324630;41.21074;42.57889;-5951;12583;11
Облако-земля;2023-08-06 11:36:58;467275781;41.21602;42.40646;-10180;0;16
Облако-земля;2023-08-06 11:41:07;772861168;41.20674;42.4236;-8484;0;15
Облако-земля;2023-08-06 11:42:22;863511111;41.19975;42.67281;-14976;0;15
Облако-облако;2023-08-06 11:42:32;396192449;41.21012;42.43265;-6952;15044;12
Облако-облако;2023-08-06 11:42:32;408521518;41.2583399;42.54499;-11814;4505;13
Облако-земля;2023-08-06 11:44:12;567060890;41.21575;42.45231;-15806;0;15
Облако-облако;2023-08-06 11:45:20;801666096;41.31594;42.65548;-10696;3624;15
Облако-земля;2023-08-06 11:45:21;120130243;41.28485;42.46155;-7718;0;8
Облако-земля;2023-08-06 11:47:24;690680838;41.25653;42.45952;-13250;0;13
Облако-облако;2023-08-06 11:48:36;331839729;41.28679;42.48926;3964;17715;7
Облако-облако;2023-08-06 11:49:06;467740302;41.27358;43.90037;-4098;11880;7
Облако-облако;2023-08-06 11:50:17;209058966;41.26502;43.88905;-3819;18732;6
Облако-облако;2023-08-06 11:51:30;46579171;41.01612;42.8984499;-6621;4505;9
Облако-земля;2023-08-06 11:54:44;463867344;41.1837;43.9469;13546;0;16
Облако-земля;2023-08-06 11:54:44;447093387;41.05609;44.01419;-8770;0;9
Облако-облако;2023-08-06 11:57:52;267874639;41.23412;42.71507;-8071;17088;12
Облако-облако;2023-08-06 12:02:45;120822650;41.31228;42.63165;3618;12201;7
Облако-облако;2023-08-06 12:02:45;93480345;41.33851;42.77166;-14871;3830;8
Облако-облако;2023-08-06 12:03:42;322935068;41.39665;42.79942;-5032;3383;10
Облако-земля;2023-08-06 12:05:30;394820603;41.25335;42.69446;-3579;0;8
Облако-облако;2023-08-06 12:06:51;891390530;41.00594;42.79693;-7633;3094;7
Облако-облако;2023-08-06 12:08:09;675126964;41.39428;42.69415;-9542;5432;10
Облако-земля;2023-08-06 12:08:34;947060206;41.04117;42.7795;-4056;0;7
Облако-облако;2023-08-06 12:10:03;888566579;41.39116;42.69924;-10507;4335;10
Облако-земля;2023-08-06 12:10:11;750209060;41.02459;42.78654;-12151;0;15
Облако-облако;2023-08-06 12:10:38;844167844;41.45167;42.74951;-6026;5382;10
Облако-земля;2023-08-06 12:11:34;676740494;41.04398;42.77334;-13333;0;15
Облако-земля;2023-08-06 12:12:55;86476622;41.00639;42.7704;-10049;0;14
Облако-облако;2023-08-06 12:12:55;53686297;41.07694;42.86781;-4268;3253;15
Облако-земля;2023-08-06 12:13:02;981317891;41.3524699;42.54833;-9281;0;13
Облако-земля;2023-08-06 12:13:37;146071661;41.29445;42.6502;-3984;0;6
Облако-облако;2023-08-06 12:13:37;107795201;41.32024;42.79932;-17920;7236;12
Облако-облако;2023-08-06 12:13:37;93941330;41.46003;42.98245;-7336;3000;7
Облако-облако;2023-08-06 12:13:52;200269103;41.4286699;42.59423;-6558;9052;12
Облако-облако;2023-08-06 12:14:58;125957955;41.45895;42.69739;-32447;7504;9
Облако-облако;2023-08-06 12:14:58;180865258;41.61119;42.59715;-8837;18064;7
Облако-облако;2023-08-06 12:15:34;363696104;41.05732;42.89336;6522;19379;10
Облако-облако;2023-08-06 12:17:38;584017517;41.50855;42.65496;-5955;17281;7
Облако-земля;2023-08-06 12:18:15;849643215;41.35126;42.56731;-4499;0;10
Облако-облако;2023-08-06 12:18:15;847599938;41.51213;42.49218;-5064;10636;13
Облако-облако;2023-08-06 12:19:11;686026498;41.45485;42.74039;-6927;3495;8
Облако-облако;2023-08-06 12:19:11;700605107;41.40874;42.59077;-3142;14655;7
Облако-земля;2023-08-06 12:19:54;864613777;41.27694;42.73877;-11888;0;15
Облако-облако;2023-08-06 12:19:54;670549909;41.32232;42.87142;-10497;16983;11
Облако-земля;2023-08-06 12:20:04;244817891;41.4204099;42.61541;-4160;0;8
Облако-облако;2023-08-06 12:20:30;57325367;41.13788;43.00068;-3958;11792;7
Облако-облако;2023-08-06 12:22:03;623562601;43.63351;42.2573;4130;5686;7
Облако-облако;2023-08-06 12:22:49;461836107;41.32934;42.7119;-4302;7361;10
Облако-облако;2023-08-06 12:22:49;475033601;41.38007;42.94447;-8472;3020;11
Облако-облако;2023-08-06 12:22:54;573717418;43.59655;42.24262;3993;5781;9
Облако-облако;2023-08-06 12:23:03;447038985;41.45048;42.54038;3381;17139;7
Облако-облако;2023-08-06 12:23:26;232707105;43.60725;42.2415499;5394;3000;9
