Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-05-19 01:10:22;811103841;41.72962;45.18358;-3590;0;7
Облако-земля;2023-05-19 01:10:22;780094275;41.77613;45.31802;-12396;0;12
Облако-земля;2023-05-19 01:55:18;130014175;41.89881;46.71473;-14705;0;10
Облако-земля;2023-05-19 02:16:35;475959272;41.9401;46.94405;-17622;0;13
Облако-земля;2023-05-19 08:59:17;226635489;41.22943;43.10067;8187;0;15
Облако-облако;2023-05-19 09:02:46;612647493;41.23495;43.27455;-4910;6280;13
Облако-облако;2023-05-19 09:04:41;988994606;41.29573;43.219;3412;6133;7
Облако-облако;2023-05-19 09:05:23;45423453;41.30944;43.1932199;-4432;8987;8
Облако-облако;2023-05-19 09:05:56;620393981;41.32626;43.30399;-7992;7500;10
Облако-облако;2023-05-19 09:06:57;407214786;41.32231;43.2607;-4054;7750;7
Облако-облако;2023-05-19 09:09:16;446166122;41.3457;43.26371;-7654;3592;12
Облако-облако;2023-05-19 09:09:53;108937716;41.18832;43.18941;-4265;11941;7
Облако-облако;2023-05-19 09:09:53;59078711;41.30046;43.14749;-3476;13230;7
Облако-облако;2023-05-19 09:10:53;28750482;41.38376;43.1531499;-3971;3004;7
Облако-облако;2023-05-19 09:11:27;130133568;41.24646;43.35297;-4246;7668;10
Облако-облако;2023-05-19 09:12:58;304297794;41.38951;43.31476;-3867;12798;7
Облако-облако;2023-05-19 09:14:17;645733865;41.27053;43.32543;-5527;5414;9
Облако-облако;2023-05-19 09:14:37;377309462;41.35217;43.18269;3767;3017;10
Облако-земля;2023-05-19 09:17:19;777557000;41.23749;43.2257;8913;0;6
Облако-облако;2023-05-19 09:17:19;924235301;41.28933;43.42617;-4237;3017;8
Облако-облако;2023-05-19 09:19:01;407888759;41.23285;43.20713;-3805;3141;10
Облако-облако;2023-05-19 09:19:27;385918380;41.28032;43.32693;-3975;19941;6
Облако-облако;2023-05-19 09:19:27;373283543;41.25326;43.20315;-4777;11210;8
Облако-облако;2023-05-19 09:20:48;720530677;41.26753;43.23632;4008;7853;8
Облако-земля;2023-05-19 09:21:03;482183546;41.24922;43.21989;-3810;0;7
Облако-земля;2023-05-19 09:21:25;455767244;41.26495;43.27066;-3301;0;10
Облако-облако;2023-05-19 09:22:12;312115700;41.1498;43.40388;-2298;12639;5
Облако-земля;2023-05-19 09:22:49;848858219;41.4131;43.14673;-4275;0;10
Облако-земля;2023-05-19 09:23:27;92886183;41.24137;43.25517;-6285;0;12
Облако-облако;2023-05-19 09:23:46;641523366;41.37424;43.24199;-3875;6798;7
Облако-облако;2023-05-19 09:24:09;443983966;41.2636899;43.2284099;-3699;18280;8
Облако-облако;2023-05-19 09:24:28;861590844;41.42738;43.32382;-6382;4111;9
Облако-облако;2023-05-19 09:26:31;654952553;41.20263;43.25009;-3085;3001;9
Облако-облако;2023-05-19 09:26:50;588497805;41.33545;43.32327;-4526;5144;10
Облако-облако;2023-05-19 09:27:42;560562662;41.41336;43.27668;-4442;4409;13
Облако-облако;2023-05-19 09:28:26;704786583;41.43386;43.27068;-3503;7313;7
Облако-облако;2023-05-19 09:28:31;902647563;41.2805;43.26577;-3851;12275;6
Облако-облако;2023-05-19 09:29:36;400318785;41.37262;43.421;-4007;4049;7
Облако-облако;2023-05-19 09:30:14;985503262;41.26781;43.28965;-3445;11252;9
Облако-облако;2023-05-19 09:30:19;940593450;41.41133;43.44874;-3346;3785;11
Облако-облако;2023-05-19 09:31:24;206883041;41.26981;43.28427;-3544;3012;6
Облако-облако;2023-05-19 09:31:45;494768965;41.31291;43.42333;-4581;5906;8
Облако-облако;2023-05-19 09:33:03;146919668;41.21635;43.33941;-2428;12184;6
Облако-земля;2023-05-19 09:33:10;232905800;41.38751;43.29997;3318;0;6
Облако-облако;2023-05-19 09:33:28;261312841;41.37243;43.43331;-3101;19780;9
Облако-облако;2023-05-19 09:33:55;810709783;41.32398;43.44461;-4576;4212;6
Облако-облако;2023-05-19 09:34:19;483626239;41.45355;43.40053;-5918;13188;12
Облако-земля;2023-05-19 09:35:14;484763469;41.29252;43.29055;-3136;0;6
Облако-облако;2023-05-19 09:37:18;207340679;41.48204;43.30321;-3749;6987;7
Облако-облако;2023-05-19 09:37:20;419910059;41.66977;43.25367;-2893;3011;8
Облако-облако;2023-05-19 09:37:20;425926912;41.41935;43.34361;-5106;11427;10
Облако-облако;2023-05-19 09:39:03;265689212;41.3957;43.5149199;-4160;6731;7
Облако-облако;2023-05-19 09:39:51;579857482;41.45377;43.39083;3053;18337;6
Облако-облако;2023-05-19 09:42:25;426870269;41.47575;43.58949;-7279;18352;9
Облако-земля;2023-05-19 09:43:04;422257302;41.45047;43.3925;-6756;0;10
Облако-облако;2023-05-19 09:43:16;785129124;41.39947;43.26221;-4193;12321;7
Облако-земля;2023-05-19 09:44:33;384413577;41.41983;43.52742;8289;0;7
Облако-облако;2023-05-19 09:46:14;532784747;41.40676;43.27628;-3111;12671;7
Облако-облако;2023-05-19 09:46:24;992437223;41.43639;43.53769;-12028;15194;14
Облако-земля;2023-05-19 09:47:30;404212513;41.4378699;43.52329;41757;0;15
Облако-земля;2023-05-19 09:47:51;630502000;41.47379;43.4265;4452;0;5
Облако-облако;2023-05-19 09:49:11;520380504;41.46508;43.55227;-3693;17947;7
Облако-земля;2023-05-19 09:49:25;116564569;41.44898;43.5486999;-17651;0;15
Облако-облако;2023-05-19 09:50:50;807855480;41.65002;43.45947;-3886;12652;7
Облако-земля;2023-05-19 09:51:00;737567021;41.45039;43.49177;12817;0;16
Облако-облако;2023-05-19 09:51:12;813648562;41.48306;43.62039;-5386;7660;6
Облако-облако;2023-05-19 09:51:25;551056137;41.45059;43.51658;-6519;19574;14
Облако-облако;2023-05-19 09:51:46;876888646;41.39902;43.44744;-5576;12711;7
Облако-облако;2023-05-19 09:52:53;614306557;41.4589;43.52688;-2806;10168;6
Облако-облако;2023-05-19 09:53:19;6942802;41.49308;43.54538;-3704;10637;5
Облако-облако;2023-05-19 09:53:51;387070576;41.55992;43.55048;-3501;14591;7
Облако-облако;2023-05-19 09:55:33;11019806;41.56647;43.62308;-5150;4201;12
Облако-облако;2023-05-19 09:55:44;744301358;41.52719;43.73853;-4861;17070;7
Облако-облако;2023-05-19 09:56:20;502767954;41.49065;43.5833;102226;11346;13
Облако-облако;2023-05-19 09:57:33;448558231;41.55119;43.72744;-13941;5754;14
Облако-облако;2023-05-19 09:57:33;324278194;41.64869;43.48574;-3271;7739;6
Облако-облако;2023-05-19 09:57:33;345458781;41.49648;43.59338;-12970;8985;12
Облако-облако;2023-05-19 09:58:22;348719629;41.60471;43.83158;-9312;3347;9
Облако-облако;2023-05-19 09:58:22;130115356;41.72023;43.53993;-3320;7280;7
Облако-земля;2023-05-19 09:59:25;91885956;41.52009;43.5694;63959;0;18
Облако-облако;2023-05-19 10:02:10;397743424;41.47889;43.62976;-2624;9150;5
Облако-облако;2023-05-19 10:02:26;90445245;41.58966;43.56903;2254;6041;7
