Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-03-17 13:00:41;578569724;41.01212;36.81604;-12651;0;16
Облако-облако;2023-03-17 17:49:02;614843651;41.0017;41.6313;-25353;3020;8
Облако-облако;2023-03-17 18:25:50;152183953;41.0464;41.49494;-6507;18117;10
Облако-земля;2023-03-17 23:36:11;200984774;41.1186099;40.93404;-7891;0;11
Облако-земля;2023-03-17 23:37:16;313529877;41.11588;40.9533;-9159;0;14
Облако-облако;2023-03-17 23:40:37;738034651;41.10631;41.00115;-7892;15893;12
Облако-облако;2023-03-17 23:45:35;646668164;41.18416;41.12545;-24877;5678;11
Облако-облако;2023-03-17 23:45:35;631891366;41.14807;40.96043;-81750;13905;11
Облако-облако;2023-03-17 23:48:51;354203640;41.13608;41.05131;-37932;5496;19
