Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-07-25 00:14:41;768034633;41.2433;44.27377;5399;3001;9
Облако-земля;2023-07-25 00:51:13;223553832;41.24215;42.53664;-6011;0;14
Облако-облако;2023-07-25 00:51:13;232962280;41.3137;42.67326;11211;3100;10
Облако-облако;2023-07-25 00:54:12;752970798;41.3345399;42.57394;-9554;9437;10
Облако-облако;2023-07-25 00:55:49;928595102;41.28242;42.52147;6646;11069;10
Облако-облако;2023-07-25 00:55:49;954570788;41.21414;42.37561;-4858;9100;10
Облако-земля;2023-07-25 00:58:44;962125200;41.01629;41.71645;-14766;0;18
Облако-облако;2023-07-25 00:59:20;494183471;41.30403;42.54527;-4801;3373;12
Облако-земля;2023-07-25 00:59:55;434945235;41.1516499;45.37107;12716;0;12
Облако-облако;2023-07-25 00:59:55;314732315;41.06322;45.12668;-5033;3024;7
Облако-облако;2023-07-25 01:03:52;633977079;41.0039;41.76896;4375;19368;10
Облако-облако;2023-07-25 01:06:33;970125617;41.06611;41.82701;-5596;19573;13
Облако-земля;2023-07-25 02:00:32;76795519;41.42311;42.50114;-14754;0;14
Облако-земля;2023-07-25 02:06:26;996912776;41.52982;43.72375;-9306;0;9
Облако-земля;2023-07-25 02:07:31;242554289;41.38076;43.39903;-14369;0;10
Облако-земля;2023-07-25 02:10:28;73839949;41.4187;43.36555;-11758;0;14
Облако-земля;2023-07-25 02:13:06;661022346;41.44411;43.42945;-12018;0;12
Облако-земля;2023-07-25 02:16:28;340032073;41.27658;42.11509;-6020;0;12
Облако-земля;2023-07-25 02:17:36;36774753;41.41057;43.49422;-11969;0;16
Облако-облако;2023-07-25 02:18:26;987477237;41.00271;46.87883;-5555;14637;7
Облако-облако;2023-07-25 02:26:09;629383652;41.12012;46.90647;4026;14823;7
Облако-облако;2023-07-25 03:08:45;793359369;41.47939;41.17124;6356;19210;12
Облако-земля;2023-07-25 03:08:46;89149290;41.39483;41.03458;-12583;0;15
Облако-земля;2023-07-25 03:11:19;138648472;41.44907;41.15376;12341;0;14
Облако-облако;2023-07-25 03:18:55;731636748;41.16453;42.76479;5932;5829;14
Облако-земля;2023-07-25 03:21:39;365360411;41.47388;41.18162;23616;0;17
Облако-земля;2023-07-25 03:30:46;839079234;41.09093;42.179;-14068;0;17
Облако-облако;2023-07-25 03:30:46;731793107;41.10754;42.3331;-4142;3061;7
Облако-земля;2023-07-25 03:41:25;279967781;41.1733199;42.19686;-17109;0;16
Облако-облако;2023-07-25 03:44:27;857145161;41.12806;42.30427;1479;4020;6
Облако-земля;2023-07-25 04:10:53;317005897;41.02197;44.43183;-13569;0;15
Облако-облако;2023-07-25 04:12:52;305320635;41.0210999;44.46028;-4381;15160;9
Облако-земля;2023-07-25 04:14:14;873413127;41.02352;44.43935;-10336;0;13
Облако-земля;2023-07-25 04:15:39;481242737;41.03241;44.45999;-20278;0;16
Облако-земля;2023-07-25 04:17:27;119181764;41.03639;44.43851;-7378;0;12
Облако-земля;2023-07-25 04:19:46;351582447;41.05956;44.48995;-10288;0;12
Облако-земля;2023-07-25 04:22:03;868255982;41.0441;44.47619;-11349;0;14
Облако-земля;2023-07-25 04:25:24;50069728;41.20429;46.29026;-8024;0;11
Облако-земля;2023-07-25 04:25:45;196213058;41.16677;46.25536;-13583;0;18
Облако-облако;2023-07-25 04:25:51;458213564;41.10412;43.9163;-12087;11073;13
Облако-земля;2023-07-25 04:26:09;721730728;41.2008;46.2471699;-7893;0;13
Облако-земля;2023-07-25 04:26:57;250259000;41.1961;46.2649;-7993;0;6
Облако-земля;2023-07-25 04:28:17;118448217;41.24901;46.23297;5473;0;10
Облако-земля;2023-07-25 04:29:31;251730715;41.203;46.26996;-14909;0;15
