Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-05-20 07:53:19;393193987;43.76312;38.11172;-6606;3264;13
Облако-земля;2023-05-20 08:42:01;411379478;43.90306;36.08174;-4512;0;11
Облако-облако;2023-05-20 08:44:23;135347519;43.92056;36.03197;-24049;10522;9
Облако-земля;2023-05-20 09:00:51;648856428;41.17745;42.26106;-19428;0;14
Облако-облако;2023-05-20 09:22:46;935811587;41.11629;37.94359;-5507;15216;12
Облако-земля;2023-05-20 09:26:47;53306155;44.18945;36.13933;-31826;0;16
Облако-облако;2023-05-20 09:29:01;226151072;41.54063;42.85778;-2948;16717;9
Облако-облако;2023-05-20 09:29:54;233355986;41.55835;42.86597;3621;11705;7
Облако-облако;2023-05-20 09:32:03;460236791;41.52622;42.84289;-5625;19082;10
Облако-облако;2023-05-20 09:32:03;516044866;41.5848;43.00287;4940;14248;10
Облако-земля;2023-05-20 09:35:07;833619146;41.54302;42.89582;9665;0;13
Облако-облако;2023-05-20 09:36:11;908017370;41.53602;42.84963;-5147;11860;9
Облако-облако;2023-05-20 09:37:00;860136382;41.54215;42.8446;-5427;6268;9
Облако-земля;2023-05-20 09:38:11;900490505;41.52996;42.85951;-4080;0;8
Облако-земля;2023-05-20 09:40:04;314233535;41.54446;42.85206;28447;0;27
Облако-облако;2023-05-20 09:41:43;962521982;41.6198;42.84772;-11130;3822;10
Облако-облако;2023-05-20 09:43:16;616699069;41.58303;42.84483;-5984;9819;6
Облако-облако;2023-05-20 09:50:12;933834098;41.60378;42.9505;-29286;7140;16
Облако-облако;2023-05-20 09:53:02;469322996;41.72687;42.9237899;-15823;9559;9
Облако-облако;2023-05-20 09:53:15;515471695;41.00424;39.44635;3510;12796;6
Облако-земля;2023-05-20 09:56:40;654908233;41.60511;42.89893;41358;0;15
Облако-земля;2023-05-20 09:59:39;585043024;41.68596;42.56079;8871;0;14
Облако-земля;2023-05-20 10:00:38;494321671;41.60971;42.89084;9407;0;7
Облако-земля;2023-05-20 10:02:09;735984566;41.58834;42.91646;-5620;0;8
Облако-земля;2023-05-20 10:03:11;120542871;41.70676;42.86145;7177;0;7
Облако-облако;2023-05-20 10:03:11;327234370;41.80495;42.82264;-3725;17712;6
Облако-облако;2023-05-20 10:04:17;171474320;41.71178;42.88337;-4177;19445;7
Облако-облако;2023-05-20 10:04:39;128977955;43.56843;42.1912499;2075;7027;6
Облако-облако;2023-05-20 10:05:18;313534955;41.6166399;42.98811;-4558;3125;10
Облако-облако;2023-05-20 10:05:19;334311071;43.59578;42.2134799;-2957;4800;7
Облако-облако;2023-05-20 10:05:25;949444416;41.16633;39.47978;-16513;3020;13
Облако-облако;2023-05-20 10:06:01;474575021;43.59381;42.20884;5222;9500;7
Облако-облако;2023-05-20 10:06:12;564899708;41.74264;42.9016;-3050;3002;6
Облако-облако;2023-05-20 10:06:36;688165826;43.59836;42.21622;-1661;8308;5
Облако-облако;2023-05-20 10:07:25;256387249;43.58967;42.18695;2450;3814;6
