Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-02-01 05:25:08;262811508;43.29849;39.81176;-23634;0;12
Облако-земля;2023-02-01 05:33:52;804808834;43.3723699;39.86898;19184;0;6
Облако-облако;2023-02-01 05:36:14;914024437;43.37101;39.85457;-36211;13346;9
Облако-облако;2023-02-01 05:37:45;781387140;43.37298;39.86188;6155;6976;13
Облако-земля;2023-02-01 06:07:40;239118960;43.46958;39.77218;131153;0;13
Облако-земля;2023-02-01 13:24:40;206183348;41.95557;39.08725;54758;0;16
Облако-земля;2023-02-01 14:30:20;941113940;42.04097;39.37075;154186;0;16
Облако-земля;2023-02-01 15:55:49;954574976;42.34885;39.80565;125085;0;11
Облако-земля;2023-02-01 15:55:50;42484780;42.24916;39.6484499;34112;0;16
