Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-07-19 00:00:00;854536381;46.68486;36.58339;13277;15172;14
Облако-облако;2023-07-19 00:00:00;954688498;46.52798;36.64403;2995;16136;7
Облако-облако;2023-07-19 00:00:00;858328507;46.4884;36.4965;5969;4902;11
Облако-облако;2023-07-19 00:00:00;995511977;46.66545;36.3720799;4606;15550;7
Облако-облако;2023-07-19 00:00:57;846237825;46.58008;36.47652;8409;17583;13
Облако-земля;2023-07-19 00:01:40;930150202;46.64079;36.37646;-39184;0;19
Облако-облако;2023-07-19 00:01:40;609996064;46.5703699;36.65111;2442;15773;7
Облако-облако;2023-07-19 00:01:41;220999108;46.49096;36.45438;-5591;15513;8
Облако-земля;2023-07-19 00:02:36;251460849;46.52412;36.32686;-15409;0;18
Облако-земля;2023-07-19 00:02:36;241974072;46.56789;36.57002;-7533;0;7
Облако-облако;2023-07-19 00:04:35;977791040;46.71087;36.44515;13151;4653;12
Облако-облако;2023-07-19 00:04:35;954836005;46.72416;36.64628;8174;11789;17
Облако-земля;2023-07-19 00:04:36;106504533;46.52611;36.3649;-3692;0;6
Облако-облако;2023-07-19 00:04:36;125501473;46.44947;36.61097;-5253;15735;12
Облако-облако;2023-07-19 00:04:47;21740510;47.12657;37.70265;6370;7115;7
Облако-облако;2023-07-19 00:04:47;18065484;47.28483;37.37122;12608;8387;9
Облако-облако;2023-07-19 00:04:47;23509955;47.364;37.58327;10471;11315;18
Облако-облако;2023-07-19 00:05:11;817522375;46.62144;36.48889;3432;14023;8
Облако-облако;2023-07-19 00:05:11;854211302;46.72144;36.70295;-7944;16966;10
Облако-земля;2023-07-19 00:05:12;233570545;46.60523;36.35881;-9881;0;15
Облако-земля;2023-07-19 00:06:41;170914638;47.27485;37.39732;-14097;0;13
Облако-земля;2023-07-19 00:07:10;551091142;46.75694;36.7603099;-10717;0;14
Облако-земля;2023-07-19 00:07:10;803598065;46.64984;36.41186;-21318;0;17
Облако-земля;2023-07-19 00:07:10;549691353;46.60029;36.68537;-5687;0;7
Облако-облако;2023-07-19 00:08:48;904526426;46.68728;36.70998;-6469;17450;11
Облако-земля;2023-07-19 00:08:48;954530721;46.6526799;36.50165;-7121;0;14
Облако-облако;2023-07-19 00:09:42;739743358;46.59686;36.5839;12202;7081;15
Облако-земля;2023-07-19 00:09:42;798834881;46.54627;36.27733;-60678;0;15
Облако-облако;2023-07-19 00:09:42;744586610;46.40998;36.55276;3718;10471;7
Облако-облако;2023-07-19 00:12:08;312605758;46.56565;36.85802;5887;9503;7
Облако-облако;2023-07-19 00:12:08;316477970;46.77911;36.68305;15169;7392;12
Облако-облако;2023-07-19 00:12:08;310049106;46.48909;36.6276;4450;19502;7
Облако-облако;2023-07-19 00:12:08;329554464;46.6111099;36.57826;5450;13971;5
Облако-земля;2023-07-19 00:12:35;559778260;46.5259;36.44896;-87310;0;9
Облако-облако;2023-07-19 00:12:35;589786935;46.59247;36.62639;-8841;5096;16
Облако-облако;2023-07-19 00:12:35;583505250;46.51085;36.2864999;-11186;15662;13
