Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-05-03 14:12:07;491056339;47.44858;46.88068;-26911;3009;8
Облако-облако;2023-05-03 14:29:53;282275977;47.57956;46.93761;-24013;19864;9
Облако-облако;2023-05-03 14:34:25;540500851;47.25078;46.88301;-30666;17650;14
Облако-облако;2023-05-03 14:39:36;813480124;47.49163;46.99566;-4337;19897;6
Облако-облако;2023-05-03 14:48:37;411299375;47.43893;46.96052;-5671;18765;6
Облако-земля;2023-05-03 14:50:18;867456276;47.17912;46.6473;-7270;0;7
Облако-земля;2023-05-03 15:05:00;481797073;47.3389;46.94718;-12006;0;11
Облако-облако;2023-05-03 15:05:47;569229435;47.21703;46.96456;-18136;19357;12
Облако-земля;2023-05-03 15:09:06;806970807;47.32853;46.91737;-6300;0;6
Облако-земля;2023-05-03 15:12:14;646194636;47.22657;46.93896;-3927;0;6
Облако-облако;2023-05-03 15:17:06;198044239;47.20734;46.9714699;-6529;4649;8
Облако-земля;2023-05-03 15:19:46;500431866;47.2463399;46.94375;-10199;0;8
Облако-земля;2023-05-03 15:25:07;915814744;47.23513;46.77084;-8566;0;7
Облако-земля;2023-05-03 15:25:08;128704000;47.3308;46.9382;-9638;0;8
Облако-облако;2023-05-03 15:32:06;186468404;47.98247;46.74778;-6395;18641;7
Облако-облако;2023-05-03 15:35:36;597590706;47.97931;46.7284999;-12284;19104;10
Облако-земля;2023-05-03 15:36:04;12382125;47.18607;46.87432;-7127;0;8
Облако-облако;2023-05-03 15:37:04;722780752;47.97974;46.7615;-5217;19075;6
Облако-облако;2023-05-03 15:37:33;189219156;47.17245;46.86968;-24782;15535;10
Облако-облако;2023-05-03 15:40:30;145540747;47.16264;46.87438;-17746;17573;9
Облако-земля;2023-05-03 15:41:07;35284936;47.93824;46.72968;-2919;0;5
Облако-облако;2023-05-03 15:53:02;232273984;47.19392;46.81339;3828;3002;6
Облако-земля;2023-05-03 16:12:08;915129963;47.07335;46.72004;-10326;0;10
Облако-земля;2023-05-03 16:18:43;250262369;47.25125;46.12392;4677;0;8
Облако-облако;2023-05-03 16:20:59;263951773;47.24963;46.07956;-16098;15193;13
Облако-земля;2023-05-03 16:37:06;936494176;47.15195;46.07731;29332;0;15
