Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-08-22 00:00:02;13519502;41.33122;41.3056;4707;17998;7
Облако-облако;2023-08-22 00:00:03;772773307;43.04003;41.42901;11359;5262;9
Облако-земля;2023-08-22 00:00:03;783880443;43.00976;41.28067;-5439;0;6
Облако-облако;2023-08-22 00:00:05;586382391;41.8578199;41.20037;-4494;6745;5
Облако-облако;2023-08-22 00:00:05;976067019;41.62057;41.95068;6791;3660;11
Облако-земля;2023-08-22 00:00:07;800208502;41.5673699;42.14417;-9415;0;11
Облако-облако;2023-08-22 00:00:07;790933511;41.43675;41.34409;-6122;13544;12
Облако-облако;2023-08-22 00:00:12;737219268;41.32181;41.32915;6508;16140;9
Облако-облако;2023-08-22 00:00:12;373135511;41.87459;41.19923;4200;17763;7
Облако-облако;2023-08-22 00:00:12;740942782;41.30815;41.17301;-6262;3016;10
Облако-земля;2023-08-22 00:00:15;764394169;41.51905;42.16673;-10264;0;12
Облако-земля;2023-08-22 00:00:15;373032919;42.04604;42.7684;-12150;0;14
Облако-облако;2023-08-22 00:00:17;541096272;41.52826;41.40903;-5310;18755;10
Облако-облако;2023-08-22 00:00:17;522777863;41.61927;41.55263;8740;5358;10
Облако-земля;2023-08-22 00:00:19;466660646;43.00472;41.27119;-20201;0;6
Облако-облако;2023-08-22 00:00:19;915327855;43.06243;41.5190399;-7498;11368;10
Облако-облако;2023-08-22 00:00:21;205163932;41.34143;41.2475;9609;10643;12
Облако-облако;2023-08-22 00:00:22;582166749;41.45167;41.37936;7243;19576;7
Облако-облако;2023-08-22 00:00:22;583132602;41.56731;41.12713;6160;4099;10
Облако-облако;2023-08-22 00:00:25;307137343;42.1177;43.18877;5398;6444;7
Облако-облако;2023-08-22 00:00:25;302865635;42.10278;43.01874;-6422;6110;9
Облако-облако;2023-08-22 00:00:26;837489316;41.86407;41.20408;6742;14680;7
Облако-облако;2023-08-22 00:00:30;930543773;43.02342;41.28214;4592;19270;6
Облако-земля;2023-08-22 00:00:30;229390719;41.5801;42.12441;-24199;0;13
Облако-облако;2023-08-22 00:00:30;644482409;41.37142;41.29792;10353;3719;11
Облако-земля;2023-08-22 00:00:31;754678139;41.5198899;41.3559;-16935;0;10
Облако-облако;2023-08-22 00:00:33;33565488;41.31941;41.21457;-4713;4729;9
Облако-облако;2023-08-22 00:00:40;989557538;41.31078;41.30251;5864;16206;5
Облако-облако;2023-08-22 00:00:45;462912406;41.87464;41.21397;12243;14894;14
Облако-облако;2023-08-22 00:00:45;466615210;42.01002;41.095;9909;6525;8
Облако-земля;2023-08-22 00:00:46;844858368;41.59259;42.15414;-14790;0;15
Облако-облако;2023-08-22 00:00:47;141769589;41.40305;41.37142;-3374;3000;7
Облако-земля;2023-08-22 00:00:51;501356157;42.0633;42.89116;-13418;0;6
Облако-облако;2023-08-22 00:00:52;201799466;41.44027;41.70641;-10078;7441;12
Облако-облако;2023-08-22 00:00:52;265703191;41.4090599;41.39518;-5801;13400;9
Облако-облако;2023-08-22 00:00:52;196732297;41.58416;41.3191599;4327;13910;8
Облако-земля;2023-08-22 00:00:55;390893361;41.54263;42.09942;-9696;0;12
Облако-облако;2023-08-22 00:00:55;486834186;41.94065;41.2262;5823;18218;10
Облако-облако;2023-08-22 00:00:59;446630702;41.87189;41.1838;4456;3157;6
Облако-облако;2023-08-22 00:00:59;386628247;41.32107;41.34228;6347;3013;10
Облако-облако;2023-08-22 00:00:59;220094251;41.67856;42.4765;10293;3015;11
Облако-облако;2023-08-22 00:01:01;659985564;42.04621;42.88365;-6819;3003;10
Облако-земля;2023-08-22 00:01:03;99674802;41.35834;41.31931;-11883;0;9
Облако-облако;2023-08-22 00:01:04;477749118;41.6412199;41.5561999;5301;3006;7
Облако-облако;2023-08-22 00:01:06;952744736;41.43195;41.32044;-4655;19361;7
Облако-облако;2023-08-22 00:01:06;757011251;41.33113;41.32337;4032;16306;5
Облако-облако;2023-08-22 00:01:06;806721813;41.23533;41.26229;5542;12249;11
Облако-облако;2023-08-22 00:01:09;29903218;41.54045;42.15983;6744;3007;7
Облако-облако;2023-08-22 00:01:10;775473022;41.33216;41.22655;-4587;5161;7
Облако-облако;2023-08-22 00:01:10;357107117;41.54474;41.48216;5872;17002;10
Облако-земля;2023-08-22 00:01:14;203960198;42.03874;41.32585;21846;0;13
Облако-облако;2023-08-22 00:01:15;160487111;41.37606;41.31436;-5354;15142;11
Облако-облако;2023-08-22 00:01:15;724758087;41.57074;41.63706;-3703;3612;7
Облако-облако;2023-08-22 00:01:16;471400971;43.01796;41.28436;6514;15097;6
Облако-облако;2023-08-22 00:01:18;896452773;42.48296;41.8791;4562;7469;8
Облако-облако;2023-08-22 00:01:20;388640508;41.35875;41.13679;-3537;14479;8
Облако-облако;2023-08-22 00:01:26;244360396;41.50465;40.99684;10004;12846;9
Облако-облако;2023-08-22 00:01:28;384252677;41.33982;41.31882;8381;3008;14
Облако-облако;2023-08-22 00:01:28;103415652;41.52268;41.37758;4984;16757;6
Облако-земля;2023-08-22 00:01:30;14874998;41.56151;42.11693;-22978;0;8
Облако-облако;2023-08-22 00:01:30;222789794;41.5635;42.30477;-10243;7834;12
Облако-облако;2023-08-22 00:01:32;454320400;42.15185;43.20826;-8357;7020;11
Облако-облако;2023-08-22 00:01:33;644755278;41.3425;41.29958;7563;4990;10
Облако-облако;2023-08-22 00:01:34;419819534;41.5959;42.13543;-3435;5266;7
Облако-облако;2023-08-22 00:01:35;478900268;41.52819;41.607;-14994;17609;7
Облако-облако;2023-08-22 00:01:36;351817953;42.5068;41.94328;2963;5670;5
Облако-облако;2023-08-22 00:01:36;179840399;41.81961;43.6601;6220;9330;9
Облако-земля;2023-08-22 00:01:40;167553345;42.06807;42.8911;-7452;0;9
Облако-земля;2023-08-22 00:01:40;129075546;41.976;42.92948;-20803;0;8
Облако-облако;2023-08-22 00:01:41;230517065;42.43131;42.09796;5871;5885;11
Облако-облако;2023-08-22 00:01:42;342740532;42.98905;41.25715;3003;17589;6
Облако-облако;2023-08-22 00:01:44;279211408;41.842;41.31733;4510;19549;7
Облако-земля;2023-08-22 00:01:46;699594722;41.60495;42.24291;-10031;0;10
Облако-облако;2023-08-22 00:01:46;404470588;42.08882;43.05334;-6049;6589;7
Облако-облако;2023-08-22 00:01:46;389924130;42.04522;42.8592299;-5649;7894;7
Облако-облако;2023-08-22 00:01:48;981877447;41.38861;41.5024;20791;5892;10
Облако-облако;2023-08-22 00:01:48;963705520;41.33748;41.32746;9701;18463;11
Облако-земля;2023-08-22 00:01:51;866462996;41.37275;41.68447;-27262;0;10
Облако-земля;2023-08-22 00:01:52;444164889;41.46187;41.53355;-11082;0;13
Облако-облако;2023-08-22 00:01:52;583822752;41.61947;42.37572;3720;3000;8
Облако-облако;2023-08-22 00:01:56;288287422;41.32132;41.35245;5947;3015;6
Облако-облако;2023-08-22 00:01:58;548106596;41.89962;41.25057;8327;12386;10
Облако-облако;2023-08-22 00:02:01;398465253;42.49181;41.94986;2462;7230;6
Облако-земля;2023-08-22 00:02:01;284108358;41.35306;41.2909;-8090;0;12
Облако-облако;2023-08-22 00:02:03;231958273;41.46991;41.27564;5899;17981;7
Облако-земля;2023-08-22 00:02:06;564386657;41.54952;42.14664;-9739;0;8
Облако-земля;2023-08-22 00:02:06;982714520;41.40143;41.34128;19221;0;12
Облако-облако;2023-08-22 00:02:08;143630815;41.54473;41.34977;-12160;15147;15
Облако-облако;2023-08-22 00:02:15;99480057;42.49468;41.77563;4858;16376;9
Облако-облако;2023-08-22 00:02:16;772753028;41.31714;41.36275;6690;15939;7
Облако-облако;2023-08-22 00:02:16;845764089;43.0076899;41.27563;3749;3633;9
Облако-облако;2023-08-22 00:02:17;373127236;42.03858;41.29131;-4902;9372;7
Облако-облако;2023-08-22 00:02:17;11003691;41.16217;41.31778;-4885;19866;10
Облако-облако;2023-08-22 00:02:21;170065255;41.54633;41.4413399;4169;3001;6
Облако-облако;2023-08-22 00:02:21;230055199;41.51328;41.55598;-9722;3678;11
Облако-облако;2023-08-22 00:02:25;720611873;41.8174;41.39024;6121;15127;6
Облако-земля;2023-08-22 00:02:26;695952720;41.3438299;41.31642;21445;0;13
Облако-облако;2023-08-22 00:02:26;996508713;41.53206;42.1708799;4252;18739;7
Облако-облако;2023-08-22 00:02:30;937194994;42.5251499;42.09075;-4567;3010;7
Облако-земля;2023-08-22 00:02:31;177059883;41.35638;41.31154;-8392;0;10
Облако-земля;2023-08-22 00:02:31;847394812;41.96569;41.24777;-13231;0;10
Облако-земля;2023-08-22 00:02:33;19941591;41.53954;41.3911;-10826;0;12
Облако-облако;2023-08-22 00:02:36;475445291;41.34193;41.3265699;8351;15768;10
Облако-облако;2023-08-22 00:02:38;561498384;42.47429;41.00569;5272;17047;9
Облако-облако;2023-08-22 00:02:40;728130757;41.40921;41.3382999;5917;3114;7
Облако-земля;2023-08-22 00:02:43;243003542;41.88311;41.256;13340;0;15
Облако-облако;2023-08-22 00:02:43;27054516;41.33961;41.2735;14345;4610;14
Облако-облако;2023-08-22 00:02:43;59903295;41.42884;41.40232;4562;3000;11
Облако-облако;2023-08-22 00:02:44;888235198;41.57755;42.31197;6010;8092;6
Облако-земля;2023-08-22 00:02:45;43107945;42.04332;42.78606;-14384;0;13
Облако-облако;2023-08-22 00:02:45;474110168;41.55133;41.76311;4052;16176;6
Облако-облако;2023-08-22 00:02:47;422427638;41.5131299;41.00887;-10651;14333;11
Облако-облако;2023-08-22 00:02:47;393104666;41.7029799;41.06817;9227;9533;8
Облако-облако;2023-08-22 00:02:48;229599651;41.33597;41.30247;12039;12869;15
Облако-облако;2023-08-22 00:02:49;775631210;41.51569;41.58111;5725;7180;9
Облако-земля;2023-08-22 00:02:49;961461544;42.9961399;41.16062;-9244;0;10
Облако-облако;2023-08-22 00:02:55;110049264;41.32831;41.2397;5478;10072;8
Облако-земля;2023-08-22 00:02:56;549238606;42.52447;41.93618;-8099;0;6
Облако-земля;2023-08-22 00:02:59;732016497;41.55862;42.1225499;-10760;0;12
Облако-облако;2023-08-22 00:03:00;514758255;41.43461;41.35224;7690;17140;12
Облако-облако;2023-08-22 00:03:00;943211464;41.53183;41.38939;-3960;16506;8
Облако-облако;2023-08-22 00:03:01;331838131;41.35048;41.3292;-6743;15219;10
Облако-земля;2023-08-22 00:03:04;260218468;41.87629;41.21618;30097;0;14
Облако-облако;2023-08-22 00:03:06;78229836;41.54694;42.1584;5361;6307;8
Облако-земля;2023-08-22 00:03:10;358408114;41.56073;41.36969;-4354;0;8
Облако-земля;2023-08-22 00:03:12;953601009;41.34022;41.32617;-8933;0;11
Облако-облако;2023-08-22 00:03:13;170332461;41.31989;41.60796;-5610;17690;12
Облако-облако;2023-08-22 00:03:15;864655903;41.399;41.3972;5110;14092;7
Облако-облако;2023-08-22 00:03:16;335189630;42.55942;41.78404;-4165;4380;7
Облако-облако;2023-08-22 00:03:17;793460093;41.3191;41.27822;7357;3070;6
Облако-облако;2023-08-22 00:03:18;701920705;41.54998;42.16401;3908;18880;6
Облако-облако;2023-08-22 00:03:22;271447801;41.31674;41.27817;3790;15823;8
Облако-облако;2023-08-22 00:03:22;407290945;41.43903;41.40543;-5212;6996;12
Облако-облако;2023-08-22 00:03:23;452893465;41.6051;41.41877;7736;5236;7
Облако-облако;2023-08-22 00:03:24;648125094;41.96861;42.70107;-4487;15775;10
Облако-земля;2023-08-22 00:03:26;154328088;41.37885;41.32935;-15979;0;12
Облако-облако;2023-08-22 00:03:28;612562393;41.3403;41.3176;7180;9237;7
Облако-облако;2023-08-22 00:03:29;453428350;41.60704;41.44335;4497;15374;7
Облако-облако;2023-08-22 00:03:32;418356976;41.53148;41.77315;4390;5232;6
Облако-облако;2023-08-22 00:03:33;373452194;41.40542;41.46143;-3795;3011;7
Облако-земля;2023-08-22 00:03:36;309407248;41.34448;41.2723;17994;0;12
Облако-земля;2023-08-22 00:03:38;922218606;42.06895;42.90916;-32907;0;13
Облако-земля;2023-08-22 00:03:40;198389094;41.5208299;42.14693;-15458;0;13
Облако-облако;2023-08-22 00:03:41;481249786;41.34657;41.315;4639;17872;7
Облако-облако;2023-08-22 00:03:41;368831747;41.42788;41.44543;6762;3671;10
Облако-облако;2023-08-22 00:03:42;451916486;42.1017;42.88438;3364;6210;6
Облако-облако;2023-08-22 00:03:42;425456342;42.05304;43.00092;-3317;5184;6
Облако-земля;2023-08-22 00:03:45;348774938;41.59059;42.26455;-25038;0;16
Облако-облако;2023-08-22 00:03:46;804813398;41.47374;41.33341;8535;18065;9
Облако-облако;2023-08-22 00:03:47;92223947;41.87046;41.22631;-10708;5724;16
Облако-облако;2023-08-22 00:03:47;906860293;41.5235399;41.76914;8041;16863;10
Облако-земля;2023-08-22 00:03:47;871890781;41.39812;41.41127;-6906;0;8
Облако-облако;2023-08-22 00:03:47;33913107;42.05037;41.25894;5185;4900;7
Облако-облако;2023-08-22 00:03:47;99913518;41.37179;41.45489;-7043;15702;10
Облако-облако;2023-08-22 00:03:50;686786639;41.61072;42.43859;8580;5995;10
Облако-облако;2023-08-22 00:03:50;700005254;41.74387;42.1465699;3838;9512;7
Облако-облако;2023-08-22 00:03:51;822341195;41.96775;41.22017;-4660;13584;10
Облако-облако;2023-08-22 00:03:51;935806158;41.34182;41.3352;8682;13109;10
