Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-04-16 20:17:43;136913804;41.02679;36.0717799;-22370;0;17
Облако-земля;2023-04-16 20:19:13;434857662;41.02637;36.08556;-8643;0;14
Облако-земля;2023-04-16 20:20:34;997259422;41.04357;36.07076;21227;0;10
Облако-облако;2023-04-16 20:20:38;664191097;41.01083;36.2092;3698;9721;6
Облако-облако;2023-04-16 20:21:55;543310141;41.03813;36.09717;-8694;8367;12
Облако-земля;2023-04-16 20:23:11;228145529;41.03278;36.05262;-13869;0;14
Облако-земля;2023-04-16 20:24:57;934406503;41.03658;36.18501;-11451;0;14
Облако-облако;2023-04-16 20:26:37;869698247;41.01234;36.0981;4514;15299;9
Облако-облако;2023-04-16 20:26:38;229280878;41.04936;36.27234;3205;10370;6
Облако-земля;2023-04-16 20:28:45;969605322;41.09698;36.25953;-14953;0;15
Облако-земля;2023-04-16 20:40:15;415460846;41.14251;36.28981;41638;0;17
Облако-земля;2023-04-16 20:41:42;127480112;41.19046;36.33702;-12559;0;15
Облако-облако;2023-04-16 20:45:51;103420577;41.22336;36.33691;-9682;4740;13
Облако-земля;2023-04-16 20:45:51;281594598;41.1296;36.39785;-24038;0;17
