Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-02-06 00:38:51;789234068;41.1179;38.13699;-3959;0;11
Облако-облако;2023-02-06 00:38:51;781083774;41.29239;38.1607399;-10028;5027;11
Облако-облако;2023-02-06 01:50:23;29577852;41.11106;37.85157;-6983;5407;11
Облако-земля;2023-02-06 01:50:23;196316014;41.15985;37.97664;30133;0;17
Облако-облако;2023-02-06 01:50:23;28780230;41.25673;37.90068;-11021;4330;12
Облако-земля;2023-02-06 01:51:49;842114085;41.14909;37.79858;47831;0;14
Облако-земля;2023-02-06 03:24:11;887461265;41.46869;37.69341;121826;0;14
Облако-земля;2023-02-06 03:27:18;202666354;41.50601;37.64565;126061;0;14
Облако-земля;2023-02-06 03:27:18;376910683;41.58631;37.56116;15283;0;14
Облако-земля;2023-02-06 05:37:49;318042540;41.38977;37.21425;212574;0;20
Облако-земля;2023-02-06 05:45:14;998096001;41.40057;37.2172399;-5112;0;5
Облако-земля;2023-02-06 05:49:26;845630263;41.41866;37.14969;-3990;0;11
Облако-облако;2023-02-06 05:50:34;10030522;41.38558;37.15424;-2410;16309;8
Облако-облако;2023-02-06 05:51:26;742074651;41.39022;37.1491;-2816;16839;6
Облако-облако;2023-02-06 08:33:42;448702388;41.67666;36.20932;-90310;13671;18
Облако-облако;2023-02-06 08:33:42;428497172;41.7239;36.31474;-17057;11018;10
Облако-земля;2023-02-06 08:35:23;736509310;41.6712;36.20981;-45310;0;18
