Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-05-06 09:06:05;966575788;47.91322;42.78946;-4125;17857;7
Облако-облако;2023-05-06 09:10:03;798975443;47.93042;42.79871;-6919;19439;11
Облако-облако;2023-05-06 09:10:38;373338583;47.91361;42.7600399;-3203;18651;6
Облако-облако;2023-05-06 09:11:20;63835958;47.9069999;42.84268;-4164;19562;6
Облако-облако;2023-05-06 09:11:42;407276530;47.95706;42.80458;-5163;4057;8
Облако-облако;2023-05-06 09:15:47;626619292;47.55175;42.45635;-11662;4258;10
Облако-земля;2023-05-06 09:17:30;400665451;47.9086;42.82544;-5125;0;8
Облако-облако;2023-05-06 09:21:32;316002285;47.91271;42.8257199;-5687;15381;12
Облако-земля;2023-05-06 09:22:02;658291564;47.56041;42.45297;-4566;0;7
Облако-облако;2023-05-06 09:24:48;669648638;47.91464;42.80865;-4034;9971;7
Облако-облако;2023-05-06 09:25:45;228676824;47.5442899;42.44483;-2036;5430;5
Облако-земля;2023-05-06 09:30:26;820358834;47.54624;42.40205;-14534;0;15
Облако-земля;2023-05-06 09:36:41;951688240;47.54931;42.44958;-14573;0;11
Облако-земля;2023-05-06 09:44:18;752225183;47.58472;42.63165;-24698;0;16
Облако-облако;2023-05-06 09:44:18;395518572;47.4628299;42.61452;-4281;3815;8
Облако-облако;2023-05-06 09:45:37;59419507;47.58766;42.59353;-3033;3853;6
Облако-земля;2023-05-06 09:47:33;429481446;47.60535;42.64408;-8464;0;10
Облако-облако;2023-05-06 09:51:14;658881437;47.60118;42.64284;5779;6948;6
Облако-облако;2023-05-06 09:52:42;360164004;47.59482;42.59344;-2100;4168;6
Облако-облако;2023-05-06 09:54:00;501741073;47.62422;42.61854;-9309;7985;8
Облако-земля;2023-05-06 09:56:20;439390454;47.70015;42.8255399;-25926;0;9
Облако-облако;2023-05-06 09:56:20;452958641;47.50518;42.57392;3580;3250;9
Облако-облако;2023-05-06 09:58:02;999176766;47.60165;42.6249899;-18801;16851;14
Облако-земля;2023-05-06 09:59:52;456200481;47.63759;42.60985;-7567;0;7
Облако-облако;2023-05-06 10:06:25;776152974;47.60228;42.69538;5204;4939;7
Облако-облако;2023-05-06 10:08:56;503568493;47.58491;42.62722;-9280;10140;11
Облако-земля;2023-05-06 10:10:46;325804411;47.5849;42.66824;23523;0;13
Облако-облако;2023-05-06 10:11:05;272695210;46.85016;39.07186;2803;7434;6
Облако-облако;2023-05-06 10:11:15;814750899;47.66662;42.91387;2597;18412;6
Облако-облако;2023-05-06 10:12:02;722766099;46.8060199;39.12333;-3893;6314;7
Облако-облако;2023-05-06 10:12:43;62269052;47.59316;42.664;2132;3889;6
Облако-облако;2023-05-06 10:12:51;98238858;46.85991;39.06577;-3024;6866;7
Облако-облако;2023-05-06 10:13:33;822323849;46.84847;39.07943;-3173;7054;6
Облако-облако;2023-05-06 10:14:06;534652422;46.8506;39.07593;-1535;4616;5
Облако-облако;2023-05-06 10:14:35;467631087;46.82198;39.02641;-3388;7215;6
Облако-земля;2023-05-06 10:14:49;161533863;47.54092;42.6887;-31473;0;15
Облако-облако;2023-05-06 10:15:13;937336283;46.85443;39.08106;-1844;4777;6
Облако-облако;2023-05-06 10:16:10;417556770;46.85776;39.12569;-12181;18571;16
Облако-облако;2023-05-06 10:17:06;525787649;46.84801;39.08014;-1688;3069;6
Облако-облако;2023-05-06 10:17:29;454348818;47.59126;42.69405;-57505;6844;11
Облако-облако;2023-05-06 10:17:39;549443560;46.82517;39.02549;7467;9477;6
Облако-облако;2023-05-06 10:18:20;837111035;46.77214;39.07504;-2784;6366;7
Облако-облако;2023-05-06 10:19:13;20130914;46.87365;39.05442;-5369;5219;7
Облако-облако;2023-05-06 10:20:38;973009033;46.8486199;39.0797;-6140;6692;7
Облако-земля;2023-05-06 10:20:44;645630891;47.62169;42.73039;28265;0;15
Облако-облако;2023-05-06 10:20:44;277286601;47.54304;42.83418;-7584;3229;8
Облако-облако;2023-05-06 10:21:57;822221915;46.88329;39.19954;-27592;9968;14
Облако-облако;2023-05-06 10:21:58;29454493;46.8266599;39.08803;2539;5721;6
Облако-облако;2023-05-06 10:22:25;421879263;47.68729;42.9671499;7337;7029;11
Облако-облако;2023-05-06 10:23:18;602944356;46.86051;39.0732799;-5266;3564;10
Облако-облако;2023-05-06 10:24:20;725753734;46.94401;39.19862;-10023;13020;13
Облако-облако;2023-05-06 10:24:20;703918253;46.85659;39.06756;-9537;3454;7
Облако-земля;2023-05-06 10:24:53;54495225;47.68506;42.96766;-2214;0;6
Облако-облако;2023-05-06 10:25:20;728565426;46.85904;39.091;-4521;7043;6
Облако-облако;2023-05-06 10:26:05;798345086;46.8621;39.05337;-29105;6423;10
Облако-земля;2023-05-06 10:26:48;956768700;46.8587599;39.04836;-6882;0;14
Облако-облако;2023-05-06 10:27:47;551646498;47.55581;42.91225;-9762;14454;13
Облако-облако;2023-05-06 10:27:48;592569472;46.8622299;39.0588;-6678;6408;8
Облако-земля;2023-05-06 10:29:04;599356838;46.84532;39.0734;-7846;0;13
Облако-облако;2023-05-06 10:30:04;822509703;47.6899;42.9637;-9166;3535;9
Облако-облако;2023-05-06 10:30:04;459792005;47.79002;43.03597;-15393;10195;10
Облако-земля;2023-05-06 10:30:32;961058813;46.8775;39.06791;-7216;0;12
Облако-земля;2023-05-06 10:32:06;119976123;47.71843;43.02099;-5906;0;8
Облако-облако;2023-05-06 10:32:08;435646961;47.9619799;42.43651;3868;3004;6
Облако-земля;2023-05-06 10:32:31;237330413;46.84974;39.06087;-9639;0;11
Облако-земля;2023-05-06 10:33:42;777948873;46.83981;39.01704;-12174;0;15
Облако-земля;2023-05-06 10:35:09;588690000;46.84296;39.0204499;-12490;0;14
Облако-облако;2023-05-06 10:36:40;829189312;47.7258;43.00094;-7599;9503;8
Облако-земля;2023-05-06 10:37:09;135241672;46.84881;39.0564899;-3296;0;7
Облако-облако;2023-05-06 10:37:20;453243404;47.22997;38.91958;-6816;5307;9
Облако-облако;2023-05-06 10:37:48;503861485;47.9765299;42.45957;-18904;3005;8
Облако-земля;2023-05-06 10:38:28;87816952;47.59397;42.809;-4772;0;8
Облако-облако;2023-05-06 10:39:09;632497384;47.26192;42.53664;-4236;8839;7
Облако-облако;2023-05-06 10:41:01;826074776;47.71822;42.88125;10725;13884;14
