Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-05-07 00:06:27;28344044;41.02837;37.5334;29644;0;14
Облако-земля;2023-05-07 00:07:50;53162645;42.01584;40.47357;-9084;0;16
Облако-облако;2023-05-07 00:08:43;932305815;42.00819;40.36346;-3970;16028;11
Облако-облако;2023-05-07 00:08:43;461150627;41.00221;37.51128;-4482;3032;10
Облако-земля;2023-05-07 00:10:28;491698595;41.99982;40.45187;-9794;0;17
Облако-облако;2023-05-07 00:14:05;131104451;42.02844;40.39946;-4619;6598;14
Облако-земля;2023-05-07 00:20:12;437213650;41.3020799;39.8559399;51047;0;17
Облако-земля;2023-05-07 00:24:58;722621862;41.45294;39.85736;49694;0;15
Облако-облако;2023-05-07 00:24:59;206378009;41.68665;39.87341;-4330;14390;9
Облако-облако;2023-05-07 00:29:45;214439696;41.20822;37.60722;10670;8996;15
Облако-облако;2023-05-07 00:33:22;836000726;41.22181;37.60301;2568;4411;6
Облако-облако;2023-05-07 00:34:57;274050302;41.2041899;37.83073;-4104;5000;9
Облако-облако;2023-05-07 00:34:57;272474344;41.13846;37.59538;-3080;10576;7
Облако-земля;2023-05-07 00:37:26;911597890;41.58833;39.74434;-29978;0;12
Облако-облако;2023-05-07 00:37:26;102551903;41.45188;39.83146;30821;6323;16
Облако-земля;2023-05-07 00:37:28;131778085;41.8217799;39.59784;-18924;0;15
Облако-облако;2023-05-07 00:40:06;930424750;41.57741;39.89336;-5124;8906;9
Облако-облако;2023-05-07 00:40:07;251068442;41.62039;39.74225;9340;5759;15
Облако-облако;2023-05-07 00:41:08;893834568;41.62196;39.87304;22839;5213;14
Облако-облако;2023-05-07 00:41:12;797341254;41.5683999;40.02809;-5476;5523;9
Облако-облако;2023-05-07 00:45:16;55532974;41.70106;39.89409;11948;11171;7
Облако-земля;2023-05-07 00:45:16;49297386;41.61102;39.78642;69325;0;17
Облако-облако;2023-05-07 00:45:16;65043989;41.7567499;40.04594;7791;19592;15
Облако-облако;2023-05-07 00:47:29;654308683;43.25797;41.52738;-12526;17800;8
Облако-земля;2023-05-07 00:48:42;693356689;43.27865;41.51271;-4594;0;7
Облако-облако;2023-05-07 00:48:58;178808245;41.79356;40.0147;6881;14937;8
Облако-земля;2023-05-07 00:48:58;131816577;41.54162;39.87763;26460;0;19
Облако-облако;2023-05-07 00:48:58;275204300;41.65484;39.76152;4771;9658;8
Облако-земля;2023-05-07 00:49:38;297729511;43.28661;41.55998;-5219;0;6
Облако-земля;2023-05-07 00:50:44;796920671;41.84145;39.79609;19249;0;12
Облако-облако;2023-05-07 00:55:10;959604684;41.9411;39.7477;7283;6321;11
Облако-земля;2023-05-07 00:55:10;952027993;41.75943;39.86383;40389;0;9
Облако-облако;2023-05-07 00:55:10;874625618;41.81829;40.01231;-7457;4040;18
Облако-облако;2023-05-07 00:55:10;393018396;41.54813;39.83648;-6079;17591;11
Облако-земля;2023-05-07 00:55:11;283741337;42.15081;39.7442;52345;0;13
Облако-земля;2023-05-07 00:55:12;794230549;42.08162;39.3906;-32648;0;15
Облако-земля;2023-05-07 00:55:12;145999492;42.06499;39.63648;-22243;0;12
Облако-облако;2023-05-07 00:56:09;236472936;41.08278;38.8831599;8016;16911;16
Облако-земля;2023-05-07 00:57:02;672221241;43.33141;41.42692;-2468;0;7
Облако-земля;2023-05-07 00:59:21;318163137;43.32546;41.42721;-6904;0;7
Облако-облако;2023-05-07 01:00:37;768858799;41.80568;39.86481;10731;7594;13
Облако-земля;2023-05-07 01:00:37;693377000;41.6867;39.8644;70762;0;11
Облако-облако;2023-05-07 01:00:37;332014982;41.60601;39.92257;-8615;3715;8
Облако-земля;2023-05-07 01:01:15;894905985;41.60521;39.95266;-14077;0;14
Облако-земля;2023-05-07 01:02:06;632238107;41.61292;39.8606399;-5288;0;13
Облако-земля;2023-05-07 01:03:34;198978869;41.6450699;39.94536;-8732;0;15
Облако-облако;2023-05-07 01:04:29;836409213;41.83097;39.86961;7183;5679;6
Облако-облако;2023-05-07 01:04:29;581490053;41.73852;39.92462;-7605;3621;6
Облако-облако;2023-05-07 01:04:30;254094515;42.12616;39.87543;-6936;8095;12
Облако-облако;2023-05-07 01:05:39;609747815;41.6287499;39.90613;3802;10878;8
Облако-земля;2023-05-07 01:05:40;311309009;41.83391;39.7894999;-18980;0;12
Облако-земля;2023-05-07 01:06:50;461500030;41.69321;39.88094;-8392;0;11
Облако-облако;2023-05-07 01:06:50;968005373;41.93461;39.91349;-4476;9012;9
Облако-облако;2023-05-07 01:06:51;133448529;41.84391;40.02238;-4994;8151;12
Облако-облако;2023-05-07 01:07:13;402320050;41.76981;37.60183;2603;19369;8
Облако-земля;2023-05-07 01:08:48;912669840;41.0359399;38.92103;-6531;0;9
Облако-облако;2023-05-07 01:08:48;631884545;41.06323;39.10936;5078;4248;18
Облако-земля;2023-05-07 01:09:08;876513154;43.29154;41.51682;-10430;0;7
Облако-облако;2023-05-07 01:09:12;455172481;41.08637;39.26476;5214;7416;8
Облако-земля;2023-05-07 01:09:16;764563143;41.62565;39.9109399;-10282;0;16
Облако-земля;2023-05-07 01:10:27;171813881;43.32411;41.42497;-6725;0;7
Облако-земля;2023-05-07 01:11:26;535750742;41.72195;39.86929;-18420;0;15
Облако-земля;2023-05-07 01:11:34;894311971;41.01459;38.99599;-9800;0;16
Облако-облако;2023-05-07 01:12:22;847947058;42.0179;39.8661;-7349;5595;13
