"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-облако;"2022-11-01 00:03:10";851783104;41.79355;41.6988399;-7409;3001;12
Облако-облако;"2022-11-01 00:03:16";401275006;42.23116;42.22985;-7388;4087;11
Облако-земля;"2022-11-01 00:03:16";411407522;42.13697;41.7474599;-5097;0;12
Облако-земля;"2022-11-01 00:04:46";153911479;41.9388999;41.7433;12164;0;12
Облако-облако;"2022-11-01 00:05:39";521521636;41.76074;41.68577;-4679;7939;10
Облако-земля;"2022-11-01 00:06:26";984128844;41.87998;41.80457;14602;0;7
Облако-облако;"2022-11-01 00:06:26";986287402;41.76751;41.75059;3458;13308;8
Облако-облако;"2022-11-01 00:07:43";695104707;41.76665;41.74809;15524;7382;11
Облако-облако;"2022-11-01 00:07:43";695961512;41.8716;41.83024;9815;18195;12
Облако-земля;"2022-11-01 00:07:58";323860115;41.56839;41.82836;-8855;0;7
Облако-земля;"2022-11-01 00:07:58";320168560;41.47105;41.77065;24682;0;15
Облако-земля;"2022-11-01 00:08:07";508799313;41.76731;41.68241;-23391;0;10
Облако-облако;"2022-11-01 00:08:34";608095538;41.7819;41.77091;-5969;16430;8
Облако-облако;"2022-11-01 00:09:38";323999460;41.77359;41.76478;6830;19207;7
Облако-облако;"2022-11-01 00:09:38";322631718;41.86513;41.91587;13087;4230;10
Облако-земля;"2022-11-01 00:10:20";88947337;41.7638;41.69735;-15864;0;17
Облако-земля;"2022-11-01 00:10:35";991010000;41.7871;41.7768;-6486;0;6
Облако-облако;"2022-11-01 00:11:15";115639741;41.7747;41.76621;4383;18256;7
Облако-земля;"2022-11-01 00:11:44";662747431;42.1808;42.2787999;-4796;0;10
Облако-земля;"2022-11-01 00:12:41";699720299;41.77333;41.72762;-28874;0;10
Облако-облако;"2022-11-01 00:15:20";948616889;41.74705;41.77564;-27585;16245;9
Облако-облако;"2022-11-01 00:15:28";937103108;41.41583;40.59226;6749;10841;18
Облако-земля;"2022-11-01 00:15:29";53339200;41.35536;40.4392799;-4586;0;8
Облако-облако;"2022-11-01 00:16:02";244980021;41.4557;40.46125;7164;3009;10
Облако-земля;"2022-11-01 00:17:46";421738279;41.38841;40.54983;-8129;0;11
Облако-земля;"2022-11-01 00:18:58";682460047;41.7021;41.25409;-11480;0;11
Облако-облако;"2022-11-01 00:19:38";256788080;41.91565;41.93165;14643;5988;7
Облако-земля;"2022-11-01 00:19:38";255252604;41.84482;42.06366;31640;0;19
Облако-земля;"2022-11-01 00:19:42";951520880;41.77716;41.42263;-16361;0;8
Облако-облако;"2022-11-01 00:19:42";946891767;41.9330799;41.92606;-12716;13529;8
Облако-земля;"2022-11-01 00:20:08";428479863;41.39767;40.5913899;-5436;0;8
Облако-облако;"2022-11-01 00:20:13";856390406;42.19317;42.292;-25739;7063;18
Облако-облако;"2022-11-01 00:23:37";479288013;41.36039;40.54063;3480;15703;8
Облако-земля;"2022-11-01 00:25:05";409379206;41.67968;41.4270799;-11408;0;10
Облако-облако;"2022-11-01 00:26:00";693713301;41.69533;41.26067;-22852;11626;9
Облако-земля;"2022-11-01 00:29:19";773860774;41.77911;41.6258;-24598;0;13
Облако-земля;"2022-11-01 00:29:20";510559821;41.44468;40.66472;-3884;0;7
Облако-облако;"2022-11-01 00:30:14";236011985;41.78937;41.65439;-6733;6301;9
Облако-земля;"2022-11-01 00:31:11";443852779;41.9527;41.75466;14552;0;8
Облако-земля;"2022-11-01 00:31:57";780199436;41.79367;41.69009;8195;0;7
Облако-облако;"2022-11-01 00:32:32";534345893;41.74673;41.56262;-5024;11388;11
