Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-05-21 08:33:30;459627333;41.09883;42.11708;-47813;14604;22
Облако-земля;2023-05-21 08:34:43;120989182;41.28991;43.39993;10750;0;21
Облако-облако;2023-05-21 08:36:43;70689248;41.16289;42.13789;-6988;5984;11
Облако-облако;2023-05-21 08:36:55;731615171;41.30372;43.51788;-3619;19868;9
Облако-облако;2023-05-21 08:38:22;821716324;41.19152;42.30366;-14913;4985;11
Облако-облако;2023-05-21 08:38:47;730795317;41.29384;43.38857;-4541;14995;9
Облако-земля;2023-05-21 08:39:44;650243865;41.26938;43.35787;-3749;0;7
Облако-облако;2023-05-21 08:40:49;215080597;41.27;43.39007;-3810;14616;8
Облако-земля;2023-05-21 08:42:22;804240419;41.13608;41.30537;-3393;0;8
Облако-облако;2023-05-21 08:42:33;625967217;41.27111;43.36506;-2775;19003;7
Облако-земля;2023-05-21 08:43:22;412601452;41.27796;43.3791;-3295;0;5
Облако-земля;2023-05-21 08:43:29;296392845;41.0237399;42.04637;31554;0;12
Облако-облако;2023-05-21 08:45:34;4007105;41.3123099;43.48735;-8394;6184;7
Облако-облако;2023-05-21 08:45:56;32229418;41.06631;42.01798;-6371;3075;8
Облако-облако;2023-05-21 08:46:50;452272650;41.18861;41.42684;-5147;13863;10
Облако-облако;2023-05-21 08:46:50;443614974;41.20574;41.57846;-10656;4366;12
Облако-облако;2023-05-21 08:47:29;382066589;41.27371;43.35849;-3542;11771;9
Облако-облако;2023-05-21 08:49:25;601099277;41.06514;42.14685;-53784;4480;13
Облако-облако;2023-05-21 08:49:49;477283447;41.28089;43.3529;-3491;12852;9
Облако-облако;2023-05-21 08:51:55;702964623;41.31791;43.47781;-6847;19218;10
Облако-облако;2023-05-21 08:51:55;748702075;41.2953;43.35318;-13278;14381;11
Облако-облако;2023-05-21 08:53:01;695038276;41.32486;43.48033;-5510;4034;7
Облако-облако;2023-05-21 08:53:46;859460548;41.36716;43.39905;-4860;3148;12
Облако-земля;2023-05-21 08:54:04;843513190;41.1822;41.43515;-3810;0;10
Облако-облако;2023-05-21 08:54:04;507551664;41.23478;41.54829;-21102;15860;14
Облако-земля;2023-05-21 08:54:24;206598267;41.0421;42.01464;24255;0;14
Облако-облако;2023-05-21 08:54:45;230901444;41.30985;43.3225399;-3285;9859;7
Облако-облако;2023-05-21 08:56:01;45244056;41.51822;43.31236;-3962;19243;7
Облако-облако;2023-05-21 08:57:27;691465758;41.39238;43.46134;-5514;4041;8
Облако-облако;2023-05-21 08:57:27;399477461;41.46601;43.30359;-9509;18655;7
Облако-облако;2023-05-21 08:59:37;566169088;41.20609;41.97421;-12526;4437;10
Облако-облако;2023-05-21 08:59:37;914780307;41.21228;41.64725;-3712;16733;8
Облако-земля;2023-05-21 09:01:40;677441852;41.27308;41.83967;-21196;0;16
Облако-земля;2023-05-21 09:02:43;569522171;41.06377;41.93844;-7289;0;8
Облако-облако;2023-05-21 09:02:43;572267093;41.23881;41.98018;2788;7823;7
Облако-облако;2023-05-21 09:02:46;174608057;41.21984;41.9833799;-11855;7455;12
Облако-облако;2023-05-21 09:04:36;481676074;41.27265;42.02899;-10242;19938;16
Облако-облако;2023-05-21 09:04:36;831331053;41.08613;42.08639;-8428;7136;9
Облако-облако;2023-05-21 09:04:37;157594458;41.18358;41.87479;3242;16808;9
Облако-земля;2023-05-21 09:04:37;3393977;41.03896;41.95728;-6479;0;12
Облако-земля;2023-05-21 09:05:29;244158612;41.05086;41.9505399;-3447;0;7
Облако-земля;2023-05-21 09:06:56;952879174;41.013;42.19634;7968;0;9
Облако-земля;2023-05-21 09:07:01;136896786;41.07308;41.9534499;-2957;0;7
Облако-земля;2023-05-21 09:07:41;5120494;41.04634;41.96344;-13139;0;20
Облако-земля;2023-05-21 09:07:52;110586495;41.18438;41.66823;-7848;0;13
Облако-облако;2023-05-21 09:08:28;176044588;41.10831;42.07753;-21913;3076;10
Облако-облако;2023-05-21 09:08:30;143086171;41.26682;41.8414;-22597;15997;14
Облако-облако;2023-05-21 09:09:06;423469649;41.47302;41.80598;-5444;19394;10
Облако-земля;2023-05-21 09:09:41;227315026;41.07543;41.89792;-19011;0;14
Облако-облако;2023-05-21 09:10:01;141057365;41.02324;42.19507;-10384;15455;11
Облако-облако;2023-05-21 09:10:01;142380911;41.037;42.3341;-11460;4912;10
Облако-облако;2023-05-21 09:10:19;748455471;41.27845;41.91802;-16376;17911;16
Облако-земля;2023-05-21 09:10:20;977734637;41.21749;41.64399;-10031;0;13
Облако-облако;2023-05-21 09:10:48;658332579;41.19505;41.74732;-8171;6818;10
Облако-облако;2023-05-21 09:10:48;656471945;41.13002;42.07612;-4850;6500;9
Облако-облако;2023-05-21 09:10:49;603957449;41.02414;41.8176599;3571;16395;8
Облако-земля;2023-05-21 09:11:18;709063034;41.27727;41.86122;-11451;0;18
Облако-земля;2023-05-21 09:11:47;671669203;41.04468;41.9348;-12736;0;16
Облако-облако;2023-05-21 09:11:57;18428958;41.49701;41.91269;-20916;3313;18
Облако-облако;2023-05-21 09:12:18;642547357;41.26173;41.81526;-10190;6137;15
Облако-облако;2023-05-21 09:13:14;47597200;41.18546;41.62016;-2847;18885;6
Облако-облако;2023-05-21 09:13:20;761787726;41.2766;41.93061;-16483;6286;10
Облако-облако;2023-05-21 09:13:21;190758588;41.34616;41.80702;-2098;17170;5
Облако-земля;2023-05-21 09:13:40;258252851;41.09042;41.94535;-13949;0;14
Облако-облако;2023-05-21 09:14:17;668487385;41.21594;41.82727;-2573;10755;5
Облако-облако;2023-05-21 09:14:45;927094606;41.11679;42.32282;-3375;3003;7
Облако-земля;2023-05-21 09:15:06;497934857;41.44974;41.84648;9129;0;8
Облако-земля;2023-05-21 09:15:27;683278131;43.66169;42.36854;-2461;0;6
Облако-облако;2023-05-21 09:15:40;988007041;41.30437;41.94457;-9282;7700;13
Облако-облако;2023-05-21 09:15:41;462045152;41.12017;42.04735;-8303;6545;7
Облако-облако;2023-05-21 09:15:41;177135225;41.2735;41.79893;-6817;16712;12
Облако-облако;2023-05-21 09:15:41;447351398;41.20828;42.14562;-8803;7232;12
Облако-земля;2023-05-21 09:15:44;274846932;41.04424;42.12833;-8358;0;15
Облако-земля;2023-05-21 09:15:50;621327094;41.2089799;41.61075;-8319;0;13
Облако-облако;2023-05-21 09:15:50;150566580;41.24356;41.76217;-110543;16722;15
Облако-облако;2023-05-21 09:16:10;954968383;41.47507;41.7742;-3127;15198;9
Облако-облако;2023-05-21 09:16:20;580075703;43.64681;42.35149;-2557;9515;7
Облако-облако;2023-05-21 09:16:25;718707788;41.04529;42.13199;4650;3025;8
Облако-земля;2023-05-21 09:16:37;96426648;41.06536;41.92618;-15338;0;16
Облако-облако;2023-05-21 09:16:53;246009290;41.34829;41.79405;-4458;13354;11
Облако-облако;2023-05-21 09:17:21;551046488;41.13529;42.12941;4593;4613;9
Облако-земля;2023-05-21 09:17:21;375523165;41.13392;41.88108;-4113;0;9
Облако-облако;2023-05-21 09:17:32;88180311;41.2339;41.6517399;-23106;4038;12
Облако-облако;2023-05-21 09:17:51;573402118;41.07291;42.27279;-24483;3009;13
Облако-облако;2023-05-21 09:17:51;592631444;41.06145;42.1267799;4602;4643;9
Облако-облако;2023-05-21 09:17:53;393161167;41.6061;42.05917;-54685;16992;22
Облако-облако;2023-05-21 09:18:09;906284895;43.62879;42.38558;-2553;6327;6
Облако-земля;2023-05-21 09:18:21;942555233;41.11152;41.9191999;-25419;0;21
Облако-облако;2023-05-21 09:18:23;626248605;41.28433;41.78682;-2545;15496;7
Облако-облако;2023-05-21 09:18:53;838626080;41.50898;41.88067;-25199;8740;24
Облако-облако;2023-05-21 09:18:58;743222760;41.25183;41.64649;-7806;14227;8
Облако-земля;2023-05-21 09:19:31;695930000;41.0721;42.1055;9147;0;6
Облако-облако;2023-05-21 09:19:31;674744733;41.1339;42.46542;-11186;4230;13
Облако-земля;2023-05-21 09:19:32;302367550;41.26056;41.82298;-7454;0;11
Облако-земля;2023-05-21 09:19:33;543322093;41.11389;41.9257599;-8342;0;12
Облако-облако;2023-05-21 09:20:14;989054923;43.6200199;42.38626;2869;18298;6
Облако-облако;2023-05-21 09:20:56;880616968;41.03708;42.10364;-5078;3627;11
Облако-земля;2023-05-21 09:21:29;806453469;41.3384;41.77433;-7057;0;13
Облако-облако;2023-05-21 09:22:19;50716188;43.62763;42.35823;-9982;3013;13
Облако-облако;2023-05-21 09:22:48;520582304;41.08785;42.11213;-4298;13997;9
Облако-облако;2023-05-21 09:22:48;502802981;43.66551;42.35657;-2251;8966;6
Облако-облако;2023-05-21 09:23:15;3971572;41.28524;41.7425;-14529;19416;16
Облако-облако;2023-05-21 09:23:27;526763817;41.08093;43.97009;-23508;4835;16
Облако-облако;2023-05-21 09:23:33;560474030;41.25177;41.7287;-17923;11197;15
Облако-земля;2023-05-21 09:24:02;28354968;43.64604;42.35718;-4586;0;9
Облако-облако;2023-05-21 09:24:16;249036621;41.142;42.26699;-5319;3006;10
Облако-земля;2023-05-21 09:24:41;356431755;41.39922;43.29549;-12428;0;12
Облако-земля;2023-05-21 09:24:44;499424219;41.64387;43.34219;26112;0;18
Облако-облако;2023-05-21 09:24:44;656589764;41.7855599;43.31952;-5850;4780;10
Облако-земля;2023-05-21 09:25:09;975384688;41.30209;41.78653;-6613;0;10
Облако-облако;2023-05-21 09:25:10;395058171;41.48988;41.83302;-4001;11252;11
Облако-облако;2023-05-21 09:25:10;707215431;41.14256;41.82277;3423;12652;9
Облако-облако;2023-05-21 09:25:19;621667441;41.0767;42.28523;-10445;3479;12
Облако-облако;2023-05-21 09:26:09;954402613;41.65592;43.32773;-8295;3011;13
Облако-облако;2023-05-21 09:26:09;950810716;41.88615;43.31505;-6472;3000;10
Облако-облако;2023-05-21 09:26:09;927536456;41.68359;43.44749;-4880;14733;9
Облако-облако;2023-05-21 09:26:58;284863467;41.0814;42.21306;-4850;18194;12
Облако-облако;2023-05-21 09:27:01;135265271;41.64482;43.34496;-4285;9604;12
Облако-облако;2023-05-21 09:27:41;300093687;41.64797;43.32976;-3642;9568;9
Облако-земля;2023-05-21 09:27:43;268057073;41.15348;41.88143;28707;0;7
Облако-облако;2023-05-21 09:27:43;294309072;41.24992;41.82818;-5499;11746;8
Облако-земля;2023-05-21 09:27:44;41634975;41.2338499;41.81675;10737;0;16
Облако-облако;2023-05-21 09:28:32;718671451;41.4289599;41.76667;-7739;14677;12
Облако-облако;2023-05-21 09:29:09;847456396;41.64738;43.33893;-4735;9125;7
Облако-облако;2023-05-21 09:29:30;354057713;41.09196;42.1031;-7209;4012;11
Облако-земля;2023-05-21 09:29:33;871292951;43.68945;42.33992;-5014;0;11
Облако-облако;2023-05-21 09:29:58;695389405;43.65751;42.35732;3254;3827;5
Облако-облако;2023-05-21 09:30:09;817220270;41.15614;41.81807;-6960;6861;14
Облако-земля;2023-05-21 09:30:46;655476595;41.3596999;41.75942;-5082;0;11
Облако-облако;2023-05-21 09:30:59;656421329;41.11227;42.28484;-4408;5010;9
Облако-земля;2023-05-21 09:31:10;202934004;43.6933999;42.3518;-3415;0;6
Облако-земля;2023-05-21 09:31:32;572878304;43.67394;42.33834;-2020;0;6
Облако-облако;2023-05-21 09:31:32;769916613;43.72916;42.58181;-8151;5672;13
Облако-земля;2023-05-21 09:31:41;838853806;41.48079;42.0265;25320;0;10
Облако-земля;2023-05-21 09:31:42;3526250;41.54962;41.92461;-10022;0;13
Облако-земля;2023-05-21 09:31:50;586914479;41.10345;42.19773;-6785;0;13
Облако-земля;2023-05-21 09:32:04;537273142;43.6780199;42.34424;-2461;0;7
Облако-облако;2023-05-21 09:32:33;502514255;43.67683;42.34135;-2260;9170;6
Облако-облако;2023-05-21 09:32:47;170665563;41.17347;42.2704;-4421;19964;8
Облако-земля;2023-05-21 09:33:11;626888092;41.51564;41.91828;-15269;0;19
Облако-земля;2023-05-21 09:33:17;975874106;43.67602;42.34073;-2298;0;5
Облако-земля;2023-05-21 09:33:27;423111053;41.61774;43.30361;-8985;0;13
Облако-облако;2023-05-21 09:33:27;58647498;41.81843;43.26097;-3193;14306;7
Облако-земля;2023-05-21 09:33:35;571495978;41.13836;42.26413;-14341;0;14
Облако-облако;2023-05-21 09:33:35;172401416;41.18818;42.39825;-11307;19307;8
Облако-земля;2023-05-21 09:33:41;256448262;41.19865;41.74667;-77895;0;16
Облако-земля;2023-05-21 09:34:32;245232796;41.11018;42.11347;-7953;0;10
Облако-земля;2023-05-21 09:35:02;939218179;41.25541;41.88786;-9886;0;12
Облако-земля;2023-05-21 09:35:31;663838392;41.68578;43.35763;-8250;0;9
Облако-земля;2023-05-21 09:36:03;153623402;41.12798;42.11936;4269;0;9
Облако-облако;2023-05-21 09:38:26;724853887;41.20612;42.12383;3784;3001;7
Облако-облако;2023-05-21 09:38:26;266943278;41.17733;42.34244;-4557;14592;12
Облако-земля;2023-05-21 09:38:53;911696835;41.20302;41.74845;-49950;0;20
Облако-земля;2023-05-21 09:38:53;843752563;41.2906;42.0127;-40437;0;18
Облако-земля;2023-05-21 09:38:53;27614421;41.43439;41.72253;-93856;0;17
Облако-земля;2023-05-21 09:38:54;316730816;41.26896;41.86425;11034;0;12
Облако-облако;2023-05-21 09:39:13;789943227;41.12626;42.37179;2317;3043;7
Облако-земля;2023-05-21 09:39:13;937283143;41.15258;42.1304299;-11766;0;12
Облако-земля;2023-05-21 09:39:57;445735799;41.51797;43.30409;-10062;0;11
Облако-земля;2023-05-21 09:40:47;765969071;41.12925;42.16266;-10764;0;16
Облако-облако;2023-05-21 09:41:06;93763536;43.71173;42.32676;1757;6070;6
Облако-облако;2023-05-21 09:41:12;62711170;41.44145;43.25485;4159;4952;7
Облако-земля;2023-05-21 09:41:16;485255747;41.69938;43.26541;-10708;0;14
Облако-облако;2023-05-21 09:41:16;242988987;41.72471;43.40806;-7141;6022;12
Облако-облако;2023-05-21 09:41:16;244030499;41.85551;43.2527199;-4868;14936;8
Облако-облако;2023-05-21 09:41:34;554552196;41.54282;41.8875;-5817;8335;10
Облако-облако;2023-05-21 09:41:38;536489750;41.2757999;42.13635;-3526;3000;7
Облако-земля;2023-05-21 09:41:54;876217093;41.01628;42.54612;-4541;0;7
Облако-облако;2023-05-21 09:42:05;129161263;43.69395;42.33818;-3133;7757;6
Облако-облако;2023-05-21 09:42:10;258700895;41.7749;43.43202;-5329;3562;8
Облако-земля;2023-05-21 09:42:18;709932064;41.57782;41.89614;-6820;0;11
Облако-облако;2023-05-21 09:42:34;625452927;41.44596;43.25739;-3427;13018;6
Облако-облако;2023-05-21 09:42:46;527180208;43.69303;42.33905;-1762;3066;6
Облако-облако;2023-05-21 09:42:56;849668300;41.25701;42.29305;-8993;3059;13
Облако-земля;2023-05-21 09:43:21;299453601;41.71554;43.2636899;8745;0;12
Облако-земля;2023-05-21 09:43:26;811082789;41.34285;41.71625;-7653;0;12
Облако-облако;2023-05-21 09:43:41;702639656;41.54276;41.87908;4135;12838;10
Облако-облако;2023-05-21 09:43:53;963179807;43.75558;42.45918;-8499;18355;7
Облако-облако;2023-05-21 09:44:31;502149443;43.68772;42.34461;-2002;5348;5
Облако-облако;2023-05-21 09:44:38;342937509;41.07002;42.45591;-3790;11139;8
Облако-земля;2023-05-21 09:44:40;11806750;41.71556;43.27176;29035;0;13
Облако-облако;2023-05-21 09:44:52;973997478;43.70527;42.33558;-1423;9145;5
Облако-земля;2023-05-21 09:44:54;458945414;41.55557;41.85348;13182;0;12
Облако-облако;2023-05-21 09:44:56;355993076;41.19491;42.21852;-5584;18336;11
Облако-облако;2023-05-21 09:45:26;9880044;43.69545;42.35205;-2297;6393;6
Облако-облако;2023-05-21 09:45:43;351050573;41.79266;43.44057;-5109;16792;8
Облако-облако;2023-05-21 09:45:43;314396708;41.72563;43.25944;-21119;8970;12
Облако-земля;2023-05-21 09:45:46;499023067;41.1405;42.16256;-12815;0;14
Облако-облако;2023-05-21 09:45:46;500626934;41.1963;42.33029;-4476;5001;11
Облако-земля;2023-05-21 09:46:02;15265437;41.4732399;41.82011;-14745;0;15
Облако-облако;2023-05-21 09:46:34;657566168;41.73034;43.2385499;-7760;12874;8
Облако-земля;2023-05-21 09:46:42;244428333;41.19203;42.22672;-9213;0;12
Облако-облако;2023-05-21 09:46:43;725281755;41.02928;42.74203;-4267;3013;8
Облако-земля;2023-05-21 09:46:56;973043153;41.50325;41.85389;-8017;0;12
Облако-земля;2023-05-21 09:46:57;241678345;41.37409;41.82518;-73195;0;14
Облако-облако;2023-05-21 09:47:08;117684658;43.72877;42.3472;2300;8639;7
Облако-земля;2023-05-21 09:47:40;628984185;41.19131;42.20656;-6852;0;8
Облако-земля;2023-05-21 09:47:41;731860391;41.48121;41.85871;-5794;0;8
Облако-облако;2023-05-21 09:48:18;178307737;41.16514;42.16927;3545;7139;7
Облако-облако;2023-05-21 09:48:27;571078083;41.7280299;43.26529;-14034;8203;8
Облако-облако;2023-05-21 09:48:32;36234923;41.01549;42.74679;-2606;14391;6
Облако-облако;2023-05-21 09:48:37;704057811;41.20019;42.12351;-4978;7334;9
Облако-земля;2023-05-21 09:48:41;18278379;41.52312;41.8666399;-3658;0;7
Облако-земля;2023-05-21 09:49:05;817380454;41.31977;42.41556;9103;0;10
Облако-облако;2023-05-21 09:49:05;522323621;41.20173;42.21182;-7491;4623;11
Облако-земля;2023-05-21 09:49:19;680065534;43.72829;42.2852;-1319;0;5
Облако-земля;2023-05-21 09:49:48;586883483;41.20421;42.20142;-9920;0;10
Облако-облако;2023-05-21 09:50:00;756911970;41.60856;41.92713;-15594;5141;10
Облако-облако;2023-05-21 09:50:07;838135975;41.05377;43.71648;-5842;3027;11
Облако-земля;2023-05-21 09:50:12;487187169;41.20596;42.16951;-7607;0;14
Облако-земля;2023-05-21 09:50:34;629901529;41.2229;42.19527;-3379;0;6
Облако-земля;2023-05-21 09:50:50;377845907;41.1946;42.21135;-10221;0;16
Облако-облако;2023-05-21 09:51:07;51097907;43.7327299;42.30456;-2855;3019;7
Облако-облако;2023-05-21 09:51:18;936970230;41.21532;42.19437;-6351;4264;11
Облако-земля;2023-05-21 09:51:19;962887832;41.49903;41.7231499;-26329;0;15
Облако-земля;2023-05-21 09:51:20;83635596;41.41384;41.92224;-4826;0;10
Облако-облако;2023-05-21 09:51:20;66263604;41.33535;41.83246;-5340;6680;10
Облако-земля;2023-05-21 09:51:52;215778928;41.05369;42.6536199;-20842;0;14
Облако-облако;2023-05-21 09:52:23;961065786;41.22246;42.08889;-13934;7247;14
Облако-облако;2023-05-21 09:52:23;963354776;41.27616;42.30544;-20937;18317;10
Облако-земля;2023-05-21 09:52:38;655840722;41.5129499;41.76515;-4643;0;10
Облако-облако;2023-05-21 09:52:38;538261836;41.53917;41.93398;-6713;3057;10
Облако-облако;2023-05-21 09:52:41;787712436;43.72659;42.3054;-5570;5742;12
Облако-земля;2023-05-21 09:52:47;436682118;41.20934;42.22434;-5890;0;12
Облако-облако;2023-05-21 09:52:54;221781838;41.90115;42.752;-3525;15570;11
