Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-08-19 00:00:12;235448258;42.55413;41.20915;3431;5953;8
Облако-облако;2023-08-19 00:00:12;421781765;42.39608;41.16242;7231;8518;7
Облако-земля;2023-08-19 00:00:19;314146152;42.36011;41.29772;30325;0;13
Облако-земля;2023-08-19 00:00:26;713793502;42.4622;41.09154;-9831;0;14
Облако-облако;2023-08-19 00:00:39;229724913;42.37517;41.30253;9375;7478;6
Облако-облако;2023-08-19 00:00:39;205659285;42.50341;41.36684;11921;3019;11
Облако-облако;2023-08-19 00:00:41;739010930;42.4653;41.13598;-8955;3809;12
Облако-облако;2023-08-19 00:00:50;846169770;42.42175;41.10014;7703;3051;7
Облако-облако;2023-08-19 00:00:53;294316084;42.46413;41.1552;3637;11857;6
Облако-облако;2023-08-19 00:01:08;782251578;42.46454;41.15625;3406;13539;5
Облако-земля;2023-08-19 00:01:20;436516122;42.45857;41.07133;-27545;0;7
Облако-облако;2023-08-19 00:01:20;557771637;42.57034;41.12243;-5623;11189;9
Облако-облако;2023-08-19 00:01:23;180975243;42.52903;41.47039;10074;7176;10
Облако-облако;2023-08-19 00:01:29;842328680;42.47226;41.17132;5489;7468;10
Облако-облако;2023-08-19 00:01:31;707457650;42.30301;41.29628;3413;19634;6
Облако-облако;2023-08-19 00:01:44;404338506;42.46257;41.1564;6901;17779;7
Облако-облако;2023-08-19 00:01:44;450552022;42.34644;41.16528;-2924;10846;6
Облако-облако;2023-08-19 00:01:50;985574219;42.48508;41.3761;9039;8486;7
Облако-земля;2023-08-19 00:01:51;338128694;42.362;41.28037;-7401;0;12
Облако-облако;2023-08-19 00:01:54;744340230;42.51884;41.32307;16003;13813;15
Облако-облако;2023-08-19 00:01:54;730374048;42.575;41.19105;4959;19602;7
Облако-облако;2023-08-19 00:02:02;494921175;42.3974199;41.1693799;3927;3752;7
Облако-облако;2023-08-19 00:02:08;599655003;42.36264;41.28625;5286;3495;6
Облако-облако;2023-08-19 00:02:09;444474413;42.42496;41.10654;7338;5751;6
Облако-земля;2023-08-19 00:02:24;824984845;42.47979;41.114;-18470;0;7
Облако-облако;2023-08-19 00:02:29;377492844;42.42792;41.14306;7343;7936;12
Облако-облако;2023-08-19 00:02:37;881017889;42.4246;41.27826;6829;7580;8
Облако-облако;2023-08-19 00:02:48;378220824;42.50215;41.27971;13211;6005;8
Облако-земля;2023-08-19 00:02:48;637720884;42.44135;41.1199299;-4195;0;6
Облако-земля;2023-08-19 00:02:58;79429583;42.37684;41.2943;-36114;0;16
Облако-облако;2023-08-19 00:02:58;212609278;42.4979299;41.38678;-3289;6186;8
Облако-облако;2023-08-19 00:03:05;639132728;42.43048;41.10343;6481;15034;6
Облако-земля;2023-08-19 00:03:16;824806011;42.45461;41.08919;-37593;0;11
Облако-облако;2023-08-19 00:03:24;284424282;42.42673;41.11414;4277;6300;6
Облако-земля;2023-08-19 00:03:36;355270949;42.36909;41.30091;-32137;0;11
Облако-облако;2023-08-19 00:03:41;105647557;42.43895;41.1066999;6200;18126;10
Облако-облако;2023-08-19 00:03:50;93793250;42.47252;41.1566199;3409;16706;7
Облако-облако;2023-08-19 00:04:09;910925633;42.38062;41.20416;7511;16369;8
Облако-облако;2023-08-19 00:04:19;153153190;42.44213;41.11014;3846;8254;6
Облако-облако;2023-08-19 00:04:19;469536242;42.37181;41.2867;-7604;3545;12
Облако-облако;2023-08-19 00:04:33;759202700;42.50554;41.32921;-7405;4638;7
Облако-облако;2023-08-19 00:04:33;946237931;42.32466;41.16674;-2605;7164;7
Облако-облако;2023-08-19 00:04:45;487682414;42.4143199;41.10008;6906;18953;7
Облако-облако;2023-08-19 00:04:52;61396932;42.38246;41.49616;13090;3010;9
Облако-облако;2023-08-19 00:04:59;493850256;42.48263;41.14401;14693;19808;12
Облако-облако;2023-08-19 00:05:04;581814850;42.3957;41.4602099;-4710;7341;7
Облако-облако;2023-08-19 00:05:04;493688897;42.38167;41.30943;-4093;6772;9
Облако-земля;2023-08-19 00:05:07;341158325;42.43208;41.11742;26929;0;12
Облако-земля;2023-08-19 00:05:20;966117339;42.43619;41.25981;-15058;0;12
Облако-облако;2023-08-19 00:05:22;171004072;42.3686099;41.31804;4057;5942;6
Облако-облако;2023-08-19 00:05:22;176231882;42.26588;41.31339;6282;4203;11
Облако-облако;2023-08-19 00:05:32;524746891;42.41011;41.09912;8962;4384;6
Облако-облако;2023-08-19 00:05:32;579816979;42.49301;41.24763;14965;14233;10
Облако-облако;2023-08-19 00:05:42;137509294;42.37588;41.18727;9252;6174;10
Облако-облако;2023-08-19 00:05:47;316871894;42.39561;41.11906;-3408;7341;6
Облако-облако;2023-08-19 00:05:50;700771075;42.47209;41.17356;7463;15283;7
Облако-облако;2023-08-19 00:05:58;254795607;42.37661;41.19579;2914;18697;6
Облако-облако;2023-08-19 00:05:59;55558603;42.40607;41.1018199;-4979;18460;7
Облако-облако;2023-08-19 00:06:05;828068592;42.43557;41.12062;-6372;6890;9
Облако-земля;2023-08-19 00:06:12;963279133;42.38331;41.26961;-11624;0;12
Облако-облако;2023-08-19 00:06:15;378003918;42.37346;41.26215;5009;8434;8
Облако-облако;2023-08-19 00:06:15;798996949;42.47316;41.43654;-4930;7280;7
Облако-облако;2023-08-19 00:06:15;659125828;42.43009;41.10036;5931;6755;11
Облако-облако;2023-08-19 00:06:23;635185234;42.44127;41.12544;5045;7569;8
Облако-облако;2023-08-19 00:06:30;565825297;42.38062;41.1822299;10522;19515;11
Облако-облако;2023-08-19 00:06:36;477491784;42.44807;41.10372;9271;5060;11
Облако-облако;2023-08-19 00:06:46;647144530;42.37458;41.33021;-3322;8558;6
Облако-земля;2023-08-19 00:06:46;228200441;42.54912;41.20066;18093;0;16
Облако-земля;2023-08-19 00:06:47;201595222;42.44888;41.10076;-8578;0;11
Облако-облако;2023-08-19 00:06:47;342800629;42.36822;41.1972499;3151;3006;6
Облако-облако;2023-08-19 00:07:03;705161785;42.42861;41.08873;8805;7361;7
Облако-облако;2023-08-19 00:07:12;766734576;42.3606;41.29281;12993;6070;12
Облако-земля;2023-08-19 00:07:19;980992953;42.40147;41.11455;-16334;0;9
Облако-облако;2023-08-19 00:07:32;387922321;42.36764;41.2424;9513;8531;9
Облако-облако;2023-08-19 00:07:32;551594421;42.49978;41.36446;2941;6028;7
Облако-облако;2023-08-19 00:07:39;462305206;42.5616;41.31002;6160;15707;13
Облако-облако;2023-08-19 00:07:39;847012778;42.42793;41.12019;-8290;15585;10
Облако-облако;2023-08-19 00:07:46;283290834;42.37984;41.30388;5742;7194;7
Облако-облако;2023-08-19 00:07:49;637852070;42.36869;41.2755;12125;16717;12
Облако-облако;2023-08-19 00:07:51;858720535;42.4280199;41.1252;3313;13291;5
Облако-облако;2023-08-19 00:07:59;871297682;42.46532;41.09819;-4545;18018;7
Облако-облако;2023-08-19 00:08:08;45127526;42.3601;41.54642;6325;5992;13
Облако-земля;2023-08-19 00:08:08;48274700;42.29937;41.34279;-12550;0;10
Облако-облако;2023-08-19 00:08:12;590424213;42.43164;41.09631;6738;7518;11
Облако-облако;2023-08-19 00:08:14;955284898;42.36425;41.26799;4418;5560;8
Облако-облако;2023-08-19 00:08:26;843115972;42.37409;41.24514;4294;19713;7
Облако-облако;2023-08-19 00:08:35;856678549;42.46182;41.10093;-6131;4523;6
Облако-земля;2023-08-19 00:08:39;397593000;42.3539;41.2922;16575;0;5
Облако-облако;2023-08-19 00:08:39;382220239;42.40368;41.46994;-5777;15411;7
Облако-облако;2023-08-19 00:08:42;703849503;42.44189;41.10557;8017;13865;7
Облако-облако;2023-08-19 00:08:49;681768516;42.45249;41.12419;2210;7386;6
Облако-облако;2023-08-19 00:08:54;838449289;42.58751;41.14371;3491;6305;8
Облако-облако;2023-08-19 00:08:55;207731746;42.43692;41.09898;4711;5482;7
Облако-облако;2023-08-19 00:08:55;332310578;42.34598;41.19568;-3525;4075;8
Облако-земля;2023-08-19 00:09:00;435535964;42.36639;41.2714799;-35137;0;13
Облако-облако;2023-08-19 00:09:00;902379804;42.48851;41.39318;-3908;3017;7
Облако-облако;2023-08-19 00:09:04;8840183;42.43099;41.1249899;4041;7128;6
Облако-облако;2023-08-19 00:09:17;386755075;42.40161;41.13732;6140;18286;7
Облако-облако;2023-08-19 00:09:20;119986433;42.37093;41.27672;14442;19343;13
Облако-облако;2023-08-19 00:09:25;476635191;42.55125;41.22628;4803;5762;7
Облако-облако;2023-08-19 00:09:25;106682550;42.44961;41.11412;7138;4175;11
Облако-облако;2023-08-19 00:09:29;222844854;42.41539;41.10719;4346;5013;8
Облако-земля;2023-08-19 00:09:36;568183420;42.46768;41.1392;10507;0;9
Облако-облако;2023-08-19 00:09:41;631965300;42.43674;41.09976;-4500;9590;10
Облако-земля;2023-08-19 00:09:44;588721051;42.3656;41.26297;-13623;0;8
Облако-облако;2023-08-19 00:09:53;548263234;42.41688;41.10145;7912;19286;7
Облако-земля;2023-08-19 00:09:59;543318908;42.40476;41.09298;-19074;0;10
Облако-облако;2023-08-19 00:10:07;137199242;42.43412;41.14428;3743;5804;7
Облако-облако;2023-08-19 00:10:15;329562351;42.35899;41.25164;12519;4260;10
Облако-облако;2023-08-19 00:10:15;584703985;42.49818;41.35504;4321;5164;8
Облако-облако;2023-08-19 00:10:16;981688981;42.42141;41.11162;5681;19976;9
Облако-облако;2023-08-19 00:10:23;957455928;42.52283;41.12838;2532;7892;8
Облако-облако;2023-08-19 00:10:23;961170172;42.41485;41.11974;-2023;6993;5
Облако-облако;2023-08-19 00:10:31;169340370;42.38373;41.10454;4954;18462;8
Облако-земля;2023-08-19 00:10:33;184745751;42.42654;41.09007;-16231;0;7
Облако-облако;2023-08-19 00:10:34;404503283;42.45174;41.34798;-8356;14844;11
Облако-облако;2023-08-19 00:10:38;271085607;42.38697;41.11055;2705;7012;6
Облако-облако;2023-08-19 00:10:39;471355108;42.40871;41.36038;-4058;18025;11
Облако-облако;2023-08-19 00:10:39;607764850;42.34861;41.24219;6124;3867;10
Облако-облако;2023-08-19 00:10:43;382126685;42.40974;41.11325;3846;5657;7
Облако-облако;2023-08-19 00:10:48;381954598;42.46261;41.29235;-5230;7412;13
Облако-облако;2023-08-19 00:10:48;398514678;42.42559;41.09876;-5323;10967;9
Облако-облако;2023-08-19 00:10:53;882370148;42.36289;41.2430499;5397;7622;10
Облако-земля;2023-08-19 00:10:55;958066384;42.40697;41.09032;-9266;0;9
Облако-облако;2023-08-19 00:11:03;530585067;42.51681;41.26203;15506;6632;10
Облако-облако;2023-08-19 00:11:14;360989956;42.36121;41.26647;6585;6871;7
Облако-облако;2023-08-19 00:11:21;768235495;42.30603;41.32749;-4781;5973;11
Облако-облако;2023-08-19 00:11:25;431441076;42.40348;41.08583;3973;5700;6
Облако-облако;2023-08-19 00:11:32;491884331;42.40822;41.12104;8614;13462;11
Облако-земля;2023-08-19 00:11:36;342344092;42.42607;41.09084;-17794;0;15
Облако-облако;2023-08-19 00:11:37;859904372;42.46232;41.31002;6320;5953;7
Облако-облако;2023-08-19 00:11:52;903605519;42.41104;41.13583;4598;12806;9
Облако-земля;2023-08-19 00:12:01;80233274;42.431;41.06255;-35786;0;10
Облако-облако;2023-08-19 00:12:04;25519485;42.40595;41.11019;2447;19959;5
Облако-облако;2023-08-19 00:12:05;579663926;42.48071;41.23691;4581;16679;9
Облако-облако;2023-08-19 00:12:13;720630511;42.40057;41.08618;5047;9592;6
Облако-земля;2023-08-19 00:12:25;19209029;42.40414;41.19644;-90295;0;17
Облако-земля;2023-08-19 00:12:29;496036167;42.42034;41.0859;-18436;0;11
Облако-облако;2023-08-19 00:12:32;253482753;42.4031499;41.09942;3368;7838;6
Облако-облако;2023-08-19 00:12:33;827372395;42.44909;41.14681;5248;6894;6
Облако-облако;2023-08-19 00:12:42;255044909;42.43077;41.13909;6606;19278;10
Облако-облако;2023-08-19 00:12:48;371400601;42.40158;41.09191;4180;6226;6
Облако-облако;2023-08-19 00:12:54;604540926;42.43378;41.11085;-3101;19483;7
Облако-облако;2023-08-19 00:13:02;625370026;42.4114999;41.09337;6787;16144;10
Облако-облако;2023-08-19 00:13:02;646492860;42.49979;41.17518;7818;3004;10
Облако-облако;2023-08-19 00:13:04;769472185;42.4019;41.41052;18306;7031;11
Облако-земля;2023-08-19 00:13:10;517832058;42.42283;41.07368;-18609;0;13
Облако-облако;2023-08-19 00:13:20;280708777;42.41705;41.12719;5056;18938;7
Облако-облако;2023-08-19 00:13:27;546517497;42.40266;41.09429;4158;19128;6
Облако-облако;2023-08-19 00:13:28;122966708;42.3649;41.25198;5675;6018;7
Облако-земля;2023-08-19 00:13:41;134589648;42.38409;41.09761;31229;0;7
Облако-земля;2023-08-19 00:13:45;681554509;42.40957;41.09358;-11102;0;15
Облако-облако;2023-08-19 00:13:47;835656331;42.40372;41.42021;7026;7567;13
Облако-облако;2023-08-19 00:13:54;588401619;42.21309;41.3328;10668;4170;12
Облако-облако;2023-08-19 00:13:54;492966760;42.37959;41.10001;4679;6852;6
Облако-облако;2023-08-19 00:14:04;988434813;42.39958;41.08713;7731;11567;10
Облако-земля;2023-08-19 00:14:15;130497232;42.42002;41.06656;-47009;0;16
Облако-облако;2023-08-19 00:14:16;100222079;42.37169;41.2727099;4134;6016;7
Облако-облако;2023-08-19 00:14:17;697280391;42.3727;41.11291;5148;3035;8
Облако-облако;2023-08-19 00:14:26;685368252;42.38646;41.13829;16323;7487;13
Облако-земля;2023-08-19 00:14:37;634380031;42.37511;41.27297;-10007;0;10
Облако-облако;2023-08-19 00:14:37;347660613;42.38539;41.14702;6646;7047;9
Облако-облако;2023-08-19 00:14:41;255607788;42.40768;41.08869;6922;16724;7
Облако-облако;2023-08-19 00:14:46;921868440;42.40253;41.1432;5664;6167;8
Облако-облако;2023-08-19 00:14:51;365796237;42.37404;41.13226;5364;7678;10
Облако-облако;2023-08-19 00:14:57;15902802;42.52459;41.13379;-2195;7180;6
Облако-облако;2023-08-19 00:14:57;64606415;42.41628;41.09362;5013;4665;7
Облако-облако;2023-08-19 00:15:10;128658428;42.37186;41.08157;3789;7383;6
Облако-земля;2023-08-19 00:15:15;151820745;42.38566;41.16228;-79622;0;18
Облако-облако;2023-08-19 00:15:25;587476068;42.4115899;41.14096;-3396;17882;6
Облако-облако;2023-08-19 00:15:28;103309041;42.41585;41.0912999;-5957;5294;7
Облако-облако;2023-08-19 00:15:35;432652363;42.40213;41.09354;-4015;13138;7
Облако-облако;2023-08-19 00:15:35;318752528;42.59778;41.29882;10595;5886;7
Облако-облако;2023-08-19 00:15:40;456380001;42.41319;41.15276;4568;3011;6
Облако-облако;2023-08-19 00:15:49;915815638;42.4031;41.16088;10829;5019;14
