Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-12-15 07:56:41;594856319;45.3266;36.53829;-7896;0;13
Облако-облако;2023-12-15 08:06:19;453119512;45.01263;37.6004;-17424;3018;11
Облако-земля;2023-12-15 08:06:19;460212780;45.45997;36.8852199;-20370;0;17
Облако-земля;2023-12-15 08:10:12;656759760;46.06163;38.60541;78786;0;18
Облако-облако;2023-12-15 08:10:12;599424265;46.04919;38.81533;-4506;3026;13
Облако-земля;2023-12-15 08:10:16;844638300;45.48358;36.92693;-9488;0;14
Облако-земля;2023-12-15 08:17:38;252000711;45.54345;36.96183;106734;0;18
Облако-облако;2023-12-15 08:17:38;246290149;45.41731;36.90884;7168;3001;6
Облако-облако;2023-12-15 08:17:38;293257193;45.70779;37.24719;-6406;6798;7
Облако-облако;2023-12-15 08:17:38;291377760;45.67424;37.02666;7252;6744;10
Облако-облако;2023-12-15 08:17:38;551108930;45.43942;37.15211;-54637;11312;20
Облако-облако;2023-12-15 08:17:38;722634055;45.3855;36.76102;10203;8118;13
Облако-земля;2023-12-15 08:24:14;654764869;45.59603;37.02475;60313;0;19
Облако-облако;2023-12-15 08:24:14;812199400;45.7374099;37.08285;5643;8831;10
Облако-облако;2023-12-15 08:24:14;663020407;45.40941;36.92522;14360;13318;15
Облако-земля;2023-12-15 08:24:14;818605183;45.70199;36.89708;98308;0;24
Облако-земля;2023-12-15 08:24:15;475889905;45.64629;37.26602;25256;0;18
Облако-земля;2023-12-15 08:32:09;495014749;45.55618;37.18692;114128;0;15
Облако-облако;2023-12-15 08:32:09;520676952;45.43428;37.08458;-7198;7679;11
Облако-облако;2023-12-15 08:32:09;576763060;45.77287;37.17935;5800;8991;5
Облако-облако;2023-12-15 08:32:09;505610210;45.69602;37.31188;7540;7553;8
Облако-земля;2023-12-15 08:36:34;906624707;45.5842699;37.27794;166256;0;22
Облако-облако;2023-12-15 08:36:35;210275623;45.5179;37.14773;-3308;8417;7
Облако-облако;2023-12-15 08:36:35;484372591;45.76916;37.51991;-2904;6328;5
Облако-земля;2023-12-15 08:38:57;917181236;45.54193;37.31975;78493;0;18
Облако-облако;2023-12-15 08:40:13;834969253;45.77133;37.33778;-2476;15584;7
Облако-земля;2023-12-15 08:40:13;757136811;45.60064;37.29604;58689;0;19
Облако-облако;2023-12-15 08:40:13;819756062;45.49906;37.14768;2337;9240;6
Облако-облако;2023-12-15 08:40:14;4001070;45.48172;37.27476;-1807;7011;5
Облако-земля;2023-12-15 08:42:12;747166049;45.61931;37.31781;78718;0;18
Облако-облако;2023-12-15 08:42:12;803933784;45.50488;37.26342;2375;13662;5
Облако-земля;2023-12-15 08:49:45;113034927;45.67339;37.68829;-63377;0;18
Облако-земля;2023-12-15 08:57:03;761983140;45.73944;37.74642;78071;0;19
Облако-облако;2023-12-15 08:57:03;820372656;45.47585;37.53306;-3900;6660;5
Облако-земля;2023-12-15 08:57:04;34863311;45.80594;37.59197;-6850;0;12
Облако-земля;2023-12-15 08:57:17;882422293;45.94346;37.8958;-62039;0;14
Облако-облако;2023-12-15 08:57:17;879940380;45.72051;37.8513;-14666;15213;16
Облако-земля;2023-12-15 08:58:58;459742158;45.43836;37.54477;79936;0;17
Облако-облако;2023-12-15 08:58:58;583311084;45.72198;37.65437;-2467;6983;5
Облако-облако;2023-12-15 08:58:58;413499897;45.36215;37.77801;7154;11256;14
Облако-облако;2023-12-15 08:58:58;563781753;45.6188;37.6181399;-2128;6808;6
Облако-земля;2023-12-15 09:08:49;754833975;45.94379;37.74576;-6530;0;9
Облако-земля;2023-12-15 09:08:49;444185644;45.75513;37.72634;21090;0;18
Облако-земля;2023-12-15 09:08:49;386134076;45.60333;37.73599;126951;0;19
Облако-облако;2023-12-15 09:08:49;241478768;45.72886;38.19571;-18621;3000;17
Облако-земля;2023-12-15 09:09:59;120522768;45.5098;37.7710999;-9300;0;15
Облако-земля;2023-12-15 09:10:44;597773196;45.62137;37.73972;-6647;0;11
Облако-облако;2023-12-15 09:10:44;50098147;45.80759;37.90265;3114;5829;9
Облако-облако;2023-12-15 09:11:02;565519035;45.90871;37.79007;-1904;19398;6
Облако-облако;2023-12-15 09:13:07;458371527;45.51179;37.78339;-4915;6210;9
Облако-земля;2023-12-15 09:15:20;196263606;45.52863;37.82053;-6707;0;10
Облако-земля;2023-12-15 09:16:39;738141252;45.57904;37.77237;43396;0;19
Облако-облако;2023-12-15 09:16:39;821085986;45.99904;37.95288;-4241;5925;7
Облако-земля;2023-12-15 09:18:56;758114616;45.53057;37.88802;-15313;0;16
Облако-облако;2023-12-15 09:18:57;165747848;45.5114;37.7218;-2355;5845;6
Облако-земля;2023-12-15 09:22:02;280660370;45.55492;37.92436;-14000;0;14
Облако-земля;2023-12-15 09:24:21;801505808;45.574;37.9548;-10580;0;15
Облако-земля;2023-12-15 10:05:53;97674514;45.78774;38.70944;84527;0;15
Облако-облако;2023-12-15 10:05:53;49126883;45.81117;38.99868;6283;7290;13
Облако-облако;2023-12-15 10:29:34;580905701;46.98393;40.41345;-2794;11684;7
Облако-земля;2023-12-15 10:29:34;860102760;47.26276;40.37028;-35632;0;16
