Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-05-04 03:30:07;541463434;45.04265;46.60283;-5031;6214;12
Облако-земля;2023-05-04 05:46:03;115845861;44.6998;46.75638;-7071;0;10
Облако-облако;2023-05-04 05:46:03;28791262;44.73228;46.45707;-17771;8550;17
Облако-земля;2023-05-04 05:48:36;785186000;44.7419;46.7898;-16700;0;6
Облако-земля;2023-05-04 05:49:02;163335034;44.59376;46.46483;-5821;0;7
Облако-облако;2023-05-04 05:49:02;92000719;44.62981;46.6908;-29400;7056;11
Облако-земля;2023-05-04 11:52:27;675749989;47.88864;46.22271;-7964;0;8
Облако-облако;2023-05-04 12:10:03;3012478;45.63837;46.22617;-3404;11290;5
Облако-облако;2023-05-04 12:11:08;462446952;45.63801;46.24457;-3825;15837;6
Облако-облако;2023-05-04 12:12:05;946840017;45.61943;46.22983;-5120;8076;6
Облако-облако;2023-05-04 12:12:41;352707364;45.61659;46.24324;-3421;9851;6
Облако-облако;2023-05-04 12:13:21;432581106;45.61194;46.25664;-3146;9759;6
Облако-земля;2023-05-04 12:13:35;320830421;45.86735;46.07653;-34557;0;12
Облако-облако;2023-05-04 12:13:47;919516973;45.5996499;46.22253;-2396;11771;5
Облако-облако;2023-05-04 12:14:24;15299130;45.59865;46.25053;-5571;11493;8
Облако-облако;2023-05-04 12:14:37;632437089;45.87184;46.09604;-3982;9282;7
Облако-облако;2023-05-04 12:14:37;772637695;45.89533;46.31107;-3680;8918;6
Облако-земля;2023-05-04 12:14:38;922431334;45.60203;46.26859;-4765;0;6
Облако-облако;2023-05-04 12:15:02;215616260;45.86487;46.10304;-3467;9925;7
Облако-земля;2023-05-04 12:15:03;860432956;45.60178;46.27415;-4653;0;6
Облако-облако;2023-05-04 12:15:21;340740224;45.58652;46.23563;-2834;11211;6
Облако-земля;2023-05-04 12:15:35;250190071;45.85984;46.1009;-3554;0;7
Облако-облако;2023-05-04 12:15:43;221007053;45.61244;46.23816;-3656;11075;5
Облако-облако;2023-05-04 12:16:01;554053684;45.5975899;46.2802999;-3577;8332;6
