"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-облако;"2021-02-04 21:50:54";125195233;43.81289;40.22835;10124;19828;11
Облако-земля;"2021-02-04 22:17:01";311606000;42.798;39.5349;87142;0;6
Облако-земля;"2021-02-04 22:45:56";386741000;43.9492;39.7837;16391;0;6
Облако-земля;"2021-02-04 22:45:56";437043000;44.0588;39.7866;15336;0;5
Облако-земля;"2021-02-04 22:45:56";356984000;44.0129;39.7899;-2040;0;5
Облако-земля;"2021-02-04 22:45:56";792110000;43.8093;39.7323;-47474;0;7
Облако-облако;"2021-02-04 22:45:56";802954704;43.80291;39.79205;6385;18956;8
Облако-облако;"2021-02-04 22:45:56";307690951;43.93029;39.81288;10630;14279;10
Облако-земля;"2021-02-04 22:49:20";969406000;42.2912;39.2181;19450;0;5
Облако-облако;"2021-02-04 22:49:29";868383391;42.32817;39.2518;7330;9303;10
Облако-облако;"2021-02-04 22:50:27";770124517;42.41296;39.2870599;-23332;13806;13
Облако-земля;"2021-02-04 22:50:57";779020000;42.2913;39.2766;30120;0;6
Облако-земля;"2021-02-04 22:50:57";819885000;42.2802999;39.1809;15745;0;6
Облако-земля;"2021-02-04 22:51:19";3037059;42.41458;39.2623;-49010;0;20
Облако-земля;"2021-02-04 22:51:53";893516426;42.35018;39.36862;-60199;0;25
Облако-земля;"2021-02-04 22:52:04";199419000;43.8653;40.2373;37924;0;5
Облако-облако;"2021-02-04 22:52:04";236287594;43.62184;40.36366;11505;17212;12
Облако-земля;"2021-02-04 22:53:18";27081000;42.4097;39.2774;-31973;0;6
Облако-земля;"2021-02-04 22:53:18";124557000;42.4829999;39.1882;-11801;0;6
Облако-земля;"2021-02-04 22:53:18";63056000;42.3572;39.2435;15841;0;6
Облако-облако;"2021-02-04 22:53:41";739382149;42.41683;39.32054;5316;15721;10
Облако-земля;"2021-02-04 22:54:05";941937000;43.8791;39.8707;-8151;0;5
Облако-земля;"2021-02-04 22:54:29";125572000;42.3329;39.2522;19600;0;5
Облако-земля;"2021-02-04 22:54:29";177334000;42.3553;39.2618;-12050;0;8
Облако-земля;"2021-02-04 22:54:29";212595000;42.466;39.3412999;-11257;0;5
Облако-земля;"2021-02-04 22:54:29";58032000;42.3918;39.2665;37180;0;5
Облако-земля;"2021-02-04 22:54:29";274374000;42.3465;39.249;-12271;0;7
Облако-земля;"2021-02-04 22:54:29";100937000;42.3144;39.2590999;18700;0;7
Облако-земля;"2021-02-04 22:54:29";82516000;42.322;39.2647;-13415;0;6
Облако-облако;"2021-02-04 22:54:29";251978952;42.35357;39.32736;10984;16893;10
Облако-земля;"2021-02-04 22:55:58";86252000;43.5816;40.2879;-27481;0;6
Облако-земля;"2021-02-04 22:59:30";819142000;43.4216;40.1669;29675;0;6
Облако-земля;"2021-02-04 22:59:30";930411000;43.49;40.1869;34979;0;7
Облако-облако;"2021-02-04 22:59:30";939143583;43.44366;40.19374;-10949;9889;11
Облако-земля;"2021-02-04 22:59:31";212828000;43.3962;40.0426;43553;0;10
Облако-облако;"2021-02-04 23:03:48";614923982;43.48421;40.47036;-4210;9355;9
Облако-облако;"2021-02-04 23:04:26";479868421;43.40672;40.30513;16110;17449;15
Облако-земля;"2021-02-04 23:12:25";540360000;42.3834;39.3934;30093;0;9
