Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-09-07 00:13:42;618007598;42.90068;42.21765;4085;6851;9
Облако-облако;2023-09-07 00:15:51;404824320;42.80456;42.35081;7250;4194;7
Облако-облако;2023-09-07 00:35:28;227742957;42.78261;42.65152;-135362;7165;15
Облако-земля;2023-09-07 00:35:28;297638778;42.66737;42.3574;-15252;0;11
Облако-облако;2023-09-07 00:35:28;243730184;42.70461;42.5419;-22626;6835;14
Облако-земля;2023-09-07 00:57:13;387638209;41.87281;46.09907;-8476;0;9
Облако-облако;2023-09-07 00:57:56;351704564;41.8679599;46.00768;-4536;13001;9
Облако-земля;2023-09-07 00:58:38;483301701;41.81976;46.07947;-24326;0;7
Облако-облако;2023-09-07 00:58:39;388941646;41.85202;46.11876;6572;12503;7
Облако-облако;2023-09-07 00:58:47;621029336;41.86825;46.06945;8142;7136;7
Облако-облако;2023-09-07 00:59:17;542126498;41.84978;46.11165;11552;7852;8
Облако-облако;2023-09-07 00:59:26;940586636;41.81957;46.0793899;-8252;6207;10
Облако-облако;2023-09-07 00:59:29;698503682;41.83233;46.20443;-5279;14466;7
Облако-земля;2023-09-07 00:59:57;452931553;41.88695;46.22364;-8414;0;10
Облако-облако;2023-09-07 00:59:58;534151488;41.79871;45.99991;-8898;5359;8
Облако-облако;2023-09-07 01:00:25;123739075;41.96131;46.20278;-6973;7534;9
Облако-облако;2023-09-07 01:01:05;730681887;41.83939;46.16008;6626;10296;7
Облако-облако;2023-09-07 01:01:18;219231293;41.81594;46.22243;-9177;16344;7
Облако-облако;2023-09-07 01:01:18;415004587;41.87933;46.12427;-6753;3012;10
Облако-облако;2023-09-07 01:01:23;383782958;41.82637;45.92714;-7257;5467;8
Облако-облако;2023-09-07 01:01:25;796281322;41.77199;45.95564;-7442;19726;8
Облако-облако;2023-09-07 01:01:31;347832775;41.87579;46.32659;11746;11397;7
Облако-облако;2023-09-07 01:01:44;90719895;41.92168;46.49772;-9396;4401;9
Облако-облако;2023-09-07 01:01:52;312782423;41.99112;46.65913;-6414;10326;9
Облако-облако;2023-09-07 01:01:53;248037308;41.83683;46.15998;5620;13951;8
Облако-облако;2023-09-07 01:02:10;4190725;42.03049;46.65029;9487;12863;8
