"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-земля;"2022-01-29 05:12:09";30640000;43.2716;39.748;330285;0;12
Облако-земля;"2022-01-29 06:00:02";620418000;44.2083;38.9587;-19307;0;9
Облако-земля;"2022-01-29 07:09:23";579243000;44.8452;37.4515;-12173;0;5
Облако-земля;"2022-01-29 07:11:48";530190000;44.0488;39.1475;-32906;0;10
Облако-земля;"2022-01-29 08:05:42";824265000;43.7692;37.018;-355465;0;8
Облако-земля;"2022-01-29 08:08:27";592137554;44.86934;37.7240899;-13495;0;15
Облако-земля;"2022-01-29 08:08:27";485362000;44.8287;37.6214;20254;0;6
Облако-земля;"2022-01-29 08:08:27";285135000;44.8249;37.6096999;24926;0;9
Облако-земля;"2022-01-29 08:08:27";409887000;44.7727;37.6118;-14785;0;5
Облако-земля;"2022-01-29 08:13:38";459753638;43.79302;37.06689;-34970;0;6
Облако-земля;"2022-01-29 08:13:38";472026000;43.7776;37.0576;17603;0;9
Облако-земля;"2022-01-29 08:13:38";613776000;43.9084999;37.1281;-6799;0;5
Облако-земля;"2022-01-29 08:13:38";569572000;44.0206;37.0135;35580;0;5
Облако-земля;"2022-01-29 08:16:18";232583700;44.8024;37.71531;-57216;0;23
Облако-облако;"2022-01-29 08:19:14";493539100;43.76572;37.12091;-25465;12878;20
Облако-земля;"2022-01-29 09:03:26";296443000;44.9393;37.6842;383378;0;14
Облако-облако;"2022-01-29 10:57:03";479650045;44.06291;37.7518;13792;9704;13
Облако-земля;"2022-01-29 10:57:47";957328000;44.1003;37.8436;-4442;0;8
Облако-земля;"2022-01-29 10:58:16";681921992;44.04115;37.77848;-7926;0;10
Облако-облако;"2022-01-29 10:58:39";726461495;44.02828;37.81826;7319;12534;7
Облако-облако;"2022-01-29 10:59:47";904296311;44.0779;37.80406;-3971;16640;5
Облако-облако;"2022-01-29 11:02:26";213042663;44.05882;37.84451;20064;16799;17
Облако-земля;"2022-01-29 11:59:46";179056000;44.6651;37.7634;-102402;0;10
Облако-земля;"2022-01-29 12:17:23";411629000;44.8313;38.0605;50271;0;10
Облако-облако;"2022-01-29 12:21:27";812157936;44.64659;37.83796;-16260;10707;7
Облако-облако;"2022-01-29 12:21:27";874631418;44.71206;37.97301;9029;11548;10
Облако-земля;"2022-01-29 12:22:19";448134000;44.6997;37.9332;42329;0;6
Облако-земля;"2022-01-29 12:22:59";560325000;44.8093999;38.0075;-14653;0;8
Облако-облако;"2022-01-29 12:23:50";709595190;44.69212;37.91559;6118;15380;5
Облако-земля;"2022-01-29 12:23:50";754557000;44.7406;37.9519;-17133;0;5
Облако-земля;"2022-01-29 12:23:50";907431000;44.7281;37.9437;-7756;0;5
Облако-земля;"2022-01-29 12:25:34";917110000;44.7296;38.0296;-21018;0;8
Облако-земля;"2022-01-29 12:25:34";853430000;44.7393;37.976;-13405;0;7
Облако-земля;"2022-01-29 12:25:35";42033174;44.65513;37.85224;-13759;0;14
Облако-земля;"2022-01-29 12:25:35";33181835;44.56653;37.73494;-10174;0;5
Облако-земля;"2022-01-29 12:25:35";26345000;44.6611;37.8828;-27768;0;6
Облако-облако;"2022-01-29 12:26:44";914310675;44.71431;37.9497;-11658;15914;7
Облако-земля;"2022-01-29 12:26:44";963736000;44.7065;37.9831999;-34409;0;10
Облако-земля;"2022-01-29 12:27:31";18914069;44.68417;37.8881;-7009;0;7
Облако-облако;"2022-01-29 12:28:33";404716430;44.7444599;37.98853;23844;15770;7
Облако-земля;"2022-01-29 12:28:33";580192000;44.7671;38.0608999;-18434;0;7
Облако-земля;"2022-01-29 12:28:33";414498000;44.7704;38.0802;-69970;0;5
Облако-земля;"2022-01-29 12:29:39";159907000;44.7;37.9762;19419;0;6
Облако-земля;"2022-01-29 12:30:55";744377000;44.6888999;37.9751;-7408;0;6
Облако-земля;"2022-01-29 12:30:55";735207000;44.7425;37.9647;299188;0;10
Облако-земля;"2022-01-29 12:31:38";556776667;44.85123;38.12005;-10029;0;6
Облако-облако;"2022-01-29 12:31:38";659971156;44.77832;37.9795299;6238;14862;6
Облако-земля;"2022-01-29 12:31:38";365437000;44.7333;38.0183;74399;0;7
Облако-облако;"2022-01-29 12:32:47";245279116;44.70519;37.96101;8630;16560;5
Облако-земля;"2022-01-29 12:32:47";292740000;44.7710999;38.0184;-24615;0;7
Облако-облако;"2022-01-29 12:34:08";808826054;44.83422;38.11359;8410;15538;7
Облако-земля;"2022-01-29 12:34:08";823024000;44.8436;38.1163;22955;0;7
Облако-земля;"2022-01-29 12:34:08";777802000;44.6813;37.9198;-13546;0;6
Облако-земля;"2022-01-29 13:07:41";513035954;44.35442;38.80603;32734;0;10
Облако-земля;"2022-01-29 13:09:59";657501000;44.3846;38.8771;-65080;0;5
Облако-земля;"2022-01-29 13:45:49";830539000;44.4116;38.922;-215801;0;12
Облако-земля;"2022-01-29 14:20:36";807673000;44.4413;38.5034;29026;0;6
Облако-земля;"2022-01-29 14:22:09";947577000;44.3142;38.5179;-13297;0;7
Облако-земля;"2022-01-29 14:24:59";66285000;44.3518;38.5188;-50243;0;9
Облако-земля;"2022-01-29 14:28:30";850233000;44.3123999;38.4916;-11174;0;8
Облако-земля;"2022-01-29 14:28:30";733582000;44.2821;38.484;-142229;0;10
Облако-земля;"2022-01-29 14:30:45";646925000;44.5253;38.5774;-4836;0;5
Облако-земля;"2022-01-29 14:30:45";516135000;44.4167;38.6119;-345241;0;12
Облако-земля;"2022-01-29 14:33:07";433605000;44.7394;38.6332;23445;0;5
Облако-земля;"2022-01-29 14:33:07";607265000;44.4418;38.8793;19671;0;8
Облако-земля;"2022-01-29 14:33:07";164541000;44.3628;38.619;-207228;0;11
Облако-земля;"2022-01-29 14:36:22";810238000;44.3997;38.6153;-319741;0;16
Облако-облако;"2022-01-29 14:38:14";482580265;44.48185;38.53428;-23638;13031;6
Облако-земля;"2022-01-29 14:38:14";498002000;44.4745;38.7164;24287;0;10
Облако-земля;"2022-01-29 14:40:10";676884000;44.405;38.6877;30699;0;6
Облако-земля;"2022-01-29 14:41:20";846552060;44.4414;38.74958;-44794;0;8
Облако-земля;"2022-01-29 14:41:20";849641000;44.4729;38.6956;37406;0;11
Облако-облако;"2022-01-29 14:42:47";487732173;44.53877;38.44858;-7906;17404;5
Облако-земля;"2022-01-29 14:42:47";471845832;44.44437;38.75442;-71971;0;9
Облако-земля;"2022-01-29 14:42:47";473949000;44.4313999;38.7201;-40619;0;6
Облако-земля;"2022-01-29 14:44:07";928686000;44.4799;38.7605;-84542;0;6
Облако-земля;"2022-01-29 14:46:38";471558085;44.46228;38.8066699;-31562;0;18
Облако-земля;"2022-01-29 14:46:38";803969000;44.6259;38.9876999;15759;0;5
Облако-земля;"2022-01-29 14:48:30";895962000;44.2787999;38.5714;-311510;0;5
Облако-облако;"2022-01-29 14:48:31";53560680;44.54808;38.75321;-10060;11408;6
Облако-облако;"2022-01-29 14:51:01";774764204;44.51828;38.9406;22624;16563;8
Облако-земля;"2022-01-29 14:51:01";704364000;44.5116;38.6659;56745;0;5
Облако-земля;"2022-01-29 15:01:41";290980000;44.2057;38.6036;71917;0;8
Облако-земля;"2022-01-29 15:01:41";296493000;44.1548;38.5756;57975;0;5
Облако-земля;"2022-01-29 15:01:41";756546000;44.3814;38.766;-44131;0;7
Облако-земля;"2022-01-29 15:01:41";876197000;44.5116;38.9764;-8976;0;5
Облако-земля;"2022-01-29 15:01:41";352111000;44.1198;38.603;-21396;0;9
Облако-облако;"2022-01-29 15:07:08";740407002;44.4251099;38.8607299;-12360;18474;13
Облако-земля;"2022-01-29 15:07:09";5922031;44.58705;39.0545;-18912;0;12
Облако-земля;"2022-01-29 15:07:22";889179274;44.16474;38.68385;-23707;0;10
Облако-земля;"2022-01-29 15:08:56";182019000;44.4632;38.7849999;-8032;0;6
Облако-земля;"2022-01-29 15:10:48";291742321;44.50115;38.63324;-7631;0;7
Облако-земля;"2022-01-29 15:10:48";89258178;44.43614;38.9108;-27864;0;11
Облако-земля;"2022-01-29 15:10:48";558061000;44.442;38.901;-12052;0;5
Облако-земля;"2022-01-29 15:10:48";72733000;44.4493;38.7986999;-252140;0;5
Облако-земля;"2022-01-29 15:10:48";551708000;44.2688;38.8645;44841;0;6
Облако-земля;"2022-01-29 15:11:22";572926334;44.17195;38.63796;-10884;0;6
Облако-облако;"2022-01-29 15:12:42";655385619;44.43551;38.68542;8249;13702;7
Облако-облако;"2022-01-29 15:12:42";643103767;44.39377;38.92113;-16016;11921;10
Облако-земля;"2022-01-29 15:12:42";631701000;44.3649;38.831;-89611;0;6
Облако-земля;"2022-01-29 15:13:59";56480000;44.1985;38.7905;80239;0;6
Облако-земля;"2022-01-29 15:14:23";895777946;44.53823;38.77483;-6800;0;6
Облако-земля;"2022-01-29 15:14:23";719841000;44.4034;38.8791;-126893;0;5
Облако-земля;"2022-01-29 15:17:07";294335839;44.33716;38.96484;-55806;0;10
Облако-земля;"2022-01-29 15:17:07";54334283;44.19325;38.79842;-8516;0;9
Облако-земля;"2022-01-29 15:17:07";325606000;44.4448;38.995;24446;0;5
Облако-земля;"2022-01-29 15:20:09";718442704;44.26225;38.84984;-10168;0;15
Облако-земля;"2022-01-29 15:20:09";623827000;44.2213;38.7764;-8748;0;6
Облако-земля;"2022-01-29 15:20:09";922235000;44.4956;38.9415;-8568;0;6
Облако-земля;"2022-01-29 15:21:09";42597738;44.46683;38.91025;-17212;0;18
Облако-земля;"2022-01-29 15:21:09";243744000;44.5623999;38.8061999;17310;0;7
Облако-земля;"2022-01-29 15:21:26";733743000;44.4281999;38.9659;15174;0;6
Облако-земля;"2022-01-29 15:21:26";721796000;44.393;38.9536;28993;0;11
Облако-земля;"2022-01-29 15:22:48";799514000;44.4212;39.0073;-34266;0;13
Облако-земля;"2022-01-29 15:22:48";513931000;44.2494;38.8006;-13754;0;6
Облако-облако;"2022-01-29 15:24:02";115583768;44.2099199;38.91537;3449;12234;5
Облако-земля;"2022-01-29 15:37:31";269695000;44.3803;38.9761;-107139;0;5
Облако-земля;"2022-01-29 15:37:31";148081000;44.2597;38.9007;39546;0;5
Облако-земля;"2022-01-29 15:39:05";607532000;44.0728;38.8534;-21141;0;9
Облако-земля;"2022-01-29 15:39:05";602748000;44.1064;38.7662;-10397;0;5
Облако-земля;"2022-01-29 15:40:34";644423000;44.1591;38.7653;-13921;0;7
Облако-земля;"2022-01-29 15:40:35";20887000;44.4403999;39.0477;-66048;0;15
Облако-облако;"2022-01-29 15:41:33";745724682;44.09257;38.86554;12908;19102;11
Облако-облако;"2022-01-29 15:42:42";839339688;44.1068799;38.8193;5914;5852;10
Облако-земля;"2022-01-29 15:42:42";830715000;44.2661;38.8641999;-49285;0;6
