Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-09-16 01:10:06;331738825;45.82916;38.4132;-10946;0;14
Облако-облако;2023-09-16 01:10:06;317172589;45.8634;38.5596;-59088;9764;22
Облако-земля;2023-09-16 01:37:05;886215512;45.79071;38.56915;-43490;0;15
Облако-облако;2023-09-16 01:37:06;239249067;45.83984;38.72026;-6880;5819;12
Облако-земля;2023-09-16 01:41:38;537943586;45.68873;38.50335;-14746;0;14
Облако-земля;2023-09-16 01:42:54;12478086;45.73157;38.4356;-14172;0;15
Облако-облако;2023-09-16 01:42:54;13319828;45.72985;38.68477;6293;19656;19
Облако-облако;2023-09-16 01:43:40;649651135;45.69338;38.47593;4393;4182;10
Облако-земля;2023-09-16 01:43:57;687320870;45.69171;38.47558;-15923;0;16
Облако-облако;2023-09-16 01:43:57;492163557;45.73643;38.66514;-7661;5437;18
Облако-облако;2023-09-16 01:45:54;16265048;45.7158299;38.6629;4889;7556;7
Облако-облако;2023-09-16 01:45:54;172518957;45.67774;38.5204499;3931;4277;6
Облако-облако;2023-09-16 01:46:05;433758677;45.71873;38.65853;-6287;5636;7
Облако-облако;2023-09-16 01:46:25;995241216;45.68269;38.50271;3989;8802;6
Облако-облако;2023-09-16 01:47:03;480086104;45.76218;38.68163;-10192;7804;8
Облако-облако;2023-09-16 01:47:44;439920484;45.72619;38.68428;-7936;3192;18
Облако-земля;2023-09-16 01:47:44;420833041;45.67898;38.51433;-12506;0;14
Облако-облако;2023-09-16 01:48:20;195263619;45.68275;38.53183;4531;3142;9
Облако-облако;2023-09-16 01:49:23;253419428;45.69999;38.69141;-6607;3138;14
Облако-земля;2023-09-16 01:49:23;290086296;45.68617;38.5220399;-8503;0;12
Облако-облако;2023-09-16 01:50:37;857554889;45.66576;38.55221;8020;4984;12
Облако-облако;2023-09-16 01:50:37;886833586;45.7007199;38.71072;12842;3021;21
Облако-облако;2023-09-16 01:51:40;606104783;45.63602;38.72415;-5655;8268;7
Облако-земля;2023-09-16 01:51:40;635275836;45.67242;38.53056;-9780;0;12
Облако-облако;2023-09-16 01:52:13;385542248;45.75584;38.7064499;-8212;6416;8
Облако-облако;2023-09-16 01:52:13;372443569;45.68547;38.53814;5446;5733;8
Облако-облако;2023-09-16 01:52:40;977010175;45.65426;38.53814;5999;3169;10
Облако-облако;2023-09-16 01:53:14;113901495;45.68893;38.7105;-7701;4230;16
Облако-земля;2023-09-16 01:53:14;178562460;45.68127;38.56932;-8508;0;12
Облако-облако;2023-09-16 01:53:28;443425584;45.65851;38.5795699;7787;3259;13
Облако-облако;2023-09-16 01:54:01;109666867;45.76807;38.70593;5085;6046;12
Облако-облако;2023-09-16 01:54:01;113021133;45.65253;38.55254;6232;3061;10
Облако-земля;2023-09-16 01:54:23;92464446;45.65404;38.56302;-10910;0;14
Облако-земля;2023-09-16 01:54:23;78568891;45.64848;38.42935;-6828;0;9
Облако-земля;2023-09-16 01:55:13;539033104;45.70979;38.71839;25415;0;9
Облако-земля;2023-09-16 01:55:51;665679960;45.6457;38.53108;-26508;0;13
Облако-облако;2023-09-16 01:55:51;657742542;45.64569;38.74902;-3862;6944;8
Облако-облако;2023-09-16 01:55:51;644837528;45.74393;38.68945;-11850;5871;11
Облако-земля;2023-09-16 01:56:52;409682711;45.63958;38.58253;-20099;0;17
Облако-облако;2023-09-16 01:57:37;416583786;45.66666;38.59458;6013;3267;9
Облако-облако;2023-09-16 01:57:37;298749377;45.74371;38.80579;3802;7619;13
Облако-земля;2023-09-16 01:57:59;951819653;45.65396;38.59761;-6462;0;10
Облако-облако;2023-09-16 01:57:59;940110604;45.68175;38.73297;-5267;5989;11
Облако-облако;2023-09-16 01:58:52;993902679;45.70265;38.79838;-5018;7416;12
Облако-облако;2023-09-16 01:59:04;298569373;45.6472399;38.58889;-2603;6412;6
Облако-земля;2023-09-16 02:00:03;515985867;45.64279;38.60855;-33333;0;11
Облако-облако;2023-09-16 02:00:03;909746489;45.75381;38.7846;-5463;13670;8
Облако-облако;2023-09-16 02:01:22;107698189;45.6548299;38.64337;3560;3012;6
Облако-облако;2023-09-16 02:01:22;99891552;45.64389;38.87948;-4571;19749;8
Облако-облако;2023-09-16 02:01:59;955476853;45.65566;38.64972;4059;4043;10
Облако-земля;2023-09-16 02:02:23;381164660;45.64987;38.59579;-8496;0;15
Облако-облако;2023-09-16 02:02:23;311173880;45.65382;38.7575999;-18132;16747;16
Облако-земля;2023-09-16 02:05:04;881763655;45.61662;38.59406;-24459;0;15
Облако-земля;2023-09-16 02:07:06;659243219;45.61839;38.64974;-80154;0;14
Облако-земля;2023-09-16 02:07:06;655155331;45.62464;38.81366;-12477;0;8
Облако-облако;2023-09-16 02:09:32;263500835;45.65196;38.83444;-23911;11414;14
Облако-земля;2023-09-16 02:09:32;267278658;45.6275199;38.67011;-94076;0;15
