Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-07-31 00:14:20;172299917;43.33053;46.65576;-23321;0;13
Облако-облако;2023-07-31 00:14:20;160943661;43.23771;46.59557;-10930;15021;11
Облако-облако;2023-07-31 00:15:49;38588753;43.4856399;46.68694;10509;11753;7
Облако-земля;2023-07-31 00:16:09;810145400;43.34308;46.69853;-22747;0;11
Облако-облако;2023-07-31 00:17:28;847005732;43.43882;46.32276;-5603;5184;8
Облако-облако;2023-07-31 01:47:27;69057225;43.79375;46.78484;-10283;4682;11
Облако-облако;2023-07-31 01:47:27;68492547;43.84615;46.6674;-8921;19116;7
Облако-земля;2023-07-31 01:48:56;993629260;43.92415;46.88335;-15214;0;10
Облако-облако;2023-07-31 01:55:40;728788625;44.01585;46.75009;-4476;12215;7
Облако-земля;2023-07-31 01:55:40;794825681;43.93242;46.90657;-12197;0;10
Облако-облако;2023-07-31 01:56:43;310904408;44.0062;46.84219;6355;12989;7
Облако-земля;2023-07-31 10:34:19;597381645;41.27333;43.5681;-4727;0;11
Облако-облако;2023-07-31 10:34:19;453370409;41.29405;43.73165;-16151;4932;13
Облако-облако;2023-07-31 10:34:36;447100818;41.25754;43.57135;-2652;17804;6
Облако-облако;2023-07-31 10:34:36;445016196;41.35796;43.45177;-3622;15741;11
Облако-облако;2023-07-31 10:35:35;269868475;41.25314;43.58798;-3414;19257;6
Облако-земля;2023-07-31 10:38:54;407663579;41.26056;43.57282;-5153;0;11
Облако-облако;2023-07-31 10:42:20;507527258;41.1884;43.5467;-3705;6456;7
Облако-облако;2023-07-31 10:42:47;173478597;41.25152;43.5534;-2786;11884;6
Облако-облако;2023-07-31 10:43:02;969007354;41.32853;43.65667;-3400;15757;10
Облако-облако;2023-07-31 10:44:40;705428520;41.2601;43.62187;-2491;13134;6
Облако-облако;2023-07-31 10:46:53;209134400;41.25083;43.56709;-3948;13176;8
