Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-06-07 00:00:17;984197959;42.0469;41.54693;-108728;0;18
Облако-облако;2023-06-07 00:00:18;327827293;41.91812;41.8566999;-5051;5997;10
Облако-облако;2023-06-07 00:00:18;260797385;42.23691;41.65958;-4367;5439;12
Облако-земля;2023-06-07 00:00:24;199990875;42.30822;41.70078;-89066;0;16
Облако-облако;2023-06-07 00:00:24;214750554;42.3407399;41.83244;-10736;6506;11
Облако-облако;2023-06-07 00:00:34;739282584;42.2937299;44.8763999;5945;3013;7
Облако-земля;2023-06-07 00:00:34;631588815;42.24601;45.07359;-42297;0;15
Облако-земля;2023-06-07 00:00:47;75400866;42.5692499;42.33979;-10769;0;7
Облако-облако;2023-06-07 00:00:47;80917973;42.58307;42.5307;4609;3000;14
Облако-земля;2023-06-07 00:01:16;10643466;42.25883;41.14022;-59222;0;22
Облако-облако;2023-06-07 00:01:16;7388804;42.27341;42.11985;-52510;5820;12
Облако-облако;2023-06-07 00:01:16;36135452;42.31817;41.24873;6144;7744;15
Облако-земля;2023-06-07 00:01:19;337763874;41.93694;41.38805;-62241;0;19
Облако-облако;2023-06-07 00:01:19;334385137;42.05754;41.4530699;-36976;7348;7
Облако-облако;2023-06-07 00:01:19;744784259;42.05098;41.71075;-7070;15517;8
Облако-земля;2023-06-07 00:01:26;445807351;42.28432;45.19742;-7653;0;7
Облако-облако;2023-06-07 00:01:37;658500906;42.18976;44.9972;-7088;10573;10
Облако-земля;2023-06-07 00:01:54;532190486;42.3088;41.69881;-84328;0;15
Облако-облако;2023-06-07 00:01:55;360476957;42.4480999;41.9670599;5849;10504;8
Облако-земля;2023-06-07 00:02:05;88075168;42.06092;41.55126;-55070;0;16
Облако-облако;2023-06-07 00:02:05;83840483;42.08008;41.69632;-13118;3736;10
Облако-земля;2023-06-07 00:02:50;200668893;41.96559;41.43869;-45532;0;15
Облако-облако;2023-06-07 00:02:50;267643455;42.04244;41.54778;-10100;6988;10
Облако-земля;2023-06-07 00:03:04;930522971;42.28524;41.62784;-74289;0;8
Облако-земля;2023-06-07 00:03:08;515363651;42.49468;42.33864;-133440;0;17
Облако-облако;2023-06-07 00:03:08;599199997;42.65219;42.35967;6089;17976;8
Облако-земля;2023-06-07 00:03:39;944636192;42.05819;41.54255;-62056;0;16
Облако-земля;2023-06-07 00:03:55;654728312;42.28848;41.6366;-69610;0;22
Облако-облако;2023-06-07 00:03:55;650222314;42.33793;41.75607;-20932;5638;14
Облако-облако;2023-06-07 00:04:08;814178533;42.35279;45.24087;8004;4951;7
Облако-земля;2023-06-07 00:04:08;872526266;42.24794;45.07217;-20623;0;11
Облако-земля;2023-06-07 00:04:26;880692795;41.24282;44.90408;-6195;0;9
Облако-земля;2023-06-07 00:04:31;452995837;42.29158;41.63882;-52927;0;15
Облако-земля;2023-06-07 00:05:06;351947840;41.89656;41.3825;-31701;0;16
Облако-земля;2023-06-07 00:05:21;161443449;42.29046;41.64745;-66815;0;17
Облако-облако;2023-06-07 00:05:21;178444666;42.33899;41.87344;-9583;19184;9
Облако-земля;2023-06-07 00:05:36;228484484;41.96399;41.45238;-5972;0;11
Облако-земля;2023-06-07 00:06:00;73618339;42.42413;41.98267;-71348;0;15
Облако-облако;2023-06-07 00:06:07;739503687;42.08229;41.73719;4927;18470;11
Облако-облако;2023-06-07 00:06:07;230196261;41.94043;41.43712;3884;9879;6
Облако-земля;2023-06-07 00:06:08;88191351;41.9657;41.48959;-39160;0;21
Облако-облако;2023-06-07 00:06:08;140225351;42.0906;41.55657;-6273;3004;11
Облако-земля;2023-06-07 00:06:20;83819468;42.29959;41.64041;-21532;0;12
Облако-облако;2023-06-07 00:06:20;611068734;42.45894;41.70159;-5021;3801;12
Облако-облако;2023-06-07 00:06:20;329943659;42.36633;41.8802499;-11645;12842;8
Облако-облако;2023-06-07 00:06:24;975286776;42.28704;41.97157;9619;4908;12
Облако-облако;2023-06-07 00:06:24;974844390;42.23966;41.8506799;6087;9404;8
Облако-земля;2023-06-07 00:06:26;413599400;42.23584;45.10139;-20384;0;14
