"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-земля;"2022-04-02 11:32:17";263827000;47.3771;36.0098;-12747;0;7
Облако-облако;"2022-04-02 11:33:01";90556597;47.37224;36.02396;-4804;18660;6
Облако-земля;"2022-04-02 11:33:01";111076000;47.4177;36.002;-10089;0;8
Облако-облако;"2022-04-02 11:33:32";478871486;47.33311;36.05394;4311;19589;6
Облако-земля;"2022-04-02 11:34:07";368681000;45.6228;42.6077;-10453;0;7
Облако-земля;"2022-04-02 11:34:43";104512093;47.39243;36.02969;-6612;0;6
Облако-облако;"2022-04-02 11:35:12";891742927;47.39856;36.04448;10179;15029;6
Облако-облако;"2022-04-02 11:35:21";860110086;47.41522;36.0015;-3986;9478;5
Облако-земля;"2022-04-02 11:35:28";311194824;47.36244;36.06365;-7131;0;6
Облако-земля;"2022-04-02 11:35:40";504657000;47.4901;36.1772;-9117;0;5
Облако-облако;"2022-04-02 11:36:08";48361262;47.40558;36.02044;-11639;13925;5
Облако-земля;"2022-04-02 11:36:20";754449000;47.4538;36.0356;16275;0;9
Облако-земля;"2022-04-02 11:36:47";246875231;47.39543;36.0049;-4780;0;6
Облако-облако;"2022-04-02 11:37:13";447605191;47.4719;36.0086;-3928;17364;5
Облако-земля;"2022-04-02 11:37:13";406307000;47.4413;36.0371;-5583;0;7
Облако-земля;"2022-04-02 11:37:13";388204000;47.4387;36.0282;-9038;0;7
Облако-облако;"2022-04-02 11:37:42";942266714;47.3963899;36.04042;9277;17576;11
Облако-земля;"2022-04-02 11:37:45";859155000;47.5439;36.0322;-9526;0;7
Облако-земля;"2022-04-02 11:38:09";734109000;47.418;36.0813;-8032;0;7
Облако-земля;"2022-04-02 11:38:24";39556000;47.4368;36.0557;-6866;0;7
Облако-земля;"2022-04-02 11:38:40";949326000;45.6433;42.6546;-11849;0;7
Облако-облако;"2022-04-02 11:39:04";139598521;47.3984499;36.06598;10239;12362;5
Облако-земля;"2022-04-02 11:40:12";571884000;45.5126;42.6322;-6079;0;6
Облако-облако;"2022-04-02 11:40:13";758621088;45.65883;42.57398;10779;16685;5
Облако-земля;"2022-04-02 11:40:43";344786000;47.4627;36.0752;-7590;0;7
Облако-земля;"2022-04-02 11:40:48";613916000;47.5325;36.0284;-45867;0;9
Облако-облако;"2022-04-02 11:40:55";731466008;47.44789;36.07295;-5881;17053;5
Облако-облако;"2022-04-02 11:41:29";230754162;47.49457;36.10834;16468;12327;11
Облако-облако;"2022-04-02 11:42:59";766173992;47.44491;36.13407;-7654;18559;5
Облако-облако;"2022-04-02 11:43:24";105883494;47.46925;36.18295;5622;18865;7
Облако-земля;"2022-04-02 11:43:33";959865000;45.5135999;42.643;-6610;0;7
Облако-облако;"2022-04-02 11:43:41";320222351;47.46437;36.16935;-5926;17486;5
Облако-облако;"2022-04-02 11:44:40";146633717;47.44104;36.14005;-4765;18318;5
Облако-земля;"2022-04-02 11:44:40";41882000;47.46;36.1349;-9547;0;7
Облако-облако;"2022-04-02 11:44:55";759571688;47.58564;36.07504;6890;17809;5
