"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-земля;"2022-12-02 22:13:33";999336707;42.01587;41.62612;-21070;0;13
Облако-облако;"2022-12-02 22:14:45";323786882;42.0068399;41.80962;-27339;4719;14
Облако-земля;"2022-12-02 22:14:45";404779047;41.83842;41.48068;-15936;0;9
Облако-земля;"2022-12-02 22:15:49";414404440;41.83797;41.47433;-9147;0;11
Облако-земля;"2022-12-02 22:15:51";51634381;41.4503;41.11037;-8027;0;10
Облако-земля;"2022-12-02 22:18:17";982197000;41.8354;41.4438;-38836;0;9
Облако-земля;"2022-12-02 22:18:18";362904426;41.92011;41.53238;-31655;0;10
Облако-облако;"2022-12-02 22:18:18";427335439;41.99927;41.59842;-4992;11511;9
Облако-земля;"2022-12-02 22:18:56";315047622;42.02814;39.9056799;-43275;0;19
Облако-земля;"2022-12-02 22:20:25";638889127;41.84912;41.47611;-51926;0;13
Облако-облако;"2022-12-02 22:20:25";659397195;41.86117;41.65293;6175;16471;8
Облако-земля;"2022-12-02 22:20:46";930714527;41.4540099;41.13557;-55171;0;12
Облако-облако;"2022-12-02 22:20:47";196763903;41.62727;41.37719;-6827;3019;13
Облако-земля;"2022-12-02 22:21:44";749268318;41.84064;41.49021;-39524;0;13
Облако-облако;"2022-12-02 22:21:44";765796774;41.87759;41.66734;-11993;3419;13
Облако-облако;"2022-12-02 22:21:45";124407153;41.99291;41.65341;5838;3004;15
Облако-земля;"2022-12-02 22:22:47";51073440;41.83437;41.4963399;-38698;0;12
Облако-земля;"2022-12-02 22:22:51";458414243;42.1387799;39.72486;-6391;0;10
Облако-земля;"2022-12-02 22:23:23";643039969;41.3332;40.74838;-17499;0;15
Облако-земля;"2022-12-02 22:25:18";407181777;42.0142499;39.9544;-63630;0;17
Облако-облако;"2022-12-02 22:25:25";522632464;42.1258399;39.59406;-22173;5537;18
Облако-земля;"2022-12-02 22:25:33";791578337;41.85328;41.48945;-14671;0;11
Облако-облако;"2022-12-02 22:25:34";249561499;41.9132;41.6260199;-12523;7791;12
Облако-земля;"2022-12-02 22:26:52";624414043;41.52185;41.4278;-43688;0;21
Облако-облако;"2022-12-02 22:27:10";643367319;41.67956;41.4169;-26094;19232;14
Облако-облако;"2022-12-02 22:27:59";375598119;41.94898;41.50801;-5254;15376;7
Облако-земля;"2022-12-02 22:27:59";345428467;41.84672;41.49668;-75074;0;12
Облако-облако;"2022-12-02 22:29:34";484025309;41.4331;41.21879;-71376;11956;12
Облако-земля;"2022-12-02 22:29:56";712111662;41.56144;41.42542;-45083;0;15
Облако-облако;"2022-12-02 22:30:18";26805188;41.7239099;41.5816;-43731;7519;23
Облако-земля;"2022-12-02 22:31:11";903416003;41.3264;40.71407;-47938;0;16
Облако-земля;"2022-12-02 22:31:12";681228543;41.86558;41.55656;-32623;0;17
Облако-земля;"2022-12-02 22:31:23";998790661;41.4315;41.14056;-21420;0;14
Облако-земля;"2022-12-02 22:32:38";702545705;41.55381;41.42647;-14682;0;14
Облако-земля;"2022-12-02 22:33:02";564633413;41.84375;41.52855;-52551;0;22
Облако-облако;"2022-12-02 22:33:11";541538941;42.0149;39.97577;13638;3276;15
Облако-облако;"2022-12-02 22:33:11";741327231;42.11905;40.07865;-7601;5749;14
Облако-земля;"2022-12-02 22:34:48";975103000;41.8653;41.4018;59384;0;8
Облако-земля;"2022-12-02 22:35:59";719717000;41.4474;41.3986;930;0;9
Облако-земля;"2022-12-02 22:35:59";747972752;41.45112;41.19962;-9390;0;13
Облако-земля;"2022-12-02 22:36:02";291128000;41.4655;41.4475;-84345;0;10
Облако-земля;"2022-12-02 22:37:04";886837693;41.67004;41.45624;-64221;0;13
Облако-облако;"2022-12-02 22:37:15";148554375;41.84971;41.5428;-37612;6909;13
Облако-земля;"2022-12-02 22:38:30";454393887;41.54891;41.44853;-69464;0;18
Облако-земля;"2022-12-02 22:39:07";916490705;41.85825;41.54198;-48384;0;13
Облако-земля;"2022-12-02 22:40:09";75181899;41.3153099;40.66646;-7297;0;12
Облако-облако;"2022-12-02 22:40:09";18068699;41.36779;40.78434;-18621;5776;16
Облако-земля;"2022-12-02 22:40:10";756483692;41.55455;41.47256;15177;0;7
Облако-земля;"2022-12-02 22:40:22";437422141;41.42376;41.24289;-14070;0;12
Облако-земля;"2022-12-02 22:40:53";607621562;41.68592;41.4773799;-131839;0;18
Облако-земля;"2022-12-02 22:41:41";546508232;41.8633499;41.52419;-54851;0;16
Облако-земля;"2022-12-02 22:42:38";138841621;41.48888;41.42165;-54970;0;18
Облако-облако;"2022-12-02 22:42:50";468813749;41.44095;41.25954;-71691;6900;12
Облако-земля;"2022-12-02 22:43:03";546309359;41.35999;41.15364;-5808;0;11
Облако-земля;"2022-12-02 22:43:05";219471727;41.6578;41.46692;-12299;0;11
Облако-облако;"2022-12-02 22:44:53";582503859;41.77211;41.64958;-9134;7172;18
Облако-земля;"2022-12-02 22:44:53";570456991;41.6697;41.469;-48708;0;15
Облако-земля;"2022-12-02 22:45:55";138157878;41.85943;41.56263;-64600;0;17
Облако-облако;"2022-12-02 22:45:59";98654062;41.45916;41.30515;-4787;18278;9
Облако-земля;"2022-12-02 22:46:39";189855909;41.64646;41.48089;-13975;0;7
Облако-земля;"2022-12-02 22:46:56";108984003;41.59718;41.50016;-36034;0;19
Облако-облако;"2022-12-02 22:49:14";413662788;41.4453;41.2934;-97503;11890;7
Облако-земля;"2022-12-02 22:49:17";777982894;41.68492;41.52068;-131271;0;15
Облако-облако;"2022-12-02 22:49:18";166364182;41.7165;41.65599;-7813;15664;14
Облако-облако;"2022-12-02 22:50:11";181147339;41.97586;41.60033;-30408;19797;10
Облако-земля;"2022-12-02 22:50:11";193004911;41.86977;41.56693;-5113;0;8
Облако-земля;"2022-12-02 22:51:16";49870325;41.69859;41.53269;-95608;0;15
Облако-земля;"2022-12-02 22:51:53";674414849;41.83417;41.56165;-6629;0;12
Облако-облако;"2022-12-02 22:51:53";675132131;41.94625;41.58278;-5005;4226;8
Облако-земля;"2022-12-02 22:52:08";547834000;41.4442;40.573;12970;0;12
Облако-земля;"2022-12-02 22:52:08";530413129;41.33366;40.68321;-20403;0;11
Облако-земля;"2022-12-02 22:52:08";392934311;41.31939;40.80877;35856;0;10
Облако-земля;"2022-12-02 22:52:44";971398699;41.69175;41.54836;-10572;0;12
Облако-земля;"2022-12-02 22:53:01";989708490;41.44145;41.32211;-19294;0;13
Облако-земля;"2022-12-02 22:53:28";40951303;41.8378;41.55348;-29139;0;15
Облако-облако;"2022-12-02 22:53:28";37224757;41.79672;41.96017;-10236;14287;17
Облако-земля;"2022-12-02 22:53:48";607494086;41.66117;41.5698999;-19309;0;10
Облако-земля;"2022-12-02 22:53:49";447695000;41.6066;41.443;9902;0;8
Облако-облако;"2022-12-02 22:55:03";57030737;41.84104;41.56292;-39740;4553;15
Облако-земля;"2022-12-02 22:56:10";477542049;41.2783;40.64233;-32064;0;14
Облако-облако;"2022-12-02 22:56:14";957389547;41.50657;41.45673;-10655;6948;14
Облако-земля;"2022-12-02 22:56:15";16470429;41.4241699;41.36372;-10142;0;12
Облако-облако;"2022-12-02 22:56:41";325089418;41.65576;41.52837;-4888;6390;8
