"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-земля;"2021-01-07 21:30:01";293196000;47.8713;36.1293;41906;0;6
Облако-земля;"2021-01-07 21:30:01";263933462;47.84332;36.15651;148580;0;12
Облако-земля;"2021-01-07 21:32:53";378873982;47.87525;36.21679;-33015;0;11
Облако-облако;"2021-01-07 21:33:47";426380576;47.88141;36.17498;11438;11508;8
Облако-земля;"2021-01-12 13:38:35";804848000;41.0476;40.5272;-15848;0;6
Облако-земля;"2021-01-12 14:38:29";644346000;41.4397;40.9675;-11332;0;9
Облако-облако;"2021-01-12 14:38:29";875502374;41.48657;40.93872;-14224;12299;5
Облако-земля;"2021-01-12 14:39:12";374099000;41.4263;41.0150999;26000;0;11
Облако-земля;"2021-01-12 14:39:49";980334000;41.3654;40.9617999;15053;0;6
Облако-земля;"2021-01-12 14:39:49";889817000;41.5489;40.9063;19656;0;6
Облако-земля;"2021-01-12 14:39:49";855223000;41.4629;40.9462;-9925;0;5
Облако-земля;"2021-01-12 14:40:46";680998000;41.3641;40.9607;17212;0;7
Облако-земля;"2021-01-12 14:40:46";635766000;41.4387;41.0116;19204;0;9
Облако-земля;"2021-01-12 14:40:46";597053000;41.4231;40.9983999;33163;0;6
Облако-земля;"2021-01-12 14:41:52";455178000;41.4996;40.9534;23124;0;6
Облако-земля;"2021-01-12 14:42:30";620549000;41.3912;40.9737;32377;0;6
Облако-земля;"2021-01-12 14:42:30";868091000;41.432;41.1248999;-7726;0;5
Облако-земля;"2021-01-12 14:42:30";681050112;41.54163;41.22912;-4776;0;5
Облако-земля;"2021-01-12 14:43:09";450015000;41.4089;41.0426;15433;0;10
Облако-земля;"2021-01-12 14:43:09";557690000;41.4018;40.9766;-6783;0;8
Облако-облако;"2021-01-12 14:43:09";503708990;41.43425;41.04607;-11878;16742;6
Облако-земля;"2021-01-12 14:43:59";569659000;41.4092;41.0068;21554;0;6
Облако-земля;"2021-01-12 14:43:59";606361690;41.41621;41.08031;-12992;0;8
Облако-земля;"2021-01-12 14:44:35";540751000;41.3979;40.9709999;15415;0;8
Облако-земля;"2021-01-12 14:44:35";622934000;41.6666;40.9643;-12310;0;5
Облако-земля;"2021-01-12 14:44:35";581527000;41.3093999;41.0013999;16141;0;6
Облако-земля;"2021-01-12 14:45:10";313642000;41.5023;41.0234;44014;0;7
Облако-земля;"2021-01-12 14:45:10";361653244;41.39586;41.05625;-28765;0;6
Облако-земля;"2021-01-12 14:45:50";248000000;41.3651;40.9664;16307;0;5
Облако-земля;"2021-01-12 14:45:50";349538000;41.4956;41.036;-11446;0;8
Облако-земля;"2021-01-12 14:45:50";413917000;41.5366;41.0488;-7837;0;6
Облако-земля;"2021-01-12 14:45:50";294092000;41.3595;41.0206;-14906;0;5
