Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-10-06 08:03:39;964116481;46.6214;38.3969499;18061;0;10
Облако-земля;2023-10-06 08:06:30;163558632;46.66551;38.41176;-37837;0;19
Облако-облако;2023-10-06 08:11:53;139136585;46.89448;38.7211799;6221;19817;13
Облако-облако;2023-10-06 08:13:36;582925260;46.72967;38.16435;-6046;9993;7
Облако-земля;2023-10-06 08:16:53;505002264;46.87242;38.71428;-7935;0;10
Облако-земля;2023-10-06 08:17:00;52374995;46.62136;38.3738;-6246;0;11
Облако-земля;2023-10-06 08:19:26;460575488;46.64759;38.40284;-8504;0;16
Облако-облако;2023-10-06 08:20:55;660981769;46.66279;38.4381;6645;3016;7
Облако-облако;2023-10-06 08:22:10;939117826;46.65834;38.44513;9544;5806;11
Облако-облако;2023-10-06 08:23:01;397504672;46.66507;38.45394;6112;8370;11
Облако-облако;2023-10-06 08:23:31;105679807;46.73309;38.63956;-20929;4739;14
Облако-земля;2023-10-06 08:28:51;283049381;46.87882;38.8408299;-10686;0;9
Облако-облако;2023-10-06 08:31:43;322231202;46.67413;38.55604;11234;6176;9
Облако-облако;2023-10-06 08:32:09;456684205;46.61863;38.3911299;-11443;19193;13
Облако-облако;2023-10-06 08:32:49;383148766;46.60447;38.33903;3887;19735;7
Облако-облако;2023-10-06 08:32:49;293573739;46.6767899;38.50674;-8045;7652;8
Облако-облако;2023-10-06 08:34:48;170155511;46.62382;38.50925;-4160;10857;10
Облако-облако;2023-10-06 08:35:41;960939278;46.6222;38.39463;-7614;9222;14
Облако-земля;2023-10-06 08:36:24;230964032;46.66708;38.58811;14743;0;14
Облако-облако;2023-10-06 08:36:56;346122491;46.63393;38.37966;-2109;3393;5
Облако-облако;2023-10-06 08:36:56;334790482;46.65563;38.52126;-5824;14117;8
Облако-земля;2023-10-06 08:38:52;80359785;46.6315;38.57778;-13719;0;10
Облако-облако;2023-10-06 08:40:10;649204290;46.60534;38.44179;-11324;6285;12
Облако-облако;2023-10-06 08:40:10;694930535;46.57518;38.2961699;-5855;5081;12
Облако-облако;2023-10-06 08:42:03;129346372;46.60716;38.45882;-5884;6061;13
Облако-облако;2023-10-06 08:43:30;125424461;46.88241;38.9617999;-23306;6374;8
Облако-облако;2023-10-06 08:44:04;762270915;46.68302;38.74088;-37418;13625;17
Облако-земля;2023-10-06 08:45:27;561290630;46.60781;38.46909;-9066;0;15
Облако-облако;2023-10-06 08:46:04;770895289;46.65279;38.64128;11656;5913;13
Облако-земля;2023-10-06 08:48:43;132505944;46.64967;38.6648799;-12503;0;13
Облако-облако;2023-10-06 08:48:43;125386799;46.69633;38.80418;-56272;19786;15
Облако-земля;2023-10-06 08:51:07;964429081;46.88959;39.01395;-9669;0;15
Облако-земля;2023-10-06 08:51:29;171360412;46.64787;38.68807;-35816;0;15
Облако-облако;2023-10-06 08:51:29;177929055;46.6911;38.82656;-12228;4300;7
Облако-земля;2023-10-06 08:52:49;811063270;46.60598;38.46695;-5794;0;14
Облако-облако;2023-10-06 08:52:49;906042003;46.65147;38.68234;-4625;5710;6
Облако-земля;2023-10-06 08:57:15;269527088;46.60499;38.54789;-9653;0;14
Облако-земля;2023-10-06 08:58:52;682040603;46.63276;38.56603;-12366;0;17
Облако-облако;2023-10-06 08:59:41;50731029;46.62052;38.72692;-6243;6524;15
Облако-земля;2023-10-06 08:59:45;815459741;46.61037;38.58799;-11480;0;16
Облако-земля;2023-10-06 09:01:29;308462734;46.6225;38.57734;-10065;0;15
Облако-земля;2023-10-06 09:04:02;708498032;46.64638;38.7572;-5846;0;8
Облако-земля;2023-10-06 09:11:25;267823548;46.97621;39.4482;6602;0;7
Облако-облако;2023-10-06 09:12:57;13156950;46.91417;39.48689;4402;4843;5
Облако-облако;2023-10-06 09:13:51;67144410;46.97567;39.43342;-5358;6011;11
Облако-облако;2023-10-06 09:15:28;684413333;46.95443;39.44729;-5061;6576;5
Облако-облако;2023-10-06 09:16:08;886959664;46.99553;39.56778;-4013;17232;7
Облако-облако;2023-10-06 09:16:09;154585406;46.95152;39.45118;3225;5427;5
Облако-облако;2023-10-06 09:16:46;355359026;46.96457;39.43867;-3865;6337;8
Облако-земля;2023-10-06 09:17:31;935856864;46.97309;39.40902;-9678;0;13
Облако-облако;2023-10-06 09:17:32;169068267;47.0591099;39.58567;7651;5255;14
Облако-облако;2023-10-06 09:18:09;985519654;46.94372;39.45797;-5354;17020;8
Облако-земля;2023-10-06 09:19:02;574485731;46.978;39.41664;-27282;0;9
Облако-облако;2023-10-06 09:20:09;829473329;47.00509;39.53331;10586;18154;16
Облако-облако;2023-10-06 09:20:50;892924631;46.98012;39.4412;-2727;8910;5
Облако-земля;2023-10-06 09:23:08;506762631;46.96566;39.43756;-6043;0;8
Облако-облако;2023-10-06 09:23:34;159028479;46.96608;39.44198;-3411;10833;7
Облако-облако;2023-10-06 09:25:10;240382219;47.01535;39.61256;-6700;16015;13
Облако-облако;2023-10-06 09:26:25;641052084;46.96623;39.48036;-3050;10913;6
Облако-облако;2023-10-06 09:27:46;876986541;46.9697;39.48656;-6780;5768;13
Облако-облако;2023-10-06 09:27:46;910505758;47.02299;39.68197;-11751;16654;18
Облако-земля;2023-10-06 09:28:41;264332164;46.78011;39.42789;-36935;0;9
Облако-земля;2023-10-06 09:29:29;63885386;46.82936;39.51145;-4963;0;7
Облако-облако;2023-10-06 09:31:05;224263565;46.78243;39.41796;-3453;5375;7
Облако-облако;2023-10-06 09:31:31;752402715;46.78724;39.41902;-7123;14460;12
Облако-облако;2023-10-06 09:31:31;751743700;46.86512;39.5601;-6945;10596;14
Облако-земля;2023-10-06 09:31:48;200332240;46.78952;39.42772;-11417;0;7
Облако-облако;2023-10-06 09:32:01;547844895;46.8752799;39.61388;-14688;19511;16
Облако-облако;2023-10-06 09:32:29;383563631;46.70026;39.49823;3037;6678;7
Облако-земля;2023-10-06 09:32:43;504855428;46.78776;39.43957;-3377;0;6
Облако-облако;2023-10-06 09:33:27;392155882;46.73944;39.4717399;2260;4312;5
Облако-облако;2023-10-06 09:34:36;991722922;46.79214;39.47021;-4107;5744;6
Облако-облако;2023-10-06 09:34:37;20039016;46.87388;39.61985;-11237;10506;16
Облако-облако;2023-10-06 09:34:48;173130085;46.7838;39.47472;-5124;4095;12
Облако-земля;2023-10-06 09:35:12;132429523;46.85682;39.62633;-23272;0;14
Облако-облако;2023-10-06 09:35:12;199835910;46.78374;39.4767;-2514;8254;6
Облако-земля;2023-10-06 09:36:11;183317737;46.79886;39.47636;-7291;0;9
Облако-облако;2023-10-06 09:37:56;996481252;46.71576;39.54012;-3289;6917;9
Облако-облако;2023-10-06 09:37:56;994134402;46.79473;39.45765;-5292;16152;9
Облако-земля;2023-10-06 09:40:44;941593956;46.8039599;39.51665;-5244;0;11
Облако-земля;2023-10-06 09:42:21;884541210;46.99704;39.60225;-7447;0;12
Облако-земля;2023-10-06 09:43:24;429566648;46.97234;39.54011;32823;0;17
Облако-земля;2023-10-06 09:44:48;235711855;46.78327;39.56151;35833;0;19
Облако-облако;2023-10-06 09:44:48;193432412;46.86351;39.65099;-10917;13434;13
Облако-облако;2023-10-06 09:49:22;453529810;46.79302;39.61867;2867;5224;6
Облако-земля;2023-10-06 09:54:53;958686657;46.99205;39.66739;-8304;0;14
Облако-облако;2023-10-06 09:55:33;996487576;46.80168;39.60841;-10012;4949;9
Облако-земля;2023-10-06 09:57:25;135354158;46.97966;39.71468;-11853;0;14
Облако-земля;2023-10-06 10:02:07;120017670;46.988;39.70505;-7825;0;9
Облако-земля;2023-10-06 10:09:06;321724597;47.00333;39.78606;17910;0;16
Облако-земля;2023-10-06 10:17:50;873506681;45.31213;37.62948;-8402;0;9
Облако-земля;2023-10-06 10:19:30;509584691;45.31456;37.65067;-20836;0;12
Облако-земля;2023-10-06 10:20:32;590465327;46.9659;39.84825;-9760;0;13
Облако-земля;2023-10-06 10:23:38;665849979;47.02699;39.94375;-23159;0;17
Облако-земля;2023-10-06 10:24:35;687359662;47.04859;39.98021;-6517;0;12
Облако-земля;2023-10-06 10:25:02;532770862;45.31914;37.687;-12969;0;14
Облако-облако;2023-10-06 10:25:34;68225267;46.95976;39.94728;-3053;10403;6
Облако-облако;2023-10-06 10:26:25;832704976;45.35494;37.66809;6887;3507;14
