"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-земля;"2020-12-02 22:27:56";997120000;41.6975;36.8129;112932;0;13
Облако-земля;"2020-12-02 22:39:39";8515000;41.8268;36.5822;-20134;0;7
Облако-земля;"2020-12-06 02:08:03";931739000;41.8057;41.2006;-7852;0;7
Облако-облако;"2020-12-06 02:08:03";927856994;41.72326;41.29072;7738;16136;12
Облако-земля;"2020-12-06 02:18:41";554596000;41.1319;40.3135;-8222;0;5
Облако-земля;"2020-12-06 02:18:41";581380000;41.2721;40.2431;-18447;0;5
Облако-облако;"2020-12-06 02:30:19";237577491;41.7072;41.29211;-9430;17859;13
Облако-земля;"2020-12-06 02:34:58";486303000;41.7785;41.1574;20397;0;7
Облако-облако;"2020-12-06 02:34:58";472024783;41.70971;41.25633;-13106;17658;16
Облако-земля;"2020-12-06 02:41:15";418927000;41.7856;41.055;45556;0;5
Облако-облако;"2020-12-06 02:41:15";56102262;41.81563;41.36961;-17023;8429;11
Облако-земля;"2020-12-06 02:41:15";209914437;41.73126;41.27158;-8824;0;14
Облако-земля;"2020-12-06 02:42:50";348052000;41.6334;41.1659;20511;0;5
Облако-земля;"2020-12-06 02:44:36";181339000;41.7774;41.2288;34833;0;5
Облако-земля;"2020-12-06 02:44:36";199585000;41.7277;41.2035;26281;0;6
Облако-земля;"2020-12-06 02:44:36";174054147;41.73608;41.21563;-68910;0;15
Облако-облако;"2020-12-06 02:46:23";181699633;41.74569;41.23505;28597;15536;7
Облако-облако;"2020-12-06 02:46:23";463768839;41.60125;41.17068;-21572;18656;11
Облако-земля;"2020-12-06 02:49:30";479996000;41.7221;41.2869;-10576;0;7
Облако-земля;"2020-12-06 02:49:30";249404000;41.6138;41.113;-12646;0;5
Облако-облако;"2020-12-06 02:49:30";238167393;41.74379;41.2504599;17719;16808;14
Облако-земля;"2020-12-06 02:55:04";391964000;41.6689;41.0905;0;0;5
Облако-облако;"2020-12-06 02:55:04";351660768;41.6107299;41.0491699;8499;14787;5
Облако-земля;"2020-12-06 02:57:08";68252000;41.6866;41.0148;59120;0;6
Облако-земля;"2020-12-06 02:58:26";451934000;41.6505;41.0865;29528;0;10
Облако-земля;"2020-12-06 02:59:07";843856936;41.65881;41.08712;-10307;0;15
Облако-земля;"2020-12-06 02:59:08";172602000;41.6474;41.0727;20711;0;5
Облако-земля;"2020-12-06 03:00:22";520543000;41.6177;41.0732;56525;0;13
Облако-земля;"2020-12-06 03:00:22";557274000;41.59;41.0932;17959;0;5
Облако-облако;"2020-12-06 03:00:22";583008699;41.635;41.1526799;-19752;14440;13
Облако-облако;"2020-12-06 03:02:08";906293530;41.67868;41.22098;-8713;14763;8
Облако-облако;"2020-12-06 03:03:36";124161748;41.5853899;41.13881;-8031;15748;14
Облако-облако;"2020-12-06 03:04:17";114105989;41.63233;41.14411;-8678;18947;14
Облако-земля;"2020-12-06 03:05:34";897300729;41.65302;41.20152;-17847;0;5
Облако-облако;"2020-12-06 03:06:29";233954498;41.64089;41.11793;14779;11657;15
Облако-земля;"2020-12-06 03:08:15";342539280;41.6199;41.14221;-30118;0;15
Облако-земля;"2020-12-06 03:11:03";349326000;41.6485;41.114;39149;0;6
Облако-земля;"2020-12-06 03:11:03";338044709;41.62646;41.1177;-42845;0;11
Облако-облако;"2020-12-06 03:11:03";359566011;41.6269;41.1950999;10365;8533;8
Облако-земля;"2020-12-06 03:13:13";364321000;41.8133;41.3851;18457;0;8
Облако-облако;"2020-12-06 03:13:13";338090890;41.7390199;41.32859;12838;8563;11
Облако-облако;"2020-12-06 03:15:25";375119748;41.6374;41.09526;-19723;15244;16
Облако-облако;"2020-12-06 03:19:38";462349764;41.67874;41.19543;17700;13339;7
Облако-облако;"2020-12-06 03:21:19";301478090;41.72187;41.33524;-10283;12800;15
Облако-облако;"2020-12-06 03:22:47";391752694;41.64502;41.11865;-7388;14510;13
Облако-облако;"2020-12-06 03:25:09";983245575;41.73239;41.33466;-15059;9020;11
Облако-земля;"2020-12-06 03:27:09";71694573;41.64276;41.12733;-25058;0;13
Облако-облако;"2020-12-06 03:28:57";815321860;41.64773;41.10617;-17495;16197;15
Облако-земля;"2020-12-06 03:34:30";44255000;41.6702;41.0456;141150;0;5
Облако-земля;"2020-12-06 03:34:30";53888000;41.8376;41.0892;30097;0;7
