Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-10-05 00:58:55;901050976;46.29092;46.88657;11751;18498;9
Облако-земля;2023-10-05 01:17:02;328603440;46.26192;46.98622;-15644;0;12
Облако-облако;2023-10-05 03:42:21;273121797;44.58395;46.61211;-7457;18638;9
Облако-облако;2023-10-05 03:42:21;263107653;44.49809;46.85489;-27118;3011;16
Облако-земля;2023-10-05 03:50:24;627720718;44.47381;46.95427;-6898;0;8
Облако-земля;2023-10-05 03:52:22;8759870;44.49162;46.9013;-6423;0;6
