Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-09-14 04:09:09;408701753;43.08394;39.43285;-7983;0;13
Облако-земля;2023-09-14 04:10:32;519280124;43.039;39.4816999;12316;0;14
Облако-облако;2023-09-14 04:11:32;702511750;43.03456;39.4766;3725;11037;10
Облако-земля;2023-09-14 04:18:05;536599112;43.0290899;39.58905;-9647;0;13
Облако-земля;2023-09-14 04:20:04;500908202;43.04581;39.50729;17930;0;15
Облако-облако;2023-09-14 05:19:11;397958967;44.11219;37.99591;-10796;19182;18
Облако-облако;2023-09-14 05:20:33;813092196;44.19515;38.25104;-7436;7660;10
Облако-облако;2023-09-14 05:20:33;827925405;44.10731;38.00029;-2576;6895;6
Облако-земля;2023-09-14 07:06:27;996475184;46.2919;46.7211;67789;0;14
Облако-облако;2023-09-14 07:10:19;538437160;46.3379;46.8171899;-99364;19879;18
Облако-облако;2023-09-14 07:10:46;202219774;46.31561;46.88626;10323;5497;7
Облако-земля;2023-09-14 07:20:22;866905172;46.43436;46.86874;26679;0;15
Облако-облако;2023-09-14 08:24:38;845989727;46.32649;37.31744;-22590;10847;20
Облако-облако;2023-09-14 08:24:38;862505715;46.2438;37.01842;-6549;11921;11
Облако-облако;2023-09-14 08:38:08;802206539;46.2344;37.18959;14784;18782;15
Облако-земля;2023-09-14 08:38:08;970814912;46.19457;36.96411;-13144;0;18
Облако-облако;2023-09-14 09:01:01;453696651;44.9507199;37.71881;-8706;11797;14
Облако-земля;2023-09-14 09:01:52;562207663;45.23156;46.60243;-17665;0;11
Облако-земля;2023-09-14 09:01:52;594818285;45.2838;46.80328;-9932;0;8
Облако-земля;2023-09-14 09:03:43;814649346;45.33064;46.82051;-6490;0;8
Облако-облако;2023-09-14 09:06:07;619703467;44.95278;37.86166;-8294;3007;11
Облако-земля;2023-09-14 09:07:36;356880983;45.22387;46.56693;-32619;0;8
Облако-облако;2023-09-14 09:10:06;437901256;44.91423;37.7781499;-5717;7432;9
Облако-облако;2023-09-14 09:10:38;592699491;45.26476;46.66209;-8950;7473;8
Облако-земля;2023-09-14 09:11:28;198664731;45.22422;46.49535;-5202;0;10
Облако-земля;2023-09-14 09:12:02;336731859;44.91708;37.76654;-7860;0;11
Облако-земля;2023-09-14 09:12:15;183553855;44.54781;38.21964;35580;0;17
Облако-облако;2023-09-14 09:21:38;15856706;44.47903;38.25674;12288;12021;11
Облако-облако;2023-09-14 09:22:43;891497723;44.62792;37.98377;-5593;10131;11
Облако-земля;2023-09-14 09:24:56;457984000;45.8423;46.9761;-26492;0;5
Облако-облако;2023-09-14 09:26:58;316667965;45.72574;46.90106;-5684;7889;7
Облако-облако;2023-09-14 09:26:59;16637713;44.43797;38.30073;4600;6395;8
Облако-земля;2023-09-14 09:28:14;167192710;44.4536;38.29294;-4983;0;7
Облако-облако;2023-09-14 09:31:43;256478873;44.50134;38.29582;-5801;6288;9
Облако-облако;2023-09-14 09:32:30;155397576;44.8359499;37.88365;6066;6343;11
Облако-облако;2023-09-14 09:33:29;303778171;44.88557;37.96937;9102;4445;12
Облако-земля;2023-09-14 09:33:30;527371767;45.7224999;46.95001;-8810;0;7
Облако-земля;2023-09-14 09:33:35;717395540;44.84409;37.85925;-8601;0;17
Облако-облако;2023-09-14 09:33:40;290711094;44.48948;38.35471;-14740;5108;15
Облако-облако;2023-09-14 09:35:02;541120615;44.8297;37.85666;-7601;6350;10
Облако-облако;2023-09-14 09:35:57;856797266;44.49355;38.40588;-3782;6560;6
Облако-земля;2023-09-14 09:36:32;903652961;44.82794;37.91413;-8238;0;15
Облако-облако;2023-09-14 09:37:15;965454424;44.50641;38.39327;6336;6528;10
Облако-облако;2023-09-14 09:37:39;387238270;44.44383;38.75571;-3765;6712;7
Облако-земля;2023-09-14 09:38:00;532642453;44.82083;37.88661;-8953;0;10
Облако-облако;2023-09-14 09:39:17;505739897;44.50442;38.3674;2197;6662;5
Облако-облако;2023-09-14 09:39:46;192216092;44.4141;38.47189;7520;11587;7
