Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-06-09 02:27:54;402402795;41.04281;36.12627;13785;0;17
Облако-земля;2023-06-09 02:29:52;273885021;41.04093;36.06006;-4381;0;12
Облако-облако;2023-06-09 02:32:42;652962949;41.01511;36.07718;-2507;19616;5
Облако-облако;2023-06-09 02:33:34;15054622;41.14437;36.94954;-4599;5681;15
Облако-облако;2023-06-09 02:36:32;772772310;41.23122;36.90034;-1714;3584;6
Облако-облако;2023-06-09 02:41:13;554449740;41.10321;36.20386;2762;10796;9
Облако-облако;2023-06-09 02:41:13;744632854;41.06104;36.04127;-2614;8316;7
Облако-земля;2023-06-09 02:41:15;685369629;41.02182;36.33979;-15967;0;16
Облако-облако;2023-06-09 02:41:29;401133961;41.01411;36.41772;-3931;5387;11
Облако-земля;2023-06-09 02:42:22;50936670;41.01316;36.37639;-22505;0;18
Облако-земля;2023-06-09 02:42:28;490047493;41.00605;36.33341;-13434;0;14
Облако-облако;2023-06-09 02:43:14;82472273;41.2552499;36.68399;7137;4449;8
Облако-облако;2023-06-09 02:43:14;80746844;41.00326;36.19339;6463;7074;12
Облако-земля;2023-06-09 02:43:22;535157345;41.00423;36.38556;-38628;0;17
Облако-земля;2023-06-09 02:43:50;206417253;41.01676;36.34304;-31610;0;15
Облако-земля;2023-06-09 02:44:07;525734917;41.00278;36.3476;-29695;0;19
Облако-облако;2023-06-09 02:44:12;860593493;41.06412;36.03513;-1623;9528;6
Облако-земля;2023-06-09 02:45:31;691379109;41.09312;36.39532;-7081;0;7
Облако-облако;2023-06-09 02:45:53;182571298;41.00364;36.35868;-3393;4821;7
Облако-облако;2023-06-09 02:46:13;852621094;41.00913;36.42059;3875;3583;10
Облако-земля;2023-06-09 02:47:08;429261479;41.01614;36.35229;-17632;0;18
Облако-облако;2023-06-09 02:47:14;992365111;41.12636;36.38107;-7177;15975;14
Облако-земля;2023-06-09 02:47:35;860853082;41.00614;36.30301;-24203;0;17
Облако-облако;2023-06-09 02:47:48;176814977;41.0409999;36.41868;4966;4791;11
Облако-земля;2023-06-09 02:48:51;531780935;41.01495;36.40858;-15116;0;17
Облако-облако;2023-06-09 02:49:20;950332608;41.0046;36.31652;-1940;12110;8
Облако-облако;2023-06-09 02:49:48;149229215;41.03913;36.29589;5477;9927;5
Облако-облако;2023-06-09 02:50:01;126308042;41.03549;36.33153;5150;17320;14
Облако-земля;2023-06-09 02:50:12;677118826;41.00517;36.31777;-4031;0;13
Облако-земля;2023-06-09 02:50:35;869639116;41.03311;36.32332;-32348;0;19
Облако-земля;2023-06-09 02:50:35;871066722;41.13882;36.3280699;-4869;0;9
Облако-облако;2023-06-09 02:50:51;38475721;41.05487;36.3915999;-5724;5735;13
Облако-земля;2023-06-09 02:51:05;952585489;41.02538;36.27839;-9125;0;13
Облако-облако;2023-06-09 02:51:14;42934567;41.02032;36.39085;-4209;3179;12
Облако-облако;2023-06-09 02:51:39;55981431;41.05589;36.39581;1963;11289;5
Облако-облако;2023-06-09 02:51:56;55923631;41.01468;36.28202;9608;8963;14
Облако-облако;2023-06-09 02:52:19;61251164;41.0224;36.32474;-1564;5760;5
Облако-земля;2023-06-09 02:52:30;527571604;41.05655;36.3747;-4083;0;10
Облако-облако;2023-06-09 02:52:30;464236630;41.14129;36.47988;4472;3713;11
Облако-облако;2023-06-09 02:52:45;581833575;41.01063;36.28388;2060;11163;6
Облако-облако;2023-06-09 02:53:20;465266935;41.054;36.37113;8183;7883;15
Облако-земля;2023-06-09 02:53:43;45001777;41.02966;36.30662;-9524;0;12
Облако-облако;2023-06-09 02:53:58;587650624;41.05453;36.36132;3438;10004;5
Облако-облако;2023-06-09 02:54:14;159207779;41.04495;36.24765;8217;15557;14
Облако-облако;2023-06-09 02:54:25;259401061;41.04906;36.361;-2687;9902;10
Облако-облако;2023-06-09 02:55:07;886947403;41.02194;36.2641599;-4273;17428;12
Облако-облако;2023-06-09 02:55:22;11705463;41.08855;36.35528;2915;9992;7
Облако-земля;2023-06-09 02:55:52;474199140;41.06842;36.06851;-3943;0;10
Облако-облако;2023-06-09 02:56:14;934316232;41.05413;36.35231;4264;18667;9
Облако-земля;2023-06-09 02:56:56;912206563;41.06853;36.34941;-16591;0;20
Облако-облако;2023-06-09 02:57:02;929279867;41.02465;36.2598;1674;10447;5
Облако-земля;2023-06-09 02:57:42;371505675;41.0658;36.3324799;-107693;0;16
Облако-земля;2023-06-09 02:58:09;417572602;41.0387;36.24422;-27982;0;21
Облако-облако;2023-06-09 02:58:21;665169327;41.0595;36.34605;7662;19259;14
Облако-облако;2023-06-09 02:58:21;573675626;41.0126599;36.12476;-7202;5309;15
Облако-облако;2023-06-09 02:58:42;240880202;41.05567;36.3249;-3364;3701;8
Облако-облако;2023-06-09 02:59:28;456847367;41.0002;36.06071;3671;12937;11
Облако-облако;2023-06-09 02:59:35;12066151;41.0376199;36.25192;-4750;4872;7
Облако-облако;2023-06-09 03:00:10;696587358;41.01909;36.31658;2120;7845;5
Облако-земля;2023-06-09 03:00:44;308438450;41.06585;36.30406;17536;0;19
Облако-облако;2023-06-09 03:00:57;520775331;41.00387;36.66367;12795;5118;14
Облако-облако;2023-06-09 03:01:33;640795555;41.01562;36.095;2357;13005;6
Облако-облако;2023-06-09 03:01:39;121438335;41.05913;36.31203;-1738;9564;6
Облако-земля;2023-06-09 03:02:40;374030280;41.05017;36.22964;-13934;0;16
Облако-облако;2023-06-09 03:02:51;37682141;41.07843;36.29744;7308;19452;14
Облако-облако;2023-06-09 03:03:12;46380800;41.00623;36.58553;4555;12158;11
Облако-облако;2023-06-09 03:03:15;341462350;41.00465;36.62538;-1892;4516;5
Облако-облако;2023-06-09 03:03:23;476169424;41.06181;36.30895;2005;6455;5
Облако-земля;2023-06-09 03:04:08;487968775;41.0793899;36.28989;-5884;0;10
Облако-облако;2023-06-09 03:04:44;85201597;41.05246;36.24867;5269;4585;10
Облако-облако;2023-06-09 03:05:01;614411721;41.06461;36.30171;3609;4205;7
Облако-облако;2023-06-09 03:05:17;573622777;41.00857;36.57395;2879;4284;7
Облако-облако;2023-06-09 03:05:31;996636921;41.06407;36.27851;3326;6482;5
Облако-облако;2023-06-09 03:06:29;9665017;41.01943;36.54311;3893;16875;9
Облако-земля;2023-06-09 03:06:32;91039747;41.06386;36.21764;18500;0;18
Облако-облако;2023-06-09 03:06:32;233660606;41.00696;36.45745;-1961;11253;5
Облако-облако;2023-06-09 03:07:14;770860159;41.00833;36.48627;4094;17194;7
Облако-облако;2023-06-09 03:07:26;70695560;41.00838;36.51086;-6994;10366;8
Облако-облако;2023-06-09 03:07:54;507236680;41.0104;36.55326;-3802;17283;11
Облако-облако;2023-06-09 03:08:04;225587741;41.01464;36.482;-3379;4290;9
Облако-земля;2023-06-09 03:08:38;233005719;41.06298;36.2029;23348;0;18
Облако-облако;2023-06-09 03:08:53;152126052;41.00097;36.47786;4197;11572;10
Облако-облако;2023-06-09 03:09:04;907022197;41.01981;36.47134;9313;12808;17
Облако-облако;2023-06-09 03:09:05;97651768;41.00374;36.69205;-2163;9821;6
