"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-земля;"2022-02-05 04:37:21";976428000;41.1274;40.7058;-10065;0;6
Облако-земля;"2022-02-05 06:02:00";68475000;41.7047;41.7123;-168628;0;9
Облако-земля;"2022-02-06 07:04:23";454843000;44.2284;36.2083;26944;0;8
Облако-облако;"2022-02-06 07:05:57";935267741;44.27348;36.2937;-3155;18891;6
Облако-земля;"2022-02-06 07:09:10";853677839;44.25321;36.32733;39999;0;20
Облако-земля;"2022-02-06 07:09:10";919785000;44.3335999;36.3543;38660;0;8
Облако-земля;"2022-02-06 07:09:10";874171000;44.454;36.2609;42798;0;5
Облако-земля;"2022-02-06 07:09:11";27783518;44.17548;36.25712;-33242;0;16
Облако-земля;"2022-02-06 09:17:29";900659000;44.6293999;38.3924;56536;0;5
Облако-облако;"2022-02-06 09:17:30";1031878;44.67269;38.53829;-5582;11710;5
Облако-земля;"2022-02-06 09:22:52";149341441;44.36772;38.6060299;-7447;0;12
Облако-земля;"2022-02-06 09:22:52";188042000;44.3823;38.6222;-9880;0;6
Облако-земля;"2022-02-06 09:22:52";131581000;44.3769;38.6982;-123308;0;6
Облако-земля;"2022-02-06 09:27:44";286657000;44.4281;38.6671;0;0;5
Облако-облако;"2022-02-06 09:30:55";408382509;44.43722;38.71975;-25095;15574;18
Облако-земля;"2022-02-06 09:30:55";454192000;44.5072;38.8284;67485;0;6
Облако-облако;"2022-02-06 09:32:00";969572696;44.42771;38.71722;4102;10842;5
Облако-земля;"2022-02-06 09:32:00";938485000;44.4423;38.7045;72039;0;5
Облако-земля;"2022-02-06 09:32:01";359265000;44.6604;38.8230999;26960;0;5
Облако-земля;"2022-02-06 09:32:01";318115000;44.4295;38.6858999;19691;0;11
Облако-облако;"2022-02-06 09:32:58";811654692;44.44095;38.76143;17306;15259;19
Облако-земля;"2022-02-06 09:33:53";944349198;44.40954;38.28617;-30683;0;21
Облако-облако;"2022-02-06 09:33:53";250699180;44.4191;38.66027;-7601;17332;9
Облако-облако;"2022-02-06 09:33:53";326651999;44.65508;38.60335;-3684;16878;5
Облако-земля;"2022-02-06 09:35:14";942261590;44.40326;38.71246;-40833;0;21
Облако-земля;"2022-02-06 09:35:14";887853000;44.3998;38.7468;-11322;0;9
Облако-облако;"2022-02-06 09:36:41";483043072;44.54164;39.3197;-3087;13400;5
Облако-земля;"2022-02-06 09:36:41";38445578;44.45426;38.77295;-45616;0;16
Облако-земля;"2022-02-06 09:36:41";188852000;44.3382;38.8653;27732;0;6
Облако-земля;"2022-02-06 09:36:41";67215000;44.549;38.7656;-7308;0;7
Облако-земля;"2022-02-06 09:36:41";56471000;44.3488;38.7187;-7396;0;6
Облако-облако;"2022-02-06 09:39:18";615709659;44.2671599;39.03983;-5965;16639;5
Облако-облако;"2022-02-06 09:39:18";79273274;44.5032799;38.8893;5593;19163;8
Облако-облако;"2022-02-06 09:43:32";337235596;44.31841;38.77129;5447;17690;5
Облако-облако;"2022-02-06 09:43:32";269050414;44.44659;38.84304;-21150;16338;25
Облако-облако;"2022-02-06 10:31:56";317918541;44.1271;39.19405;7084;9823;7
Облако-земля;"2022-02-06 10:31:56";212232000;44.2424;38.9168;57041;0;6
Облако-земля;"2022-02-06 10:58:34";217604000;43.3182;39.6777;377226;0;7
Облако-земля;"2022-02-06 13:07:42";757021000;43.1688;39.3626;168024;0;6
Облако-облако;"2022-02-06 13:10:11";399838358;43.10404;39.34425;23532;19208;5
Облако-земля;"2022-02-06 17:08:01";964909000;41.914;40.4093;45894;0;6
Облако-земля;"2022-02-06 17:31:10";494402000;41.5912999;40.0102;227681;0;11
Облако-облако;"2022-02-06 17:42:28";600770236;42.2314;41.79996;10940;11376;10
Облако-земля;"2022-02-06 17:42:28";704654000;42.3913;41.8902;-43372;0;5
Облако-облако;"2022-02-06 17:43:46";249894864;42.21934;41.77418;-10765;9487;14
Облако-земля;"2022-02-06 17:43:46";289075000;42.2427;41.6923;19524;0;6
Облако-земля;"2022-02-06 18:09:27";961188000;42.0321;41.1967;-14190;0;9
Облако-земля;"2022-02-06 18:09:27";796392000;41.9309;41.0097;-194742;0;6
Облако-земля;"2022-02-06 18:10:45";851829000;41.7417;40.3814;23224;0;10
Облако-земля;"2022-02-06 18:15:15";847003748;41.91969;41.08672;-14902;0;16
Облако-облако;"2022-02-06 18:15:15";753923229;41.82825;41.23551;-9523;19513;6
Облако-земля;"2022-02-06 18:15:15";646133795;41.7802;41.11173;-128243;0;15
Облако-земля;"2022-02-06 18:29:01";683648104;41.96718;41.6301;-42441;0;15
Облако-земля;"2022-02-06 18:29:01";744247967;41.90933;41.43107;-15392;0;9
Облако-земля;"2022-02-06 18:29:02";150137000;41.9761;41.442;19104;0;6
Облако-земля;"2022-02-06 18:31:08";991572717;41.94636;41.83069;-39629;0;20
Облако-облако;"2022-02-06 18:31:09";255920249;41.94338;41.65168;7044;9880;5
Облако-земля;"2022-02-06 18:31:09";356759000;41.9636;41.7136;19293;0;7
Облако-земля;"2022-02-06 18:31:09";228363000;42.007;41.6604;-22606;0;9
Облако-облако;"2022-02-06 18:32:01";966243820;41.92496;41.49663;18054;10239;6
Облако-облако;"2022-02-06 18:32:02";499370118;42.13627;41.68104;-7103;18436;7
Облако-земля;"2022-02-06 18:32:33";63522905;41.9804;41.84489;42889;0;5
Облако-облако;"2022-02-06 18:34:05";569679093;41.90793;41.72173;3536;16944;6
Облако-земля;"2022-02-06 18:34:14";791639000;41.7875;40.8251;-12867;0;6
Облако-земля;"2022-02-06 18:34:53";489722585;41.90247;41.41228;-25550;0;13
Облако-облако;"2022-02-06 18:34:53";457537604;42.06411;42.06486;-5256;16824;7
Облако-земля;"2022-02-06 18:34:53";192726799;42.00339;41.7842;-129266;0;6
Облако-земля;"2022-02-06 18:34:53";470142000;42.0882999;41.2665;31892;0;7
Облако-земля;"2022-02-06 18:34:53";628148000;42.1734;41.9047;-11281;0;6
Облако-земля;"2022-02-06 18:35:40";336871291;41.97241;41.82261;-140310;0;11
Облако-облако;"2022-02-06 18:36:26";471179543;41.70184;40.89014;7627;16137;5
Облако-облако;"2022-02-06 18:37:10";857722771;41.93648;41.61449;-14813;12671;13
Облако-облако;"2022-02-06 18:37:10";659460197;41.9938;41.8576;15688;12196;8
Облако-земля;"2022-02-06 18:37:10";717839000;42.0176;41.8778;51672;0;9
Облако-земля;"2022-02-06 18:37:10";683293000;41.9671;41.8068;228008;0;10
Облако-облако;"2022-02-06 18:42:18";249067910;41.98021;41.8586699;-19813;6299;18
Облако-земля;"2022-02-06 18:42:18";153035000;41.9677;41.7337;-55482;0;9
Облако-земля;"2022-02-06 18:46:39";500602610;41.96833;41.81738;-170663;0;19
Облако-земля;"2022-02-06 18:46:39";554209129;42.01272;42.10368;-16259;0;12
Облако-облако;"2022-02-06 18:46:39";623193431;41.88099;41.63496;11564;14919;12
Облако-земля;"2022-02-06 18:46:39";722061000;42.0095;41.5682;34673;0;5
Облако-земля;"2022-02-06 18:46:39";483279000;41.9168;41.8491;-83267;0;7
Облако-земля;"2022-02-06 18:48:28";572695603;41.93838;41.79938;-48783;0;18
Облако-земля;"2022-02-06 18:48:28";626610000;42.0103;41.8053;-7187;0;6
Облако-земля;"2022-02-06 18:48:28";577096000;41.9772;41.681;-57412;0;6
Облако-облако;"2022-02-06 18:48:29";201608435;41.809;41.58952;-5037;13980;6
Облако-земля;"2022-02-06 18:50:38";991744198;41.72992;41.28409;-41743;0;15
Облако-облако;"2022-02-06 18:50:39";148352158;41.94798;41.81123;22776;10007;20
Облако-земля;"2022-02-06 18:50:39";138648941;41.86942;41.57186;-31131;0;11
Облако-облако;"2022-02-06 18:50:39";25961972;41.72828;41.04189;16059;18800;14
Облако-земля;"2022-02-06 18:50:39";40465000;41.8075;41.0769;-21129;0;6
Облако-земля;"2022-02-06 18:50:39";257211000;42.0043;42.0747;-11490;0;6
Облако-земля;"2022-02-06 18:51:12";328892916;41.75251;41.30219;-21743;0;17
Облако-земля;"2022-02-06 18:51:25";352459000;42.0576999;41.7116;61794;0;5
Облако-облако;"2022-02-06 18:51:55";635164373;41.76268;41.28929;-16895;18483;13
Облако-земля;"2022-02-06 18:51:55";960349000;41.7994;41.1773;-28561;0;5
Облако-земля;"2022-02-06 18:51:55";821679000;41.7404;41.2358;-9494;0;8
Облако-земля;"2022-02-06 18:51:56";261853000;41.8666;41.3397999;-11075;0;5
Облако-облако;"2022-02-06 18:52:30";686315981;41.76354;41.34258;-12927;14620;10
Облако-облако;"2022-02-06 18:53:16";978509454;41.76686;41.38943;5682;15686;7
Облако-земля;"2022-02-06 18:54:07";701064359;41.75644;41.02013;-7344;0;8
Облако-облако;"2022-02-06 18:54:07";687592609;41.64654;41.01144;-20886;12285;6
Облако-земля;"2022-02-06 18:54:07";689712000;41.7801;40.9627;-152921;0;7
Облако-земля;"2022-02-06 18:54:07";818430000;41.7077;41.0371;-12428;0;5
Облако-облако;"2022-02-06 18:55:51";285519863;41.75168;41.3663;24014;10292;10
Облако-земля;"2022-02-06 18:55:51";385282518;41.79791;41.26315;-10420;0;11
Облако-земля;"2022-02-06 18:55:51";341607000;41.7903;41.2608;34571;0;8
Облако-облако;"2022-02-06 18:58:16";630621934;41.83168;41.43423;14727;9139;16
Облако-облако;"2022-02-06 18:58:16";571876655;41.88782;41.65184;9434;11986;8
Облако-облако;"2022-02-06 18:58:16";368463154;41.74539;41.15531;-23862;19475;9
Облако-земля;"2022-02-06 18:58:16";239705286;41.67571;41.10284;-42241;0;16
Облако-земля;"2022-02-06 18:58:16";677098000;41.9108;41.8397999;-16475;0;6
Облако-земля;"2022-02-06 18:58:16";241589000;41.7298;40.9843;-131817;0;5
Облако-земля;"2022-02-06 18:58:16";540753000;41.8504999;41.368;-18147;0;8
Облако-облако;"2022-02-06 18:59:20";958586585;41.92698;41.75472;-10291;18175;12
Облако-земля;"2022-02-06 18:59:20";754913000;41.9452;41.668;-172278;0;14
Облако-облако;"2022-02-06 18:59:21";174874288;41.64844;41.06521;-23195;10853;8
Облако-земля;"2022-02-06 18:59:21";178382000;41.7838;40.8805;-123747;0;5
Облако-земля;"2022-02-06 18:59:21";247114000;41.7215;41.0058;-9112;0;7
Облако-земля;"2022-02-06 19:00:15";617147360;41.65539;41.1593;-48102;0;14
Облако-земля;"2022-02-22 23:16:07";621642000;47.6807;39.9304;-122046;0;12
