"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-земля;"2022-03-03 08:15:46";882728000;41.0723;38.0734;84486;0;10
Облако-земля;"2022-03-03 08:15:47";464007000;41.8283;37.7859;-36436;0;7
Облако-земля;"2022-03-03 08:45:16";315704000;41.2013;38.444;35846;0;7
Облако-облако;"2022-03-03 08:51:20";846288906;41.01955;38.53846;-2812;18327;5
Облако-земля;"2022-03-03 08:55:56";2777000;41.0048;38.3133;-11261;0;7
Облако-земля;"2022-03-03 08:56:37";779385000;41.0688;38.3036;-11473;0;5
Облако-земля;"2022-03-03 08:59:26";825669000;41.12;38.0033;-30386;0;5
Облако-земля;"2022-03-03 09:04:14";489257182;41.15046;38.36965;-18411;0;13
Облако-земля;"2022-03-03 09:04:14";508951000;41.1751;38.3753;-5432;0;7
Облако-земля;"2022-03-03 09:04:14";437727000;41.1464;38.3728;21605;0;6
Облако-облако;"2022-03-03 09:13:20";279555668;41.10766;38.27175;-2837;18648;5
Облако-земля;"2022-03-03 09:13:20";192701000;41.0028;38.5668999;29422;0;7
Облако-облако;"2022-03-03 09:26:15";415384728;41.24196;38.16635;3350;16022;6
Облако-земля;"2022-03-03 09:52:30";155742000;41.0494;38.7590999;-8648;0;6
Облако-земля;"2022-03-03 09:55:51";470700000;41.3929;38.9945;16489;0;5
Облако-земля;"2022-03-03 09:55:51";452248000;41.2143;39.0283;16834;0;6
Облако-земля;"2022-03-03 09:55:51";157704000;41.2656;38.9775;-17123;0;5
Облако-земля;"2022-03-03 09:55:51";138880000;41.3320999;39.0242999;88264;0;6
Облако-земля;"2022-03-03 11:37:02";987022000;41.1315;39.5252;94982;0;5
Облако-облако;"2022-03-03 11:37:03";103737336;41.24389;39.69596;10296;13569;7
Облако-земля;"2022-03-03 11:37:03";139273006;41.05363;39.4658299;-25054;0;9
Облако-земля;"2022-03-03 11:37:03";152210000;41.0385;39.5872;15060;0;5
Облако-земля;"2022-03-03 11:37:03";102628000;41.0826;39.5733;68954;0;7
Облако-земля;"2022-03-03 12:14:38";875573000;42.9218;40.0541;33428;0;5
Облако-земля;"2022-03-03 12:14:38";185267000;43.1534;40.1206;-45283;0;8
Облако-земля;"2022-03-03 12:14:39";840202000;42.865;39.9518;25000;0;7
Облако-земля;"2022-03-03 12:14:39";903479000;42.8688999;39.924;21142;0;9
Облако-земля;"2022-03-03 12:14:39";571766000;42.8526;39.9446;16457;0;6
Облако-земля;"2022-03-03 12:14:39";777870000;42.8528;39.9373;25814;0;6
Облако-земля;"2022-03-03 12:14:39";689566000;42.9138;39.8696;49873;0;11
Облако-земля;"2022-03-03 12:14:39";594672000;42.8521;39.9364;-12981;0;5
Облако-земля;"2022-03-03 12:14:39";524804000;42.8933;39.8847;36154;0;10
Облако-земля;"2022-03-03 12:14:39";544582000;42.8649;39.9161;-12392;0;7
Облако-земля;"2022-03-03 12:14:39";487952000;42.8465;39.9148;20796;0;9
Облако-земля;"2022-03-03 12:14:39";455082000;42.9607;39.9097;35265;0;7
Облако-земля;"2022-03-03 12:38:36";999403000;41.0588;39.9594;-8492;0;8
Облако-земля;"2022-03-03 12:38:36";963311000;41.0514;40.0621;50127;0;11
Облако-облако;"2022-03-03 12:38:37";730478733;41.15085;40.31884;-9272;15746;9
Облако-земля;"2022-03-03 12:38:37";693169585;41.0317099;40.52257;-45870;0;11
Облако-облако;"2022-03-03 12:38:37";791045009;41.42421;40.61465;6585;11752;7
Облако-земля;"2022-03-03 12:38:37";786395000;41.5143;40.5046;-55903;0;6
Облако-земля;"2022-03-03 12:38:37";464604000;41.0345;40.0037;-13973;0;9
Облако-земля;"2022-03-03 12:38:37";864723000;41.1077;40.7813;-9397;0;6
Облако-земля;"2022-03-03 12:38:37";717411000;41.1224;40.2105;-9950;0;7
Облако-земля;"2022-03-03 12:38:37";635492000;41.0638;40.2406999;36673;0;7
Облако-земля;"2022-03-03 12:38:37";640362000;41.0546;40.2224;-10656;0;6
Облако-земля;"2022-03-03 12:38:37";277358000;41.0215;40.0495;-7962;0;7
Облако-земля;"2022-03-03 12:38:37";438636000;41.0578;40.1;17816;0;11
Облако-земля;"2022-03-03 12:38:37";165215000;41.0202;40.0394;23632;0;8
Облако-земля;"2022-03-03 12:38:37";214043000;41.0443;39.9917;16985;0;7
Облако-земля;"2022-03-03 12:50:01";900713000;41.2027;40.3802;-17073;0;5
Облако-земля;"2022-03-03 12:50:01";703622000;41.1378;40.4326;27814;0;6
Облако-земля;"2022-03-03 12:50:02";59402000;41.0446;40.7695;-3137;0;5
Облако-земля;"2022-03-03 12:50:02";65645000;41.6072;40.4307;24065;0;10
Облако-земля;"2022-03-03 13:00:04";549878000;43.302;41.2378;-6051;0;5
Облако-земля;"2022-03-03 13:00:04";518392000;43.304;41.2684;-9271;0;8
Облако-земля;"2022-03-03 15:47:19";920064000;42.9787;42.5304;-8695;0;9
Облако-земля;"2022-03-03 15:47:19";977730000;42.9906999;42.5418;-12944;0;6
Облако-земля;"2022-03-03 15:47:19";882413000;43.0311;42.5454;-13468;0;9
Облако-земля;"2022-03-03 15:47:19";815271000;42.9467;42.5325;-10177;0;9
Облако-облако;"2022-03-03 15:47:20";169920937;42.92696;42.55689;6511;14350;7
Облако-облако;"2022-03-03 15:57:47";500892422;42.63621;44.66786;7210;16554;7
Облако-земля;"2022-03-03 15:57:47";455414000;42.5524;44.4739;-8753;0;8
Облако-земля;"2022-03-03 16:46:16";119990000;43.0035;42.525;-10408;0;8
Облако-земля;"2022-03-03 17:25:29";600713000;42.3119;44.2007;-8691;0;6
Облако-земля;"2022-03-03 17:36:10";607238000;42.5601;44.2399;-2865;0;10
Облако-земля;"2022-03-03 17:43:14";288700000;41.961;43.0153;-7089;0;6
