"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-земля;"2021-10-01 00:34:42";905150000;41.6329;40.8202;32530;0;7
Облако-земля;"2021-10-01 01:49:37";889661636;41.92895;37.61327;115306;0;10
Облако-земля;"2021-10-01 01:57:03";895645000;41.9187;37.6366;-79360;0;6
Облако-земля;"2021-10-01 02:07:59";899903000;43.4896;39.7128;54667;0;5
Облако-земля;"2021-10-01 02:11:51";636920549;43.45144;39.71848;-11477;0;5
Облако-земля;"2021-10-01 02:11:51";612707000;43.5309;39.6816;-95010;0;9
Облако-земля;"2021-10-01 02:15:33";954394000;42.0061;37.7192;-11543;0;5
Облако-земля;"2021-10-01 02:15:33";907523000;41.9744;37.697;-89227;0;5
Облако-земля;"2021-10-01 02:15:33";929670000;42.0150999;37.6514;-24903;0;8
Облако-земля;"2021-10-01 02:15:34";50980000;42.084;37.6883;26134;0;7
Облако-облако;"2021-10-01 02:16:23";826412853;43.4690299;39.72204;24038;13892;14
Облако-земля;"2021-10-01 02:19:45";478824000;42.5351;40.7298;-12985;0;6
Облако-облако;"2021-10-01 02:23:16";858454757;42.47276;40.6998;-21817;17408;8
Облако-облако;"2021-10-01 02:25:44";639512789;42.4824;40.68227;15972;9872;5
Облако-облако;"2021-10-01 02:28:38";364367264;42.48932;40.63181;-14232;17288;7
Облако-земля;"2021-10-01 02:30:59";660836894;42.49847;40.62803;-15758;0;14
Облако-земля;"2021-10-01 02:33:31";114071796;42.5205;40.68385;-20264;0;8
Облако-облако;"2021-10-01 02:35:56";845487400;42.52053;40.70268;13760;16876;7
Облако-земля;"2021-10-01 02:35:56";980233188;42.52933;40.66651;-19841;0;6
Облако-земля;"2021-10-01 02:35:56";881739000;42.6004;40.7074;-19000;0;7
Облако-земля;"2021-10-01 02:35:56";937104000;42.462;40.6564;-11975;0;5
Облако-земля;"2021-10-01 02:37:38";605856000;42.5563;40.7153;23690;0;6
Облако-земля;"2021-10-01 02:37:38";641390000;42.4717;40.6689999;31043;0;5
Облако-земля;"2021-10-01 02:46:31";238951000;42.4812;40.6387;64972;0;8
Облако-земля;"2021-10-01 02:49:57";256429000;42.4878;40.6507;34965;0;8
Облако-земля;"2021-10-01 03:01:20";48078000;42.6195;40.6228;-23474;0;5
Облако-земля;"2021-10-01 03:03:56";77970000;42.9088;40.7542;-8373;0;5
Облако-земля;"2021-10-01 03:04:32";328018000;43.8508;39.1731;20740;0;5
Облако-земля;"2021-10-01 03:04:44";856881053;42.54399;40.72099;-11432;0;6
Облако-земля;"2021-10-01 03:04:44";920036000;42.633;40.7533;25016;0;10
Облако-земля;"2021-10-01 03:04:44";900235000;42.7569;40.8522;-10394;0;6
Облако-земля;"2021-10-01 03:04:45";124043000;42.5921;40.6836;-13297;0;6
Облако-земля;"2021-10-01 03:06:14";175790000;42.5077;40.8671999;57079;0;5
Облако-земля;"2021-10-01 03:06:14";225170000;42.5653;40.7207;36512;0;5
Облако-земля;"2021-10-01 03:06:14";197087000;42.5612;40.6963;-13513;0;6
Облако-облако;"2021-10-01 03:07:49";458008617;43.87207;39.10474;-23023;12547;7
Облако-земля;"2021-10-01 03:07:49";440505000;43.9605;39.2081;-133523;0;7
Облако-земля;"2021-10-01 03:08:35";687796000;42.6164;40.6696;-17080;0;7
Облако-земля;"2021-10-01 03:08:35";669584000;42.6126;40.7455;-86232;0;8
Облако-земля;"2021-10-01 03:11:17";517423000;42.5745;40.6736999;21469;0;9
Облако-земля;"2021-10-01 03:11:17";406286000;42.6;40.6739;-13155;0;8
Облако-земля;"2021-10-01 03:13:50";829346818;43.9145899;39.06648;48797;0;5
Облако-земля;"2021-10-01 03:13:50";852447000;43.9348;39.0692;-13928;0;6
Облако-земля;"2021-10-01 03:15:26";3284568;43.91505;39.03065;-35020;0;8
Облако-земля;"2021-10-01 03:15:26";35697000;43.9018;39.1183;-16958;0;6
Облако-облако;"2021-10-01 03:16:29";794084492;43.91478;39.0568;-4423;18733;5
Облако-земля;"2021-10-01 03:16:29";828864000;44.072;39.2233;-14595;0;5
Облако-земля;"2021-10-01 03:16:29";804350000;43.9564;39.0820999;-30984;0;9
Облако-земля;"2021-10-01 03:19:33";899311739;43.93002;39.00765;-19366;0;14
Облако-земля;"2021-10-01 03:19:33";878592000;44.0481;39.2305;-82682;0;6
Облако-земля;"2021-10-01 03:19:33";876722000;43.9125;39.0495;-83455;0;5
Облако-облако;"2021-10-01 03:23:02";770715664;43.94789;39.03993;8811;7310;6
Облако-земля;"2021-10-01 03:23:50";764946000;43.0194;37.9122;-23023;0;8
Облако-земля;"2021-10-01 03:23:50";738133000;43.0256;37.882;-27876;0;7
Облако-земля;"2021-10-01 03:23:55";811599322;43.7184;39.34769;-13189;0;6
Облако-земля;"2021-10-01 03:23:55";846395000;43.7234;39.345;-15520;0;6
Облако-земля;"2021-10-01 03:25:09";203353000;42.9997;37.8706;-15385;0;7
Облако-земля;"2021-10-01 03:25:09";259527000;43.0180999;37.909;-10638;0;5
Облако-земля;"2021-10-01 03:25:09";170455000;43.067;37.8755;-32134;0;5
Облако-земля;"2021-10-01 03:29:44";289597839;43.00549;37.86346;-57954;0;12
Облако-земля;"2021-10-01 03:29:44";291816000;43.0259;37.9152;70566;0;11
Облако-земля;"2021-10-01 04:08:43";379864000;43.6512;38.8639;-12286;0;5
Облако-земля;"2021-10-01 04:09:25";111855000;43.239;37.8361;66567;0;7
Облако-облако;"2021-10-01 04:11:20";980693811;43.197;37.84715;3737;16293;5
Облако-облако;"2021-10-01 04:12:07";214548854;43.23144;37.81968;2138;16448;5
Облако-облако;"2021-10-01 04:16:19";866672059;43.24636;37.83864;5436;16350;10
Облако-облако;"2021-10-01 04:18:57";828215361;43.2678;37.85184;-7683;18280;9
Облако-облако;"2021-10-01 04:20:02";610435285;43.24812;37.8491799;16584;13854;10
Облако-земля;"2021-10-01 04:20:02";601261000;43.2612;37.8382999;-39528;0;5
Облако-облако;"2021-10-01 04:20:47";942062012;43.24812;37.84933;4141;13561;8
Облако-земля;"2021-10-01 04:21:50";868765702;43.2544899;37.85235;-16799;0;11
Облако-земля;"2021-10-01 04:21:50";839333000;43.2555;37.8435;-170486;0;7
Облако-земля;"2021-10-01 04:21:50";850652000;43.24;37.8116;-52019;0;5
Облако-земля;"2021-10-01 04:23:14";746439267;43.25061;37.83371;-35039;0;15
Облако-земля;"2021-10-01 04:23:14";615713000;43.3215;37.9778;87028;0;5
Облако-земля;"2021-10-01 04:23:14";697747000;43.2776;37.8237;-22041;0;8
Облако-земля;"2021-10-01 04:23:52";786060000;43.6922;38.4313;-39904;0;8
Облако-облако;"2021-10-01 04:26:35";921434109;43.25578;37.83041;25421;19192;8
Облако-земля;"2021-10-01 04:30:04";886933246;43.23725;37.76156;-37988;0;16
Облако-земля;"2021-10-01 04:30:04";849969000;43.2598;37.739;-68295;0;6
Облако-земля;"2021-10-01 04:30:05";12518472;43.35187;37.9512799;-7972;0;5
Облако-земля;"2021-10-01 04:41:04";425415000;43.732;38.3835;-41673;0;8
Облако-земля;"2021-10-01 05:00:54";883105012;42.06434;38.67573;-64902;0;12
Облако-земля;"2021-10-01 06:00:15";415471000;43.7436;38.89;-15657;0;5
Облако-земля;"2021-10-01 06:03:50";405538977;43.89683;38.6509799;-6545;0;9
Облако-земля;"2021-10-01 06:03:50";384415000;43.9001;38.6825;-18071;0;7
Облако-земля;"2021-10-01 06:45:36";323292000;43.6666;39.1622;45682;0;6
Облако-земля;"2021-10-01 07:01:03";74873000;43.7288;39.1018;-13127;0;5
Облако-земля;"2021-10-01 07:02:50";80513733;43.61225;39.08866;-24216;0;12
Облако-земля;"2021-10-01 07:02:50";47901000;43.6359;39.2761;-23877;0;5
Облако-земля;"2021-10-01 07:02:50";453696000;43.6576;39.0717;-15138;0;5
Облако-земля;"2021-10-01 07:02:50";68457000;43.6313;39.0832;-8588;0;6
Облако-облако;"2021-10-01 07:05:48";919423933;43.63209;39.06999;4910;19653;5
Облако-земля;"2021-10-01 07:05:48";971720000;43.5854;39.0388;-21139;0;8
Облако-земля;"2021-10-01 07:05:48";948999000;43.5889;39.2954;16493;0;6
Облако-земля;"2021-10-01 07:05:48";910531000;43.6044;39.0519;-45002;0;10
Облако-облако;"2021-10-01 07:10:12";450327545;43.6033199;39.04087;-3464;10138;5
Облако-облако;"2021-10-01 07:13:15";947303967;43.64757;39.01901;15194;17547;8
Облако-земля;"2021-10-01 07:16:32";208919000;43.6604;38.9397;-100149;0;5
Облако-облако;"2021-10-01 07:19:40";695448118;43.59463;38.99948;7749;14173;5
Облако-земля;"2021-10-01 07:19:40";680052000;43.6507999;38.9724999;-151306;0;5
Облако-земля;"2021-10-01 07:57:23";737222000;41.0786;42.7705;-9785;0;7
Облако-земля;"2021-10-01 07:57:23";650178000;41.0824;42.7963;-13890;0;8
Облако-земля;"2021-10-01 08:13:01";409316000;43.5626;38.8691;-14228;0;5
Облако-земля;"2021-10-01 08:13:01";454495000;43.5351;38.9036;-16246;0;6
Облако-земля;"2021-10-01 08:13:01";487420000;43.5456;38.885;-15356;0;5
Облако-земля;"2021-10-01 08:28:15";129716000;41.0909;43.0644;-65707;0;8
Облако-облако;"2021-10-01 09:33:56";814709150;43.23415;38.63787;-2852;17383;7
Облако-земля;"2021-10-01 09:33:56";796356000;43.2593;38.6071;17701;0;8
Облако-земля;"2021-10-01 09:33:56";862405000;43.2319;38.6194;-13008;0;6
Облако-земля;"2021-10-01 09:33:56";825907000;43.2638;38.6114;-17692;0;8
Облако-земля;"2021-10-01 09:39:03";365018789;43.24856;38.58503;-11706;0;9
Облако-земля;"2021-10-01 09:39:03";355633000;43.267;38.61;-12933;0;6
Облако-земля;"2021-10-01 09:39:03";728307000;43.263;38.5204;-11061;0;6
Облако-земля;"2021-10-01 09:39:03";602349000;43.1819;38.537;-32976;0;7
Облако-земля;"2021-10-01 10:29:15";438411000;43.2603;39.9338;-10005;0;9
Облако-земля;"2021-10-01 12:14:42";793369471;43.02702;39.77431;-11613;0;8
Облако-земля;"2021-10-01 12:14:42";703099000;42.9931;39.9279;30516;0;5
Облако-земля;"2021-10-01 12:14:42";722790000;43.0541;39.7504;-13379;0;8
Облако-земля;"2021-10-01 12:17:41";394226275;43.03581;39.71239;70138;0;11
Облако-облако;"2021-10-01 12:19:03";662047549;43.2116;39.92215;-7651;16858;12
Облако-земля;"2021-10-01 12:19:04";49497000;43.2671;40.0576;23143;0;6
Облако-земля;"2021-10-01 12:20:38";337762000;43.6081999;38.5735;-10895;0;6
Облако-земля;"2021-10-01 12:21:31";67459931;43.04475;39.74997;-98160;0;25
Облако-земля;"2021-10-01 12:21:31";502620000;43.1977;39.8477;-22761;0;5
Облако-земля;"2021-10-01 12:21:31";68836000;43.0676;39.7419;-127358;0;7
Облако-земля;"2021-10-01 12:22:02";848712000;43.6482;38.5192;-22805;0;5
Облако-земля;"2021-10-01 12:22:02";833851000;43.6762;38.9582;-130356;0;5
Облако-земля;"2021-10-01 12:23:26";553218903;43.04301;39.70509;-21426;0;14
Облако-земля;"2021-10-01 12:23:26";799374000;43.0845;39.8183;-14938;0;6
Облако-земля;"2021-10-01 12:23:26";514874000;43.019;39.7977;96727;0;6
Облако-земля;"2021-10-01 12:23:26";643046000;43.0558;39.7933;-21063;0;5
Облако-земля;"2021-10-01 12:23:26";534752000;43.0256;39.803;21858;0;6
Облако-земля;"2021-10-01 12:23:26";567654000;43.0516;39.7584;-12966;0;5
Облако-земля;"2021-10-01 12:23:26";594924000;43.0862;39.8265;-12072;0;7
Облако-облако;"2021-10-01 12:23:51";769872476;43.61768;38.6234899;-4809;10479;11
Облако-земля;"2021-10-01 12:26:04";311525000;43.2435;40.057;-20428;0;6
Облако-земля;"2021-10-01 12:29:56";837372427;43.13614;39.70847;-9710;0;12
Облако-земля;"2021-10-01 12:29:56";822871000;43.1491;39.7699;-44760;0;6
Облако-земля;"2021-10-01 12:29:56";792227000;43.1503;39.7164;-63509;0;9
Облако-земля;"2021-10-01 12:34:08";169324465;43.04936;39.82889;-12379;0;12
Облако-земля;"2021-10-01 12:34:08";142998000;43.0378;39.8328;-130711;0;8
Облако-земля;"2021-10-01 12:35:49";662343979;43.24913;39.9259;-7739;0;13
Облако-земля;"2021-10-01 12:36:48";495005633;43.04603;39.77059;-21936;0;11
Облако-земля;"2021-10-01 12:36:48";474517000;43.1658;39.7908;126345;0;8
Облако-земля;"2021-10-01 12:50:26";956808000;43.0218;40.0112;-9213;0;6
Облако-земля;"2021-10-01 12:50:26";627062000;42.9955;39.9516;84555;0;8
Облако-земля;"2021-10-01 12:52:13";576990926;43.23409;39.8476799;-16083;0;15
Облако-земля;"2021-10-01 12:52:13";961923000;43.2673;39.8885;-5817;0;5
Облако-земля;"2021-10-01 12:52:13";268845000;43.2769;39.9195;75243;0;9
Облако-облако;"2021-10-01 12:52:15";631131504;43.03508;39.9147;-5657;18562;7
Облако-земля;"2021-10-01 12:53:13";224977687;43.01394;39.81214;-66505;0;12
Облако-земля;"2021-10-01 12:53:13";490040000;42.9059;39.5161;19398;0;5
Облако-земля;"2021-10-01 12:53:13";569168000;43.0208;39.9409;15534;0;6
Облако-земля;"2021-10-01 12:54:34";380881000;42.9938;39.8843;-31476;0;7
Облако-земля;"2021-10-01 12:54:39";284202993;43.27334;39.85916;-16850;0;8
Облако-земля;"2021-10-01 12:54:39";257791000;43.2924999;39.8875;17550;0;11
Облако-облако;"2021-10-01 12:55:59";570817361;43.1549;39.85176;-3064;17252;5
Облако-земля;"2021-10-01 12:57:14";335668000;43.1975;39.9042;-26448;0;6
Облако-земля;"2021-10-01 12:57:14";277408000;43.2136;39.8674;36149;0;10
Облако-облако;"2021-10-01 12:58:20";270736825;43.0153899;39.89364;6527;9593;6
Облако-земля;"2021-10-01 12:59:50";189267000;43.3685;39.7985;23269;0;8
Облако-земля;"2021-10-01 13:01:02";562314911;43.06288;39.90011;-17601;0;14
Облако-земля;"2021-10-01 13:01:02";509584000;43.0909;39.9099;-32109;0;10
