Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-07-20 08:06:22;36140737;47.30391;36.01003;9665;16498;12
Облако-облако;2023-07-20 08:09:11;795538769;47.40841;36.02259;-11996;18849;15
Облако-облако;2023-07-20 08:12:05;939823444;47.39557;36.01691;5994;19616;17
Облако-облако;2023-07-20 08:16:12;507318734;47.28538;36.06029;-3224;7502;7
Облако-земля;2023-07-20 08:20:07;722451793;47.41953;36.06346;-7633;0;14
Облако-облако;2023-07-20 08:20:38;237935255;47.3621399;36.02376;3366;3036;9
Облако-облако;2023-07-20 08:22:49;611553111;47.36912;36.0313;5531;3137;14
Облако-облако;2023-07-20 08:24:36;978117365;47.42345;36.02997;7383;14606;17
Облако-облако;2023-07-20 08:26:11;587183295;47.4804699;36.02672;3611;19915;13
Облако-облако;2023-07-20 08:30:12;855693200;47.44244;36.08917;-10911;3023;16
Облако-облако;2023-07-20 08:30:56;366860075;47.30213;36.0322;2651;3004;8
Облако-облако;2023-07-20 08:30:56;360369216;47.54843;36.06694;3102;3008;8
Облако-облако;2023-07-20 08:30:56;373169186;47.45836;36.0985;10827;6220;12
Облако-облако;2023-07-20 08:32:00;68023856;47.46166;36.11755;9226;4259;23
Облако-облако;2023-07-20 08:32:39;751197296;47.4546;36.09512;4856;19549;12
Облако-облако;2023-07-20 08:35:13;489349208;47.00195;36.06701;4898;3005;7
Облако-облако;2023-07-20 08:35:42;957348597;47.45836;36.13048;-5424;17142;9
Облако-облако;2023-07-20 08:38:18;662281978;46.98626;36.07811;2366;18323;7
Облако-облако;2023-07-20 08:38:18;442520892;47.3299499;36.01838;-6128;18678;12
Облако-облако;2023-07-20 08:38:53;627498257;47.47734;36.13366;-4612;7659;12
Облако-облако;2023-07-20 08:41:02;277971390;47.1444199;36.0147199;3794;17336;7
Облако-облако;2023-07-20 08:41:53;821532545;47.14483;36.05576;5836;15962;19
Облако-облако;2023-07-20 08:54:48;572774063;47.18367;36.00788;7494;11727;15
Облако-облако;2023-07-20 09:00:27;90897552;47.15891;36.08244;3010;13607;13
Облако-облако;2023-07-20 09:00:34;514225267;47.01568;36.1462;-2034;15215;7
Облако-облако;2023-07-20 09:01:29;79966836;47.07415;36.02939;-2043;19500;6
Облако-облако;2023-07-20 09:05:12;22563891;47.09906;36.02512;-2673;17640;6
Облако-облако;2023-07-20 09:06:22;100638219;47.22928;36.0359399;-7165;3035;16
Облако-земля;2023-07-20 09:06:50;290579585;47.11685;36.05992;11146;0;18
Облако-облако;2023-07-20 09:07:15;646157537;47.15132;36.0414699;2806;4556;7
Облако-облако;2023-07-20 09:08:10;847814160;47.21367;36.05241;2398;19766;8
Облако-облако;2023-07-20 09:09:40;385657249;47.12475;36.07401;-3046;7338;7
Облако-облако;2023-07-20 09:10:13;304637557;47.05793;36.11021;-2577;4805;7
Облако-земля;2023-07-20 09:15:58;322521087;47.16044;36.03047;-3288;0;9
Облако-облако;2023-07-20 09:15:58;315374061;47.07134;36.24703;2126;19870;7
Облако-облако;2023-07-20 09:16:29;401562322;47.1736;36.00673;-11394;16210;14
Облако-земля;2023-07-20 09:18:52;771307185;47.71806;36.42785;-10422;0;9
Облако-облако;2023-07-20 09:18:52;883683570;47.5598;36.44653;-3259;15593;8
Облако-облако;2023-07-20 09:19:04;841398600;47.74096;36.46284;-12830;3565;11
Облако-облако;2023-07-20 09:19:04;829977942;47.65285;36.32677;-7623;18355;13
Облако-облако;2023-07-20 09:19:27;673775409;47.14475;36.18686;-3288;18551;8
Облако-облако;2023-07-20 09:19:36;402576053;47.66126;36.38621;2229;18097;6
Облако-облако;2023-07-20 09:19:36;598490112;47.5659599;36.60668;-1770;19977;6
Облако-облако;2023-07-20 09:20:32;753013755;47.69539;36.39867;-8493;6149;9
Облако-облако;2023-07-20 09:21:19;615310819;47.66512;36.41116;9278;19055;13
Облако-облако;2023-07-20 09:21:19;306596914;47.80213;36.50157;6640;15261;14
Облако-облако;2023-07-20 09:22:43;150196840;47.74291;36.5668099;16459;8789;17
Облако-облако;2023-07-20 09:22:44;890146903;47.1151;36.20347;2766;11963;7
Облако-земля;2023-07-20 09:24:30;238258044;47.68285;36.40778;-4344;0;7
Облако-земля;2023-07-20 09:24:30;196578220;47.74908;36.57218;17056;0;16
Облако-облако;2023-07-20 09:24:30;241266170;47.58081;36.61567;-2351;18147;8
Облако-облако;2023-07-20 09:25:37;653779244;47.67029;36.4636799;12874;9483;16
Облако-облако;2023-07-20 09:25:37;716334021;47.55053;36.70055;-2140;16724;6
Облако-облако;2023-07-20 09:26:08;57539639;47.66585;36.44878;3768;19119;7
Облако-облако;2023-07-20 09:26:36;875524988;47.66353;36.44577;8197;9471;16
Облако-облако;2023-07-20 09:26:50;393591996;47.66462;36.46065;1947;7117;5
Облако-облако;2023-07-20 09:27:09;116047743;47.66104;36.46207;3555;9364;6
Облако-облако;2023-07-20 09:27:09;446161328;47.77784;36.66334;3780;3335;12
Облако-облако;2023-07-20 09:27:09;110399021;47.54132;36.67846;2609;5791;7
Облако-облако;2023-07-20 09:27:31;774692992;47.6528599;36.4324299;5792;18415;12
Облако-облако;2023-07-20 09:28:06;935179224;47.74448;36.58233;8655;7289;14
Облако-земля;2023-07-20 09:28:06;928602350;47.66426;36.45198;18234;0;22
Облако-облако;2023-07-20 09:28:18;524281160;47.0603399;36.09981;-3191;19935;7
Облако-облако;2023-07-20 09:28:35;277674778;47.65764;36.43892;5381;17436;12
Облако-облако;2023-07-20 09:28:38;63935671;47.02874;36.07918;-2923;19065;6
Облако-облако;2023-07-20 09:28:46;485326127;47.06093;36.0934;-1952;19980;6
Облако-облако;2023-07-20 09:28:57;161031337;47.69394;36.54936;5205;19732;6
Облако-облако;2023-07-20 09:29:13;994958724;47.10027;36.02807;2839;6928;7
Облако-земля;2023-07-20 09:29:18;494242387;47.66922;36.47389;-23238;0;14
Облако-облако;2023-07-20 09:29:18;500181976;47.75667;36.62306;10569;8054;13
Облако-облако;2023-07-20 09:29:43;637329326;47.6706;36.46186;8935;19166;14
Облако-облако;2023-07-20 09:30:18;420031368;47.0293;36.0967;-2720;7807;7
Облако-облако;2023-07-20 09:30:21;868285545;47.22255;36.01649;-8271;4750;16
Облако-облако;2023-07-20 09:30:22;327929618;47.06485;36.10873;-2544;13382;7
Облако-облако;2023-07-20 09:30:25;97181464;47.74903;36.60833;6334;4088;14
Облако-облако;2023-07-20 09:30:25;397909409;47.7751499;36.26203;3530;10859;6
Облако-облако;2023-07-20 09:30:50;69023545;47.67962;36.47889;-8170;5816;13
Облако-облако;2023-07-20 09:30:50;90862674;47.75767;36.62507;5639;19005;13
