"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-земля;"2021-04-01 12:35:37";840344000;41.1642;41.3362;17341;0;6
Облако-земля;"2021-04-01 12:36:29";695685000;41.1998;41.4805;27378;0;7
Облако-облако;"2021-04-01 12:37:12";937793054;41.0931;41.5031;7065;17370;11
Облако-земля;"2021-04-01 12:37:39";968376282;42.48386;44.57609;-68013;0;12
Облако-земля;"2021-04-01 12:37:40";225100000;42.4577;44.6196;-8825;0;5
Облако-земля;"2021-04-01 12:38:00";810819000;41.0568;41.5163;-17813;0;6
Облако-земля;"2021-04-01 12:39:39";229050000;41.0772;41.4819;-73481;0;9
Облако-земля;"2021-04-01 12:42:14";190684000;41.0939;41.5173;-74075;0;10
Облако-земля;"2021-04-01 12:42:14";500291000;41.1905;41.5082;-4272;0;5
Облако-облако;"2021-04-01 12:42:14";542070300;41.17256;41.59907;4370;18781;6
Облако-земля;"2021-04-01 12:47:32";837063079;41.11578;41.5429699;-71055;0;16
Облако-земля;"2021-04-01 12:52:08";880723000;41.2894;41.6525;-47623;0;9
Облако-земля;"2021-04-01 13:13:29";833943000;41.5859;41.7996;-6415;0;8
Облако-земля;"2021-04-01 13:20:59";168740000;41.4119;41.7087999;-187091;0;16
Облако-земля;"2021-04-01 13:20:59";635553000;41.418;41.7097;-14634;0;6
Облако-облако;"2021-04-01 13:20:59";465108523;41.42402;41.52153;8484;18580;14
Облако-земля;"2021-04-01 13:21:52";298798455;41.70236;41.96768;-15161;0;9
Облако-земля;"2021-04-01 13:49:40";529038000;41.6088;41.6533;38438;0;6
Облако-земля;"2021-04-01 13:50:28";143344000;41.5694;41.8;-11266;0;7
Облако-земля;"2021-04-01 13:50:28";71091000;41.5951;41.7361;-14585;0;5
Облако-земля;"2021-04-01 13:53:48";306218000;41.6004;41.804;-5860;0;6
Облако-земля;"2021-04-01 13:53:48";151258000;41.598;41.8333;-5580;0;5
Облако-облако;"2021-04-01 13:55:51";515593483;41.65059;41.69157;7678;15559;5
Облако-земля;"2021-04-01 13:58:53";314759000;41.67;41.8133;26370;0;6
Облако-земля;"2021-04-01 14:00:15";671559000;41.6267;41.9919;29833;0;6
Облако-земля;"2021-04-01 14:01:08";920747000;41.835;41.7919;36019;0;5
Облако-земля;"2021-04-01 14:01:34";657938000;41.6069;41.8795;-8776;0;6
Облако-земля;"2021-04-01 14:02:07";642753000;41.6656;41.7947;15397;0;6
Облако-земля;"2021-04-01 14:02:07";697946000;41.6175;41.8318;22495;0;7
Облако-земля;"2021-04-01 14:02:07";453239000;41.6318;41.9024;17222;0;5
Облако-земля;"2021-04-01 14:02:07";467855998;41.65382;41.91529;-6119;0;10
Облако-земля;"2021-04-01 14:03:07";801182000;41.6572;41.8393;-10416;0;8
