Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-04-05 00:00:18;128195155;41.72132;37.24091;-22979;0;16
Облако-облако;2023-04-05 00:00:19;132394984;41.4418999;37.01002;-4620;11488;7
Облако-облако;2023-04-05 00:00:27;564872637;41.2499899;37.1597;-4532;8766;10
Облако-земля;2023-04-05 00:00:41;315306044;41.01678;36.71344;-10633;0;11
Облако-облако;2023-04-05 00:00:59;66318365;41.4836;37.36222;-6650;10282;12
Облако-облако;2023-04-05 00:01:01;782670231;41.14303;36.94798;-6428;18385;11
Облако-облако;2023-04-05 00:01:26;818092823;41.12672;36.9122;-2908;12431;7
Облако-облако;2023-04-05 00:01:28;902626140;41.50436;37.33616;6881;17469;7
Облако-облако;2023-04-05 00:01:34;883229166;41.66448;37.36942;-9111;3382;16
Облако-земля;2023-04-05 00:01:35;6785283;41.6347499;37.20756;-5895;0;13
Облако-облако;2023-04-05 00:01:45;509975687;41.06204;36.78724;2917;6953;5
Облако-земля;2023-04-05 00:01:59;861986742;41.24557;37.20552;-10794;0;11
Облако-земля;2023-04-05 00:02:51;702271403;41.03381;36.75285;-62664;0;11
Облако-земля;2023-04-05 00:03:26;493002605;41.62887;37.2216499;-8317;0;14
Облако-земля;2023-04-05 00:03:26;659726427;41.45863;37.244;-5668;0;8
Облако-облако;2023-04-05 00:03:40;593334584;41.15249;36.9364599;-3055;19890;10
Облако-земля;2023-04-05 00:03:42;232921415;41.2453999;37.22695;-3082;0;7
Облако-земля;2023-04-05 00:03:54;382054271;41.05876;36.77033;-49416;0;12
Облако-облако;2023-04-05 00:03:55;727608430;41.44816;36.94118;25858;18222;16
Облако-земля;2023-04-05 00:03:55;729272207;41.38535;37.26224;-19031;0;16
Облако-облако;2023-04-05 00:04:40;815557063;41.26547;37.22939;-7938;16110;12
Облако-облако;2023-04-05 00:04:57;770928648;41.49621;37.34704;-2686;16028;8
Облако-земля;2023-04-05 00:05:08;967801000;41.2485;37.1801;6401;0;5
Облако-облако;2023-04-05 00:05:10;452555911;41.53056;37.3952699;-5372;9587;9
Облако-земля;2023-04-05 00:05:27;490761924;41.03921;36.88477;-36829;0;13
Облако-облако;2023-04-05 00:06:23;165654023;41.32945;36.71506;-5049;3876;7
Облако-земля;2023-04-05 00:06:27;594064595;41.00216;36.85954;-9516;0;10
Облако-земля;2023-04-05 00:06:33;515174670;41.67318;37.25766;-8625;0;16
Облако-облако;2023-04-05 00:07:37;387432554;41.52913;37.41073;-3880;17593;7
Облако-земля;2023-04-05 00:07:54;162717754;41.04257;36.87276;-14150;0;15
Облако-облако;2023-04-05 00:08:16;352586308;41.5022;37.39392;-4037;6447;7
Облако-земля;2023-04-05 00:09:05;644160000;41.19189;36.88;-4799;0;5
Облако-облако;2023-04-05 00:09:05;977323447;41.33117;36.92128;3201;15474;8
Облако-земля;2023-04-05 00:09:09;301048551;41.20426;36.78777;-7496;0;7
Облако-облако;2023-04-05 00:09:10;697585950;41.75994;37.2412599;-2542;3600;7
Облако-облако;2023-04-05 00:09:39;236224629;41.60084;37.40961;-3323;12578;9
Облако-облако;2023-04-05 00:10:34;172244049;41.43792;37.29042;-2091;12773;7
Облако-облако;2023-04-05 00:10:56;227992890;41.24557;36.71798;-6932;3005;15
Облако-земля;2023-04-05 00:10:57;102664662;41.24175;37.14476;-3106;0;7
Облако-облако;2023-04-05 00:11:21;16487336;41.59791;37.47854;-7476;14201;13
Облако-земля;2023-04-05 00:11:36;747511145;41.27407;36.92517;-13357;0;17
Облако-облако;2023-04-05 00:11:39;870990371;41.42615;37.28338;-2782;15674;8
Облако-облако;2023-04-05 00:12:00;735438698;41.33001;37.21337;-4554;17735;11
Облако-облако;2023-04-05 00:12:01;767652560;41.15675;36.82107;4294;16140;7
Облако-облако;2023-04-05 00:12:05;748785745;41.59294;37.46744;-1856;13231;6
Облако-облако;2023-04-05 00:12:06;389189526;41.25263;36.9778499;4076;5842;10
Облако-облако;2023-04-05 00:12:27;378924671;41.07195;36.9636;2896;13396;7
Облако-облако;2023-04-05 00:13:12;198908661;41.47115;37.29688;-3446;16438;10
Облако-облако;2023-04-05 00:13:27;997673683;41.08976;37.03993;-1581;12625;6
Облако-земля;2023-04-05 00:13:56;195305309;41.16603;36.83871;8293;0;13
Облако-облако;2023-04-05 00:14:27;296833170;41.27015;36.99504;14928;18133;14
Облако-облако;2023-04-05 00:14:41;74755636;41.01056;36.84619;-2960;7810;11
Облако-облако;2023-04-05 00:15:01;182403840;41.29258;36.9804;3983;13695;9
Облако-облако;2023-04-05 00:15:01;201702598;41.1774;36.7842;3099;18887;6
Облако-земля;2023-04-05 00:15:07;575175133;41.75312;37.31908;-6968;0;10
Облако-земля;2023-04-05 00:15:32;460492289;41.11691;36.99396;-4132;0;9
Облако-облако;2023-04-05 00:15:39;483781990;41.6725;37.50886;-3235;5151;8
Облако-облако;2023-04-05 00:15:47;484253536;41.12066;37.00733;-2088;7477;6
Облако-облако;2023-04-05 00:15:51;646908457;41.30292;37.17039;-10526;11062;11
Облако-земля;2023-04-05 00:16:19;278094883;41.63599;37.49728;-3488;0;6
Облако-облако;2023-04-05 00:16:25;997941830;41.13379;36.99982;-3655;9278;6
Облако-земля;2023-04-05 00:16:55;995520564;41.63857;37.55796;-3259;0;8
Облако-земля;2023-04-05 00:17:03;5703664;41.17346;36.96061;-6993;0;7
Облако-облако;2023-04-05 00:17:52;846104699;41.15142;36.7836;-5167;4370;7
Облако-облако;2023-04-05 00:17:52;845125191;41.20159;36.96101;-10924;14435;14
Облако-облако;2023-04-05 00:18:45;669063441;41.39466;37.12431;7717;17092;9
Облако-облако;2023-04-05 00:19:55;547404068;41.133;37.03503;-2881;19362;7
Облако-облако;2023-04-05 00:19:55;598343405;41.20761;37.16038;-4506;10355;9
Облако-земля;2023-04-05 00:19:56;570812734;41.3437;37.14555;-4583;0;11
Облако-облако;2023-04-05 00:20:06;778201952;41.66716;37.57608;-2134;11483;7
Облако-облако;2023-04-05 00:20:51;479772138;41.16038;37.02688;-5983;8924;11
Облако-облако;2023-04-05 00:20:52;982908553;41.43995;36.95856;3574;5479;9
Облако-облако;2023-04-05 00:20:52;750091807;41.34086;37.00456;2608;16148;6
Облако-облако;2023-04-05 00:20:55;12798265;41.68978;37.50527;-6862;9824;12
Облако-земля;2023-04-05 00:21:21;284096968;41.08739;37.04517;-18163;0;18
Облако-земля;2023-04-05 00:21:21;324424004;41.23956;36.94668;-5991;0;8
Облако-земля;2023-04-05 00:22:26;767300718;41.261;36.89582;-24210;0;17
