Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-03-08 03:59:17;972860534;46.28576;36.03136;-4401;14724;10
Облако-земля;2023-03-08 03:59:17;827715059;46.25499;36.20521;-25755;0;17
Облако-земля;2023-03-08 04:09:43;597894127;46.27296;36.73553;206626;0;27
Облако-облако;2023-03-08 04:10:58;924438694;46.28411;36.31821;-9415;6351;12
Облако-земля;2023-03-08 04:12:24;155912118;46.27017;36.77673;43554;0;16
Облако-земля;2023-03-08 04:13:17;316824614;46.31054;36.22229;89837;0;11
Облако-облако;2023-03-08 04:13:20;931881139;46.23042;36.76892;-6507;7915;14
Облако-облако;2023-03-08 04:14:15;2410214;46.23424;36.7727;-6357;9462;15
Облако-земля;2023-03-08 04:15:01;611551477;46.33258;36.24841;70965;0;18
Облако-облако;2023-03-08 04:16:38;512474058;46.24659;36.78922;-33701;7956;17
Облако-земля;2023-03-08 04:16:38;986652866;46.30439;36.26169;-4955;0;10
Облако-земля;2023-03-08 04:18:04;633228268;46.35405;36.26444;113771;0;23
Облако-земля;2023-03-08 04:20:07;982584781;46.29966;36.71064;19475;0;18
Облако-облако;2023-03-08 04:20:08;369866800;46.31866;36.42062;2776;13180;6
Облако-земля;2023-03-08 04:22:58;564952227;46.32792;36.3138999;65941;0;20
Облако-облако;2023-03-08 04:25:02;752191580;46.34662;36.4011;24232;9646;18
Облако-земля;2023-03-08 04:30:11;770536432;46.35806;36.68504;-8802;0;15
Облако-облако;2023-03-08 04:30:11;332292196;46.34683;36.36211;-1970;13495;6
Облако-облако;2023-03-08 04:31:40;735332861;46.316;36.63424;-7816;17615;16
Облако-земля;2023-03-08 04:31:41;937585497;46.32651;36.94401;-26281;0;19
Облако-земля;2023-03-08 04:32:55;936557026;46.29898;36.3430899;63790;0;10
Облако-облако;2023-03-08 04:34:10;812613007;46.31662;36.64306;-8569;8592;12
Облако-облако;2023-03-08 04:35:42;534433283;46.33767;36.74075;3383;19888;6
Облако-земля;2023-03-08 04:39:19;174753186;46.31092;36.68856;94195;0;16
Облако-облако;2023-03-08 04:41:33;77251934;46.34166;36.46031;-25874;18805;12
Облако-земля;2023-03-08 04:41:33;551359748;46.37172;36.73178;-5125;0;9
Облако-земля;2023-03-08 04:44:12;455487414;46.35336;36.4811;25873;0;11
Облако-облако;2023-03-08 04:44:12;458960081;46.26383;36.57284;-6814;3359;9
Облако-земля;2023-03-08 04:50:02;414652694;46.37151;36.7841499;-9204;0;16
Облако-облако;2023-03-08 04:50:02;381624091;46.41138;36.95319;-45258;9437;21
Облако-облако;2023-03-08 04:50:02;389939214;46.3982699;36.63479;17360;4991;18
Облако-облако;2023-03-08 12:32:16;496800266;47.24615;36.03165;2985;9694;11
Облако-облако;2023-03-08 12:34:21;457331848;47.25848;36.04545;-2574;16069;8
Облако-облако;2023-03-08 12:34:21;441189531;47.31013;36.18166;-4573;18616;16
Облако-облако;2023-03-08 12:39:00;870804481;47.29371;36.05907;-7414;12744;13
Облако-облако;2023-03-08 12:43:19;97855503;47.30707;36.14915;-3210;19294;7
Облако-земля;2023-03-08 12:43:19;88197362;47.26281;36.35452;-12137;0;8
Облако-облако;2023-03-08 13:00:37;46857080;47.37427;36.31082;-2784;19110;7
Облако-облако;2023-03-08 13:01:42;310304730;47.34742;36.28088;-8370;17526;10
Облако-облако;2023-03-08 13:03:57;505829402;47.38433;36.26281;-14810;19027;10
Облако-земля;2023-03-08 13:05:52;331980343;47.37652;36.337;-5663;0;12
Облако-облако;2023-03-08 13:06:59;175800913;47.36898;36.35819;-2205;5811;6
Облако-облако;2023-03-08 13:07:24;539689672;47.37932;36.35788;-3019;18947;7
Облако-земля;2023-03-08 13:07:57;242708123;47.37418;36.28834;-3917;0;8
Облако-облако;2023-03-08 13:10:07;820116334;47.39032;36.36854;-3891;6930;10
Облако-земля;2023-03-08 13:11:21;470964751;47.6552099;36.63444;-19202;0;19
Облако-облако;2023-03-08 13:11:21;327127742;47.71111;36.74785;-4454;11670;9
Облако-облако;2023-03-08 13:12:26;19359567;47.39275;36.36951;-3693;19286;9
Облако-облако;2023-03-08 13:13:51;830801078;47.4784;36.29952;-8009;14204;9
Облако-облако;2023-03-08 13:14:40;279055174;47.40027;36.38848;-3274;18807;8
Облако-земля;2023-03-08 13:15:50;694408239;47.6577;36.66249;-5894;0;13
Облако-облако;2023-03-08 13:18:23;471444612;47.42828;36.42251;-2379;11201;7
