Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-07-07 00:04:03;173099484;41.63604;39.6688;-12709;0;11
Облако-земля;2023-07-07 00:06:57;60125044;41.67727;39.61354;-36493;0;10
Облако-облако;2023-07-07 00:08:00;872141335;41.68367;39.62379;3390;6101;9
Облако-облако;2023-07-07 00:08:00;622597196;41.75977;39.73136;4978;9249;12
Облако-земля;2023-07-07 00:10:58;846935759;41.69242;39.5987;24293;0;7
Облако-облако;2023-07-07 00:10:58;856800618;41.81132;39.69681;4322;7891;7
Облако-облако;2023-07-07 00:14:17;766294884;41.71513;39.6057599;3005;8880;9
Облако-облако;2023-07-07 00:33:39;274872695;41.8036699;39.74801;5330;3005;7
Облако-земля;2023-07-07 00:36:17;30177258;41.80016;39.7588;-7624;0;7
Облако-земля;2023-07-07 00:37:26;283531737;41.86585;39.66646;22077;0;8
Облако-земля;2023-07-07 00:38:28;513323018;41.80233;39.76987;-6897;0;11
Облако-облако;2023-07-07 00:40:21;924499965;41.94823;39.8116;4469;3489;10
Облако-облако;2023-07-07 00:41:50;448875547;41.77991;39.7603099;-8026;10600;8
Облако-земля;2023-07-07 00:43:42;936868382;41.81694;39.79253;-6630;0;10
Облако-облако;2023-07-07 00:44:55;617038105;41.82533;39.82623;4089;12600;8
Облако-облако;2023-07-07 00:46:14;37775283;41.83945;39.82373;-2560;14357;9
Облако-облако;2023-07-07 00:47:24;152943009;41.84681;39.85377;-6654;17500;13
Облако-облако;2023-07-07 00:47:50;723984109;41.77938;39.70214;-4534;3951;10
Облако-облако;2023-07-07 00:48:49;755795961;41.84602;39.81635;-3056;6629;6
Облако-облако;2023-07-07 00:50:09;253235614;41.86656;39.85724;4031;9647;10
Облако-облако;2023-07-07 00:50:17;928083543;41.90738;39.97417;-4721;6203;11
Облако-земля;2023-07-07 00:51:05;19155362;41.83266;39.82741;-21148;0;7
Облако-облако;2023-07-07 00:51:05;20263439;41.91254;39.99777;8931;6652;7
Облако-облако;2023-07-07 00:51:42;951810883;41.85548;39.82978;-4474;7750;9
Облако-облако;2023-07-07 00:52:16;633919534;41.79809;39.68761;3473;17627;8
Облако-земля;2023-07-07 00:52:21;668644074;41.83626;39.86061;-10942;0;13
Облако-облако;2023-07-07 00:52:58;753254104;41.85927;39.84851;2216;12597;7
Облако-облако;2023-07-07 00:53:35;69614449;41.86622;39.8344;-3630;7238;6
Облако-облако;2023-07-07 00:54:40;736072212;41.86997;39.84799;5062;8133;8
Облако-облако;2023-07-07 00:55:12;725971830;41.86544;39.85548;-19543;4067;13
Облако-облако;2023-07-07 00:55:43;754167994;41.86835;39.84821;-6600;3232;7
Облако-земля;2023-07-07 00:56:55;532529820;41.75905;39.85278;11305;0;7
Облако-облако;2023-07-07 00:56:55;339261793;41.87623;39.84993;6831;10346;11
Облако-земля;2023-07-07 00:56:55;340166597;41.94086;40.02254;14673;0;13
Облако-земля;2023-07-07 00:59:43;525762151;41.82044;39.73407;-11373;0;13
Облако-облако;2023-07-07 01:00:45;945490321;41.88975;39.8636;2220;8552;6
