Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-облако;2023-03-06 01:37:18;579373343;43.36171;41.32424;-1974;4970;6
Облако-земля;2023-03-06 01:39:02;395831364;43.34354;41.29753;-5871;0;11
Облако-земля;2023-03-06 01:41:38;692396986;43.40062;41.22781;-3130;0;7
Облако-земля;2023-03-06 02:00:21;600327630;43.39179;41.20722;-10803;0;13
Облако-земля;2023-03-06 02:05:57;884863702;43.39304;41.24692;-15158;0;14
Облако-облако;2023-03-06 02:05:58;329686019;43.57486;41.2274;2851;16046;7
Облако-земля;2023-03-06 02:06:36;233116657;43.39076;41.2040999;-2816;0;8
Облако-земля;2023-03-06 02:08:34;60931831;43.60116;41.28015;-5530;0;9
Облако-облако;2023-03-06 02:08:43;361618190;43.69609;40.92808;-1555;6072;7
Облако-облако;2023-03-06 02:08:48;754009329;43.4719399;41.32051;-1929;6941;6
Облако-земля;2023-03-06 02:08:48;717762394;43.39075;41.22917;-5313;0;10
Облако-земля;2023-03-06 02:13:31;467662874;43.37516;41.27728;-10388;0;11
Облако-земля;2023-03-06 02:29:58;920084270;43.75796;40.51376;-8490;0;10
Облако-земля;2023-03-06 02:29:58;864396652;43.67924;40.44653;-10948;0;13
Облако-облако;2023-03-06 03:13:17;336513252;43.39535;41.20923;-2328;7955;7
Облако-облако;2023-03-06 03:13:17;313772271;43.31203;41.27922;-1401;12370;6
Облако-земля;2023-03-06 03:16:29;328873121;43.08301;42.04963;-5722;0;10
Облако-облако;2023-03-06 03:16:29;248547482;43.20639;42.12172;-3614;4999;8
Облако-земля;2023-03-06 03:16:30;844138906;43.38478;41.28389;-7221;0;7
Облако-земля;2023-03-06 03:16:42;837687305;43.21821;42.13174;-16850;0;14
Облако-земля;2023-03-06 03:17:52;872648994;43.3551;41.30583;-2284;0;6
Облако-земля;2023-03-06 03:18:33;755350309;43.37197;41.27367;-4145;0;7
Облако-земля;2023-03-06 03:18:54;909029063;43.21571;41.41611;-9335;0;7
Облако-земля;2023-03-06 03:19:46;736619273;43.2168;42.1278;-11829;0;14
Облако-земля;2023-03-06 03:24:43;932607007;43.15316;42.18736;-8289;0;11
Облако-земля;2023-03-06 03:26:38;566509318;43.36224;41.26237;-2940;0;7
Облако-земля;2023-03-06 03:29:06;783566947;43.33999;41.30451;-4356;0;8
Облако-земля;2023-03-06 03:57:15;793357071;42.46911;44.17438;-7576;0;14
Облако-земля;2023-03-06 04:00:31;950699556;43.26969;41.48879;-4759;0;9
Облако-земля;2023-03-06 04:01:39;608480481;43.63979;40.24212;-11091;0;12
Облако-земля;2023-03-06 04:02:35;877405050;43.6406;40.24226;-20389;0;15
Облако-облако;2023-03-06 04:02:39;130115144;43.4018;41.25233;-2338;14649;7
Облако-земля;2023-03-06 04:05:26;628741719;43.40181;41.2434299;-22470;0;7
Облако-земля;2023-03-06 04:06:05;943028748;43.2808599;41.49527;-8897;0;7
Облако-земля;2023-03-06 04:06:09;173471770;42.45112;44.1869;-8879;0;10
Облако-земля;2023-03-06 04:07:58;462502085;43.6895;40.70743;-9555;0;13
Облако-облако;2023-03-06 04:09:09;209613593;43.47495;41.26705;-1407;10491;6
Облако-земля;2023-03-06 04:10:27;837557560;43.38806;41.23236;-13118;0;7
Облако-земля;2023-03-06 04:11:18;654679359;43.72047;40.36352;-3429;0;9
Облако-земля;2023-03-06 04:11:34;913951677;43.73837;40.36463;-29403;0;15
Облако-земля;2023-03-06 04:12:36;131177628;43.32635;41.5751;-4209;0;10
Облако-земля;2023-03-06 04:13:17;453047640;43.6899;40.38727;-9911;0;10
Облако-облако;2023-03-06 04:13:17;353303806;43.55651;40.38816;-1437;3005;6
Облако-земля;2023-03-06 04:14:03;450835119;43.39126;41.24426;-6636;0;11
Облако-земля;2023-03-06 04:15:29;670054014;43.26484;41.57922;-15989;0;15
Облако-земля;2023-03-06 04:17:22;520648980;43.655;40.45517;-16314;0;13
Облако-земля;2023-03-06 04:18:45;801695167;43.65198;40.45996;-6635;0;11
Облако-земля;2023-03-06 04:20:00;483646002;43.64853;40.48525;-7080;0;13
