Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-06-24 01:30:12;525905985;47.92472;38.62935;53877;0;20
Облако-облако;2023-06-24 01:35:15;452652195;47.9004;38.66154;-9132;4495;10
Облако-земля;2023-06-24 01:43:29;483706918;47.85548;38.72936;-24816;0;15
Облако-облако;2023-06-24 10:09:08;307589887;42.50071;46.99307;-5462;13458;7
Облако-облако;2023-06-24 10:41:35;811062489;47.99044;36.4773;-5258;15185;13
Облако-облако;2023-06-24 10:43:35;410093708;47.98175;36.50209;-21785;15138;14
Облако-земля;2023-06-24 10:50:02;107518190;47.9534499;36.5721599;-3667;0;8
Облако-облако;2023-06-24 11:10:19;801831259;47.95376;37.71695;-3708;16723;7
Облако-облако;2023-06-24 11:10:49;384494693;47.93925;37.73454;-2066;17288;6
Облако-облако;2023-06-24 11:12:51;203480010;47.87694;37.82971;-3397;15834;7
Облако-облако;2023-06-24 11:21:28;3859496;47.97185;37.33737;-8328;17491;13
Облако-облако;2023-06-24 11:25:31;792212218;47.82893;37.16452;8871;9867;13
Облако-облако;2023-06-24 11:25:47;517758292;47.98102;37.38048;-2172;18420;6
Облако-облако;2023-06-24 11:26:29;866808565;47.97728;37.3675799;-2308;18199;5
Облако-облако;2023-06-24 11:28:40;839376577;47.86419;37.31946;-22515;6757;19
Облако-земля;2023-06-24 11:28:40;876443107;47.82553;37.16268;-8521;0;13
Облако-земля;2023-06-24 11:30:34;841176373;47.8670199;37.89609;-10676;0;10
Облако-облако;2023-06-24 11:30:56;895025123;47.8094899;37.22231;12799;8120;6
Облако-земля;2023-06-24 11:31:50;765962214;47.99778;37.38329;-13166;0;16
Облако-облако;2023-06-24 11:32:39;417361214;47.84492;37.56562;-2754;16780;6
Облако-облако;2023-06-24 11:32:39;417802817;47.9502;37.6504199;-4177;3891;14
Облако-облако;2023-06-24 11:32:44;963011030;47.85675;37.89444;-4177;15640;8
Облако-облако;2023-06-24 11:34:00;315852801;47.89381;37.5069;-3331;15320;7
Облако-облако;2023-06-24 11:34:00;522519218;47.97801;37.27498;4049;9864;7
Облако-облако;2023-06-24 11:35:19;876330047;47.8396;37.9109;-10246;14490;13
Облако-облако;2023-06-24 11:35:47;1213405;47.90869;37.50607;-4965;16581;9
Облако-облако;2023-06-24 11:35:47;2918414;47.946;37.6584;-6423;14891;8
Облако-земля;2023-06-24 11:36:17;727786201;47.77811;37.1697;-10985;0;10
Облако-облако;2023-06-24 11:36:17;608097176;47.85566;37.4299899;6383;6636;12
Облако-облако;2023-06-24 11:36:21;846063531;47.92271;37.4831;3274;15552;8
Облако-облако;2023-06-24 11:36:47;810277362;47.87804;37.54959;-4004;7458;6
Облако-облако;2023-06-24 11:37:35;225139683;47.88488;37.14665;2216;17743;6
Облако-земля;2023-06-24 11:37:45;292824116;47.90693;37.52302;-2810;0;7
Облако-облако;2023-06-24 11:38:45;358393819;47.90016;37.55614;-6675;5162;20
Облако-облако;2023-06-24 11:39:08;557032958;47.86195;37.59362;2523;16630;6
Облако-облако;2023-06-24 11:39:14;463198168;47.92113;37.53314;2945;17822;6
Облако-земля;2023-06-24 11:39:28;443780522;47.99529;36.97249;-5366;0;7
Облако-облако;2023-06-24 11:39:40;38978027;47.8807;37.54201;5064;18134;8
Облако-облако;2023-06-24 11:39:51;668662377;47.93095;37.50279;2706;17336;7
Облако-облако;2023-06-24 11:39:55;936397297;47.90423;37.53041;-4568;17031;10
Облако-облако;2023-06-24 11:40:20;729616022;47.83189;37.62342;3783;17422;7
Облако-земля;2023-06-24 11:40:28;350533848;47.91404;37.4868499;-7981;0;14
Облако-земля;2023-06-24 11:40:48;71724023;47.87816;37.50483;-17699;0;18
Облако-облако;2023-06-24 11:41:00;777821785;47.98251;37.7252;7151;3341;16
Облако-облако;2023-06-24 11:41:00;777376050;47.89213;37.5769499;2278;17030;6
Облако-земля;2023-06-24 11:41:34;328314161;47.86143;37.53145;-4788;0;8
Облако-облако;2023-06-24 11:41:40;762724966;47.9092399;37.56464;3897;17294;7
Облако-земля;2023-06-24 11:41:46;120161769;47.97626;36.97821;-9947;0;14
Облако-облако;2023-06-24 11:42:10;221445039;47.84782;37.61042;4195;13628;7
Облако-облако;2023-06-24 11:42:22;388612791;47.91225;37.52944;3941;16691;7
Облако-облако;2023-06-24 11:42:30;871791879;47.88217;37.55018;-6892;18396;15
Облако-облако;2023-06-24 11:42:48;510748386;47.90947;37.52834;-7385;10772;12
Облако-земля;2023-06-24 11:43:13;20493751;47.90994;37.53633;-22186;0;21
Облако-облако;2023-06-24 11:43:19;681976744;47.89238;37.57291;-2588;17359;6
Облако-облако;2023-06-24 11:43:35;270254923;47.9047399;37.52821;3052;17247;7
Облако-облако;2023-06-24 11:43:49;168031863;47.89123;37.60661;1916;18718;5
Облако-облако;2023-06-24 11:43:49;75997403;47.74419;37.79709;2674;18838;6
Облако-земля;2023-06-24 11:43:58;189997859;47.91111;37.51577;-13884;0;16
Облако-облако;2023-06-24 11:44:08;828587698;47.95914;37.52714;3390;4562;7
Облако-облако;2023-06-24 11:44:21;386102453;47.88517;37.54818;2614;16893;7
Облако-облако;2023-06-24 11:44:36;191692582;47.90421;37.59195;2698;15507;5
Облако-земля;2023-06-24 11:44:50;785268187;47.85824;37.57541;-10739;0;17
Облако-облако;2023-06-24 11:45:05;349052221;47.89584;37.56826;4096;16932;8
Облако-облако;2023-06-24 11:45:24;712861553;47.94179;37.5674;-4962;17254;10
Облако-облако;2023-06-24 11:45:24;689268165;47.81341;37.69756;-2148;14509;7
Облако-облако;2023-06-24 11:45:41;409419583;47.92428;37.58077;2551;4514;7
Облако-облако;2023-06-24 11:45:41;404580887;47.8378299;37.63957;3447;16690;8
Облако-земля;2023-06-24 11:45:47;946935000;47.85049;37.53313;-11532;0;17
Облако-облако;2023-06-24 11:46:06;439021113;47.89046;37.56464;8416;18964;11
